7450-697200
OS REV: 1.05 Sensor Cal: 1618508223
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1722014820,+3.27,+29.225, +0.107,+0.944
1722015420,+3.27,+29.174, +0.131,+0.945
1722016020,+3.27,+29.311, +0.125,+0.945
1722016620,+3.27,+29.302, +0.346,+0.950
1722017220,+3.27,+29.294, +0.270,+0.948
1722017820,+3.27,+29.302, +0.193,+0.946
1722018420,+3.27,+29.294, +0.294,+0.949
1722019020,+3.26,+29.380, +0.175,+0.946
1722019620,+3.26,+29.440, +0.257,+0.948
1722020220,+3.26,+29.466, +0.271,+0.949
1722020820,+3.26,+29.457, +0.278,+0.949
1722021420,+3.26,+29.612, +0.371,+0.951
1722022020,+3.26,+29.681, +0.257,+0.948
1722022620,+3.26,+29.664, +0.229,+0.947
1722023220,+3.26,+29.595, +0.243,+0.948
1722023820,+3.26,+29.577, +0.306,+0.949
1722024420,+3.26,+29.595, +0.164,+0.945
1722025020,+3.26,+29.543, +0.246,+0.948
1722025620,+3.26,+29.500, +0.220,+0.947
1722026220,+3.26,+29.526, +0.185,+0.946
1722026820,+3.26,+29.500, +0.111,+0.944
1722027420,+3.26,+29.500, +0.110,+0.944
1722028020,+3.26,+29.449, +0.127,+0.945
1722028620,+3.26,+29.491, +0.103,+0.944
1722029220,+3.26,+29.414, +0.106,+0.944
1722029820,+3.26,+29.406, +0.114,+0.944
1722030420,+3.26,+29.388, +0.096,+0.944
1722031020,+3.26,+29.380, +0.084,+0.944
1722031620,+3.26,+29.337, +0.091,+0.944
1722032220,+3.26,+29.363, +0.079,+0.943
1722032820,+3.26,+29.363, +0.059,+0.943
1722033420,+3.26,+29.354, +0.074,+0.943
1722034020,+3.26,+29.388, +0.076,+0.943
1722034620,+3.26,+29.363, +0.068,+0.943
1722035220,+3.26,+29.302, +0.058,+0.943
1722035820,+3.27,+29.242, +0.050,+0.942
1722036420,+3.27,+29.182, +0.066,+0.943
1722037020,+3.27,+29.174, +0.053,+0.943
1722037620,+3.27,+29.114, +0.053,+0.942
1722038220,+3.27,+29.062, +0.052,+0.942
1722038820,+3.27,+29.096, +0.047,+0.942
1722039420,+3.27,+29.062, +0.044,+0.942
1722040020,+3.27,+29.028, +0.045,+0.942
