            Unix Timestamp,               UTC_Date_&_Time,Timestamp,       Battery,Temp_C,DO_mgL,DO_perc,             Q
1721492820,           2024-07-20 16:27:00,           2024-07-20 12:27:00,3.28,29.182,7.396,96.469685,0.965
1721493420,           2024-07-20 16:37:00,           2024-07-20 12:37:00,3.28,29.157,7.404,96.531952,0.965
1721494020,           2024-07-20 16:47:00,           2024-07-20 12:47:00,3.27,29.5,7.284,95.535885,0.965
1721494620,           2024-07-20 16:57:00,           2024-07-20 12:57:00,3.27,30.795,7.095,95.156852,0.965
1721495220,           2024-07-20 17:07:00,           2024-07-20 13:07:00,3.27,31.386,7.081,95.930643,0.965
1721495820,           2024-07-20 17:17:00,           2024-07-20 13:17:00,3.27,31.752,7.055,96.173396,0.966
1721496420,           2024-07-20 17:27:00,           2024-07-20 13:27:00,3.27,32.032,7.054,96.615787,0.964
1721497020,           2024-07-20 17:37:00,           2024-07-20 13:37:00,3.27,32.198,7.04,96.694231,0.965
1721497620,           2024-07-20 17:47:00,           2024-07-20 13:47:00,3.27,32.417,7.023,96.816774,0.964
1721498220,           2024-07-20 17:57:00,           2024-07-20 13:57:00,3.27,32.654,7.081,98.005397,0.964
1721498820,           2024-07-20 18:07:00,           2024-07-20 14:07:00,3.26,32.856,7.086,98.406911,0.964
1721499420,           2024-07-20 18:17:00,           2024-07-20 14:17:00,3.27,33.402,7.02,98.382427,0.964
1721500020,           2024-07-20 18:27:00,           2024-07-20 14:27:00,3.26,32.891,7.03,97.686378,0.964
1721500620,           2024-07-20 18:37:00,           2024-07-20 14:37:00,3.27,29.139,0.722,9.410345,0.956
1721501220,           2024-07-20 18:47:00,           2024-07-20 14:47:00,3.27,28.711,1.046,13.531619,0.957
1721501820,           2024-07-20 18:57:00,           2024-07-20 14:57:00,3.27,28.566,1.18,15.226322,0.959
1721502420,           2024-07-20 19:07:00,           2024-07-20 15:07:00,3.27,28.514,1.103,14.219743,0.958
1721503020,           2024-07-20 19:17:00,           2024-07-20 15:17:00,3.27,28.48,1.081,13.927794,0.96
1721503620,           2024-07-20 19:27:00,           2024-07-20 15:27:00,3.27,28.471,1.004,12.933665,0.958
1721504220,           2024-07-20 19:37:00,           2024-07-20 15:37:00,3.27,28.463,0.892,11.48925,0.958
1721504820,           2024-07-20 19:47:00,           2024-07-20 15:47:00,3.27,28.395,0.82,10.549237,0.956
1721505420,           2024-07-20 19:57:00,           2024-07-20 15:57:00,3.27,28.369,0.939,12.074635,0.957
1721506020,           2024-07-20 20:07:00,           2024-07-20 16:07:00,3.27,28.36,0.963,12.381289,0.958
1721506620,           2024-07-20 20:17:00,           2024-07-20 16:17:00,3.27,28.318,0.8,10.277992,0.956
1721507220,           2024-07-20 20:27:00,           2024-07-20 16:27:00,3.27,28.292,0.724,9.297322,0.956
1721507820,           2024-07-20 20:37:00,           2024-07-20 16:37:00,3.27,28.275,0.807,10.36007,0.956
1721508420,           2024-07-20 20:47:00,           2024-07-20 16:47:00,3.27,28.249,0.833,10.688951,0.956
1721509020,           2024-07-20 20:57:00,           2024-07-20 16:57:00,3.27,28.224,0.813,10.427714,0.956
1721509620,           2024-07-20 21:07:00,           2024-07-20 17:07:00,3.27,28.181,0.698,8.945909,0.955
1721510220,           2024-07-20 21:17:00,           2024-07-20 17:17:00,3.27,28.139,0.752,9.630855,0.956
1721510820,           2024-07-20 21:27:00,           2024-07-20 17:27:00,3.27,28.113,0.708,9.063185,0.955
1721511420,           2024-07-20 21:37:00,           2024-07-20 17:37:00,3.27,28.096,0.718,9.188436,0.955
1721512020,           2024-07-20 21:47:00,           2024-07-20 17:47:00,3.27,28.062,0.442,5.652993,0.95
1721512620,           2024-07-20 21:57:00,           2024-07-20 17:57:00,3.27,28.028,0.403,5.151102,0.95
1721513220,           2024-07-20 22:07:00,           2024-07-20 18:07:00,3.27,27.994,0.497,6.34878,0.952
1721513820,           2024-07-20 22:17:00,           2024-07-20 18:17:00,3.27,27.942,0.599,7.644711,0.953
1721514420,           2024-07-20 22:27:00,           2024-07-20 18:27:00,3.27,27.917,0.344,4.388342,0.948
1721515020,           2024-07-20 22:37:00,           2024-07-20 18:37:00,3.27,27.891,0.32,4.080299,0.947
1721515620,           2024-07-20 22:47:00,           2024-07-20 18:47:00,3.27,27.832,0.312,3.974134,0.947
1721516220,           2024-07-20 22:57:00,           2024-07-20 18:57:00,3.27,27.806,0.256,3.259324,0.946
1721516820,           2024-07-20 23:07:00,           2024-07-20 19:07:00,3.27,27.747,0.216,2.747178,0.945
1721517420,           2024-07-20 23:17:00,           2024-07-20 19:17:00,3.27,27.713,0.193,2.453173,0.944
