7450-988987
OS REV: 1.05 Sensor Cal: 1620327161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1722623760,+3.49,+27.422, +0.820,+0.907
1722624360,+3.49,+27.447, +0.886,+0.908
1722624960,+3.49,+27.507, +0.844,+0.907
1722625560,+3.49,+27.583, +0.874,+0.907
1722626160,+3.49,+27.600, +0.942,+0.908
1722626760,+3.49,+27.592, +0.768,+0.906
1722627360,+3.49,+27.600, +0.865,+0.907
1722627960,+3.49,+27.626, +0.920,+0.908
1722628560,+3.49,+27.634, +0.754,+0.906
1722629160,+3.49,+27.660, +0.919,+0.908
1722629760,+3.49,+27.669, +0.880,+0.908
1722630360,+3.49,+27.660, +0.799,+0.907
1722630960,+3.49,+27.703, +0.882,+0.907
1722631560,+3.49,+27.694, +0.819,+0.907
1722632160,+3.49,+27.711, +0.805,+0.907
1722632760,+3.49,+27.677, +0.634,+0.904
1722633360,+3.49,+27.694, +0.807,+0.907
1722633960,+3.49,+27.686, +0.768,+0.906
1722634560,+3.49,+27.677, +0.562,+0.902
1722635160,+3.49,+27.677, +0.585,+0.903
1722635760,+3.49,+27.660, +0.552,+0.902
1722636360,+3.49,+27.651, +0.440,+0.899
1722636960,+3.49,+27.626, +0.302,+0.896
1722637560,+3.49,+27.634, +0.232,+0.894
1722638160,+3.49,+27.617, +0.383,+0.898
1722638760,+3.49,+27.609, +0.147,+0.891
1722639360,+3.49,+27.592, +0.202,+0.893
1722639960,+3.49,+27.583, +0.237,+0.894
1722640560,+3.49,+27.566, +0.094,+0.890
1722641160,+3.49,+27.566, +0.128,+0.891
1722641760,+3.49,+27.549, +0.160,+0.892
1722642360,+3.49,+27.532, +0.104,+0.891
1722642960,+3.49,+27.515, +0.145,+0.892
1722643560,+3.49,+27.507, +0.068,+0.890
1722644160,+3.49,+27.490, +0.184,+0.894
1722644760,+3.49,+27.481, +0.143,+0.892
1722645360,+3.49,+27.473, +0.106,+0.891
1722645960,+3.49,+27.456, +0.083,+0.890
1722646560,+3.49,+27.439, +0.071,+0.890
1722647160,+3.49,+27.430, +0.099,+0.891
1722647760,+3.49,+27.422, +0.069,+0.890
1722648360,+3.49,+27.396, +0.061,+0.890
1722648960,+3.49,+27.371, +0.091,+0.891
1722649560,+3.49,+27.380, +0.057,+0.890
1722650160,+3.49,+27.354, +0.091,+0.891
1722650760,+3.49,+27.320, +0.074,+0.890
1722651360,+3.49,+27.346, +0.061,+0.890
1722651960,+3.49,+27.329, +0.073,+0.890
1722652560,+3.49,+27.320, +0.123,+0.892
1722653160,+3.49,+27.295, +0.105,+0.891
1722653760,+3.49,+27.295, +0.133,+0.892
1722654360,+3.49,+27.261, +0.116,+0.891
1722654960,+3.49,+27.252, +0.149,+0.892
1722655560,+3.49,+27.235, +0.101,+0.891
1722656160,+3.49,+27.218, +0.141,+0.892
1722656760,+3.49,+27.210, +0.131,+0.892
1722657360,+3.49,+27.210, +0.139,+0.892
1722657960,+3.49,+27.176, +0.179,+0.893
1722658560,+3.49,+27.167, +0.069,+0.890
1722659160,+3.49,+27.159, +0.065,+0.890
1722659760,+3.49,+27.150, +0.067,+0.890
1722660360,+3.49,+27.108, +0.063,+0.890
1722660960,+3.49,+27.099, +0.099,+0.891
1722661560,+3.49,+27.074, +0.118,+0.892
1722662160,+3.49,+27.049, +0.096,+0.891
1722662760,+3.49,+27.049, +0.082,+0.891
1722663360,+3.49,+27.023, +0.080,+0.891
1722663960,+3.49,+26.981, +0.121,+0.892
1722664560,+3.49,+26.989, +0.070,+0.890
1722665160,+3.49,+26.955, +0.128,+0.892
1722665760,+3.49,+26.964, +0.107,+0.891
1722666360,+3.49,+26.930, +0.134,+0.892
1722666960,+3.49,+26.904, +0.125,+0.892
1722667560,+3.49,+26.879, +0.083,+0.891
1722668160,+3.49,+26.879, +0.067,+0.890
1722668760,+3.49,+26.845, +0.062,+0.890
1722669360,+3.49,+26.828, +0.058,+0.890
1722669960,+3.49,+26.837, +0.087,+0.891
1722670560,+3.49,+26.803, +0.107,+0.891
1722671160,+3.49,+26.794, +0.063,+0.890
1722671760,+3.49,+26.803, +0.057,+0.890
1722672360,+3.49,+26.752, +0.101,+0.891
1722672960,+3.49,+26.760, +0.074,+0.890
1722673560,+3.49,+26.727, +0.060,+0.890
1722674160,+3.49,+26.701, +0.134,+0.892
1722674760,+3.49,+26.710, +0.084,+0.891
1722675360,+3.49,+26.693, +0.058,+0.890
1722675960,+3.49,+26.676, +0.128,+0.892
1722676560,+3.49,+26.642, +0.070,+0.890
1722677160,+3.49,+26.650, +0.064,+0.890
1722677760,+3.50,+26.608, +0.075,+0.891
1722678360,+3.50,+26.608, +0.058,+0.890
1722678960,+3.50,+26.591, +0.144,+0.892
1722679560,+3.50,+26.583, +0.071,+0.890
1722680160,+3.49,+26.532, +0.080,+0.891
1722680760,+3.49,+26.532, +0.152,+0.893
1722681360,+3.49,+26.523, +0.100,+0.891
1722681960,+3.49,+26.515, +0.073,+0.891
1722682560,+3.49,+26.515, +0.066,+0.890
1722683160,+3.49,+26.507, +0.089,+0.891
1722683760,+3.49,+26.532, +0.075,+0.891
1722684360,+3.49,+26.515, +0.063,+0.890
1722684960,+3.49,+26.549, +0.090,+0.891
1722685560,+3.49,+26.532, +0.097,+0.891
1722686160,+3.49,+26.540, +0.058,+0.890
1722686760,+3.49,+26.574, +0.073,+0.890
1722687360,+3.49,+26.566, +0.071,+0.890
1722687960,+3.49,+26.600, +0.075,+0.890
1722688560,+3.49,+26.633, +0.149,+0.893
1722689160,+3.49,+26.650, +0.144,+0.893
1722689760,+3.49,+26.659, +0.165,+0.893
1722690360,+3.49,+26.727, +0.936,+0.907
1722690960,+3.49,+26.710, +0.795,+0.907
1722691560,+3.49,+26.710, +0.484,+0.901
