7450-988987
OS REV: 1.05 Sensor Cal: 1620327161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1703455500,+3.49,+23.697, +8.085,+0.953
1703456100,+3.49,+23.848, +8.060,+0.952
1703456700,+3.49,+23.923, +8.056,+0.953
1703457300,+3.49,+23.873, +8.068,+0.953
1703457900,+3.49,+23.739, +8.091,+0.953
1703458500,+3.49,+23.596, +8.100,+0.952
1703459100,+3.49,+23.471, +8.126,+0.953
1703459700,+3.49,+23.404, +8.133,+0.953
1703460300,+3.49,+23.328, +8.155,+0.954
1703460900,+3.49,+23.312, +8.137,+0.952
1703461500,+3.49,+23.395, +8.145,+0.954
1703462100,+3.49,+23.412, +8.122,+0.953
1703462700,+3.49,+23.488, +8.122,+0.953
1703463300,+3.49,+23.546, +8.109,+0.953
1703463900,+3.49,+23.613, +8.101,+0.953
1703464500,+3.49,+23.622, +8.096,+0.953
1703465100,+3.49,+23.680, +8.095,+0.953
1703465700,+3.49,+23.722, +8.082,+0.953
1703466300,+3.49,+23.764, +8.086,+0.953
1703466900,+3.49,+23.789, +8.079,+0.953
1703467500,+3.49,+23.839, +8.074,+0.953
1703468100,+3.49,+23.881, +8.061,+0.953
1703468700,+3.49,+23.898, +8.071,+0.953
1703469300,+3.49,+23.940, +8.059,+0.953
1703469900,+3.49,+23.957, +8.055,+0.953
1703470500,+3.49,+23.990, +8.065,+0.954
1703471100,+3.49,+24.024, +8.060,+0.954
1703471700,+3.49,+24.040, +8.054,+0.953
1703472300,+3.49,+24.091, +8.046,+0.953
1703472900,+3.49,+24.099, +8.040,+0.953
1703473500,+3.49,+24.124, +8.030,+0.953
1703474100,+3.49,+24.133, +8.038,+0.953
1703474700,+3.49,+24.149, +8.041,+0.953
1703475300,+3.49,+24.183, +8.036,+0.953
1703475900,+3.49,+24.217, +8.025,+0.953
1703476500,+3.49,+24.225, +8.021,+0.953
1703477100,+3.49,+24.242, +8.016,+0.953
1703477700,+3.49,+24.259, +8.029,+0.954
1703478300,+3.49,+24.292, +8.019,+0.953
1703478900,+3.49,+24.275, +8.032,+0.954
1703479500,+3.49,+24.309, +8.011,+0.953
1703480100,+3.49,+24.200, +8.039,+0.953
1703480700,+3.49,+24.015, +8.061,+0.953
1703481300,+3.49,+23.797, +8.092,+0.953
1703481900,+3.49,+23.613, +8.127,+0.954
1703482500,+3.49,+23.437, +8.140,+0.953
1703483100,+3.49,+23.270, +8.163,+0.953
1703483700,+3.49,+23.094, +8.195,+0.954
1703484300,+3.49,+22.960, +8.202,+0.953
1703484900,+3.49,+22.810, +8.232,+0.953
1703485500,+3.49,+22.693, +8.247,+0.953
1703486100,+3.49,+22.550, +8.261,+0.953
1703486700,+3.50,+22.450, +8.283,+0.953
1703487300,+3.49,+22.366, +8.288,+0.953
1703487900,+3.50,+22.283, +8.308,+0.954
1703488500,+3.49,+22.199, +8.310,+0.953
1703489100,+3.49,+22.124, +8.325,+0.953
