7450-988987
OS REV: 1.05 Sensor Cal: 1620327161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1624887900,+3.55,+26.261, +0.697,+0.964
1624888500,+3.55,+25.401, +3.072,+0.973
1624889100,+3.55,+25.166, +3.121,+0.973
1624889700,+3.55,+25.107, +3.144,+0.973
1624890300,+3.55,+25.098, +2.820,+0.974
1624890900,+3.55,+25.174, +2.122,+0.974
1624891500,+3.55,+25.208, +1.921,+0.974
1624892100,+3.55,+25.267, +1.773,+0.974
1624892700,+3.55,+25.292, +1.470,+0.972
1624893300,+3.55,+25.612, +8.254,+0.969
1624893900,+3.55,+26.321, +8.148,+0.969
