Site,Date,Sample_ID,Rep,Air_Location,Sample_time,CH4.GC,CO2.GC,waterVolume,gasVolume,waterTemp.C,Atm_pressure_inHg,AirT_C,Humidity_perc,Note,AirCO2_min_ppm,CO2air.GC,AirCO2_max_ppm,AirCH4_min_ppm,CH4air.GC,AirCH4_max_ppm,wCO2_uatm_medhs,wCO2_uatm_minhs,wCO2_uatm_maxhs,wCH4_uatm_medhs,wCH4_uatm_minhs,wCH4_uatm_maxhs,wCO2_umolm3_med,wCH4_umolm3_med,wCO2_uM_med,wCH4_uM_med,wCO2_mgL_med,wCH4_mgL_med,baro,headspaceTemp.C,dissolvedCO2,dissolvedCH4,dissolvedCO2.molL,dissolvedCH4.molL,dCO2.umol,dCH4.umol
Arroyo,12/2/2020,AR-Centroid 1,1,AR Air 120220,10:25,1532.9,4506,20,20,20,NA,NA,NA,,877,994,1349,4.42,6.94,7.06,8264.975454,8390.203281,7885.01068,42531.80606,42599.51245,42528.58195,343590.6002,1768127.305,343.5906002,1768.127305,15121.42232,28997.2878,102,20,0.000320964,6.63E-05,0.000321,6.63E-05,320.9637863,66.2989173
Arroyo,12/2/2020,AR-Centroid 2,2,AR Air 120220,10:25,2084.01,5925,20,20,20,NA,NA,NA,,877,994,1349,4.42,6.94,7.06,11202.76423,11327.99205,10822.79945,57889.92747,57957.63386,57886.70335,465720.0141,2406593.345,465.7200141,2406.593345,20496.33782,39468.13086,102,20,0.000435139,9.02E-05,0.000435,9.02E-05,435.1390723,90.2391959
Arroyo,12/2/2020,AR-Centroid 3,3,AR Air 120220,10:25,2082.73,5793,20,20,20,NA,NA,NA,,877,994,1349,4.42,6.94,7.06,10929.48155,11054.70938,10549.51678,57854.25692,57921.96331,57851.03281,454359.1384,2405110.453,454.3591384,2405.110453,19996.34568,39443.81144,102,20,0.000424518,9.02E-05,0.000425,9.02E-05,424.5181155,90.18359256
Arroyo,12/2/2020,AR-D1,1,AR Air 120220,9:45,1910.87,7609,20,20,20,NA,NA,NA,,877,994,1349,4.42,6.94,7.06,14689.18867,14814.4165,14309.2239,53064.92857,53132.63496,53061.70446,610657.2466,2206009.051,610.6572466,2206.009051,26875.02542,36178.54844,102,20,0.000570637,8.27E-05,0.000571,8.27E-05,570.6367338,82.71797538
Arroyo,12/2/2020,AR-D2,2,AR Air 120220,9:45,2080.43,7500,20,20,20,NA,NA,NA,,877,994,1349,4.42,6.94,7.06,14463.52343,14588.75126,14083.55866,57790.1614,57857.86779,57786.93729,601275.9174,2402445.882,601.2759174,2402.445882,26462.15313,39400.11247,102,20,0.000561866,9.01E-05,0.000562,9.01E-05,561.8663982,90.0836803
Arroyo,12/2/2020,AR-D3,3,AR Air 120220,9:45,2449.71,8015,20,20,20,NA,NA,NA,,877,994,1349,4.42,6.94,7.06,15529.73994,15654.96776,15149.77516,68081.11434,68148.82073,68077.89023,645600.5461,2830260.183,645.6005461,2830.260183,28412.88004,46416.267,102,20,0.000603304,0.000106125,0.000603,0.000106,603.3042222,106.1252438
CEN,6/17/2021,CEN-1,1,CEN Air 061721,12:30,111.27,5590,20,20,20,30.02,82,85,,644,662,707,-1.84,-1.72,-1.65,10864.55326,10883.81908,10816.38871,3147.041839,3150.265953,3145.161106,451659.9469,130828.4581,451.6599469,130.8284581,19877.55426,2145.586712,102,20,0.000422078,4.91E-06,0.000422,4.91E-06,422.0779562,4.905559767
CEN,6/17/2021,CEN-2,2,CEN Air 061721,12:30,100.81,5082,20,20,20,30.02,82,85,,644,662,707,-1.84,-1.72,-1.65,9812.829016,9832.094836,9764.664467,2855.546585,2858.770698,2853.665852,407937.7889,118710.4512,407.9377889,118.7104512,17953.34209,1946.851399,102,20,0.000381203,4.45E-06,0.000381,4.45E-06,381.2033647,4.451176225
CEN,6/17/2021,CEN-3,3,CEN Air 061721,12:30,102.98,4291,20,20,20,30.02,82,85,,644,662,707,-1.84,-1.72,-1.65,8175.203281,8194.4691,8127.038732,2916.01931,2919.243423,2914.138577,339858.6019,121224.4163,339.8586019,121.2244163,14957.17707,1988.080427,102,20,0.000317558,4.55E-06,0.000318,4.55E-06,317.5580855,4.545441262
Esperanza,10/20/2020,ES-5,1,ES Air 1220,,13.19,2107,20,20,20,NA,NA,NA,,788,840,917,4.64,6.82,18.23,3463.09963,3518.756442,3380.684735,184.3367087,242.9081098,-122.2227805,143967.5758,7663.224258,143.9675758,7.663224258,6336.013013,125.6768778,102,20,0.000134381,2.88E-07,0.000134,2.88E-07,134.3805567,0.287570676
