"","site","treatment","timepoint","CO2_mean","CH4_mean"
"1","PA","T1","0",7859.88666666667,187.883333333333
"2","PA","T1","1",8516.67666666667,63.6833333333333
"3","PA","T1","3",6066.88333333333,70.55
"4","PA","T1","7",8007.26,183.663333333333
"5","PA","T2","0",9032.29,196.706666666667
"6","PA","T2","1",7029.04666666667,57.8
"7","PA","T2","3",7532.71,83.07
"8","PA","T2","7",6368.56666666667,60.2533333333333
"9","PA","T3","0",7359.44,138.27
"10","PA","T3","1",7182.71,36.5633333333333
"11","PA","T3","3",7486.50666666667,58.7933333333333
"12","PA","T3","7",7700.97,71.6366666666667
"13","TO","T1","0",4729.92,22.6366666666667
"14","TO","T1","1",6227.53333333333,392.643333333333
"15","TO","T1","3",8127.90333333333,2246.8
"16","TO","T1","7",9342.81,6912.35333333333
"17","TO","T2","0",5949.99666666667,614.333333333333
"18","TO","T2","1",4041.88,39.3333333333333
"19","TO","T2","3",8666.30333333333,1898.67333333333
"20","TO","T2","7",9230.94666666667,4007.9
"21","TO","T3","0",3993.85333333333,24.7366666666667
"22","TO","T3","1",6319.99,272.62
"23","TO","T3","3",8175.06333333333,1248.50666666667
"24","TO","T3","7",9529.96,2248.79
