site,treatment,sample_name,timepoint,rep,vial_name,CO2_ppm,CH4_ppm,CH4_ppm_corrected,CO2_ppm_corrected,Temp_C,AFDM_g,CH4_avg,CO2_avg,AFDM_avg,CH4_production,CO2_production,AFDM_corrected_CH4_production,AFDM_corrected_CO2 production
PA,T1,PA-T1,0,a,PA-T1-0a,9071.3012,170.0114,168.6634,8464.9700,25.0000,1.6500,186.5344,7253.5548,1.6400,,,,
PA,T1,PA-T1,0,b,PA-T1-0b,7122.7918,195.2899,193.9419,6516.4606,25.0000,1.6000,,,,,,,
PA,T1,PA-T1,0,c,PA-T1-0c,7385.5651,198.3458,196.9978,6779.2339,25.0000,1.6700,,,,,,,
PA,T2,PA-T2,0,a,PA-T2-0a,8968.0868,139.0890,137.7410,8361.7556,25.0000,1.7200,195.3584,8425.9562,1.7043,,,,
PA,T2,PA-T2,0,b,PA-T2-0b,8696.9998,263.0869,261.7389,8090.6686,25.0000,1.6830,,,,,,,
PA,T2,PA-T2,0,c,PA-T2-0c,9431.7757,187.9434,186.5954,8825.4445,25.0000,1.7100,,,,,,,
PA,T3,PA-T3,0,a,PA-T3-0a,7152.5122,63.3084,61.9604,6546.1809,25.0000,1.7300,136.9229,6753.1074,1.7533,,,,
PA,T3,PA-T3,0,b,PA-T3-0b,6558.8151,207.2039,205.8559,5952.4839,25.0000,1.7100,,,,,,,
PA,T3,PA-T3,0,c,PA-T3-0c,8366.9887,144.3005,142.9525,7760.6575,25.0000,1.8200,,,,,,,
PA,T1,PA-T1,1,a,PA-T1-1a,9124.6303,116.0594,114.5460,8149.6900,25.0000,1.7400,62.1677,7541.7364,1.7200,-2.9995,37.3390,-1.7239,21.4592
PA,T1,PA-T1,1,b,PA-T1-1b,8571.4074,9.2259,7.7125,7596.4670,25.0000,1.7200,,,,-7.4509,14.2880,-4.3319,8.3070
PA,T1,PA-T1,1,c,PA-T1-1c,7853.9927,65.7580,64.2446,6879.0523,25.0000,1.7000,,,,-5.0954,-15.6043,-2.9973,-9.1790
PA,T2,PA-T2,1,a,PA-T2-1a,7328.3706,77.4029,75.8896,6353.4303,25.0000,1.7000,56.2848,6054.1061,1.7533,-4.9779,-86.3552,-2.9282,-50.7972
PA,T2,PA-T2,1,b,PA-T2-1b,7169.3793,33.7856,32.2722,6194.4389,25.0000,1.7800,,,,-6.7953,-92.9799,-3.8176,-52.2359
PA,T2,PA-T2,1,c,PA-T2-1c,6589.3896,62.2061,60.6927,5614.4493,25.0000,1.7800,,,,-5.6111,-117.1461,-3.1523,-65.8124
PA,T3,PA-T3,1,a,PA-T3-1a,7375.9330,10.7185,9.2052,6400.9926,25.0000,1.7800,35.0498,6207.7734,1.7400,-5.3216,-14.6714,-2.9896,-8.2424
PA,T3,PA-T3,1,b,PA-T3-1b,8105.9834,45.5979,44.0846,7131.0431,25.0000,1.7100,,,,-3.8683,15.7473,-2.2621,9.2090
PA,T3,PA-T3,1,c,PA-T3-1c,6066.2249,53.3731,51.8597,5091.2846,25.0000,1.7300,,,,-3.5443,-69.2426,-2.0487,-40.0246
PA,T1,PA-T1,3,a,PA-T1-3a,2296.5292,18.4849,16.3219,1541.3735,25.0000,1.7200,68.3910,5311.7271,1.7400,-2.3641,-79.3359,-1.3745,-46.1255
PA,T1,PA-T1,3,b,PA-T1-3b,8325.5697,69.2744,67.1113,7570.4140,25.0000,1.7500,,,,-1.6587,4.4008,-0.9478,2.5148
PA,T1,PA-T1,3,c,PA-T1-3c,7578.5497,123.9029,121.7398,6823.3940,25.0000,1.7500,,,,-0.8999,-5.9745,-0.5142,-3.4140
PA,T2,PA-T2,3,a,PA-T2-3a,7886.6540,120.4314,118.2684,7131.4983,25.0000,1.8100,80.9058,6777.5566,1.7800,-1.0707,-17.9786,-0.5915,-9.9329
PA,T2,PA-T2,3,b,PA-T2-3b,7481.6700,70.8780,68.7149,6726.5143,25.0000,1.7800,,,,-1.7589,-23.6034,-0.9882,-13.2603
PA,T2,PA-T2,3,c,PA-T2-3c,7229.8129,57.8971,55.7340,6474.6571,25.0000,1.7500,,,,-1.9392,-27.1014,-1.1081,-15.4865
PA,T3,PA-T3,3,a,PA-T3-3a,7659.3617,86.1895,84.0265,6904.2060,25.0000,1.7600,56.6274,6731.3522,1.8433,-0.7347,2.0986,-0.4174,1.1924
PA,T3,PA-T3,3,b,PA-T3-3b,8450.0113,26.8359,24.6729,7694.8556,25.0000,1.9300,,,,-1.5590,13.0798,-0.8078,6.7771
PA,T3,PA-T3,3,c,PA-T3-3c,6350.1506,63.3459,61.1829,5594.9949,25.0000,1.8400,,,,-1.0519,-16.0849,-0.5717,-8.7418
PA,T1,PA-T1,7,a,PA-T1-7a,8380.9939,168.0208,165.7897,7078.5406,25.0000,1.7500,181.4321,6704.8058,1.7200,-0.1235,-1.0418,-0.0706,-0.5953
PA,T1,PA-T1,7,b,PA-T1-7b,7279.5972,157.8712,155.6402,5977.1439,25.0000,1.7000,,,,-0.1839,-7.5977,-0.1082,-4.4692
PA,T1,PA-T1,7,c,PA-T1-7c,8361.1863,225.0974,222.8664,7058.7330,25.0000,1.7100,,,,0.2163,-1.1597,0.1265,-0.6782
PA,T2,PA-T2,7,a,PA-T2-7a,931.8752,3.0632,0.8321,-370.5782,25.0000,1.7000,58.0206,5066.1111,1.7067,-1.1579,-52.3603,-0.6811,-30.8002
PA,T2,PA-T2,7,b,PA-T2-7b,9204.5331,58.8265,56.5955,7902.0798,25.0000,1.7300,,,,-0.8260,-3.1183,-0.4774,-1.8025
PA,T2,PA-T2,7,c,PA-T2-7c,8969.2851,118.8650,116.6340,7666.8318,25.0000,1.6900,,,,-0.4686,-4.5186,-0.2773,-2.6737
PA,T3,PA-T3,7,a,PA-T3-7a,7874.8322,105.1852,102.9542,6572.3789,25.0000,1.7500,69.4056,6398.5182,1.7067,-0.2022,-1.0758,-0.1155,-0.6147
PA,T3,PA-T3,7,b,PA-T3-7b,7666.3792,39.8042,37.5732,6363.9259,25.0000,1.7300,,,,-0.5914,-2.3166,-0.3418,-1.3391
PA,T3,PA-T3,7,c,PA-T3-7c,7561.7030,69.9204,67.6894,6259.2497,25.0000,1.6400,,,,-0.4121,-2.9396,-0.2513,-1.7925
TO,T1,TO-T1,0,a,TO-T1-0a,5184.9483,25.6768,24.3288,4578.6170,25.0000,1.0300,21.2880,4123.5900,1.0167,,,,
TO,T1,TO-T1,0,b,TO-T1-0b,5521.8739,16.1794,14.8314,4915.5427,25.0000,1.0300,,,,,,,
TO,T1,TO-T1,0,c,TO-T1-0c,3482.9414,26.0519,24.7039,2876.6101,25.0000,0.9900,,,,,,,
TO,T2,TO-T2,0,a,TO-T2-0a,5514.4082,438.3974,437.0494,4908.0770,25.0000,1.0000,612.9840,5343.6673,0.9633,,,,
TO,T2,TO-T2,0,b,TO-T2-0b,5850.6049,648.5583,647.2103,5244.2737,25.0000,0.9400,,,,,,,
TO,T2,TO-T2,0,c,TO-T2-0c,6484.9823,756.0404,754.6924,5878.6511,25.0000,0.9500,,,,,,,
TO,T3,TO-T3,0,a,TO-T3-0a,3868.7890,31.6747,30.3267,3262.4578,25.0000,1.0500,23.3888,3387.5207,1.0467,,,,
TO,T3,TO-T3,0,b,TO-T3-0b,4057.7005,16.9176,15.5696,3451.3693,25.0000,1.0300,,,,,,,
TO,T3,TO-T3,0,c,TO-T3-0c,4055.0662,25.6180,24.2700,3448.7350,25.0000,1.0600,,,,,,,
TO,T1,TO-T1,1,a,TO-T1-1a,6656.9657,485.6708,484.1574,5682.0253,25.0000,1.1100,391.1308,5252.5913,1.0467,19.2862,64.9348,17.3750,58.4998
TO,T1,TO-T1,1,b,TO-T1-1b,6664.8084,282.1000,280.5866,5689.8681,25.0000,1.0200,,,,10.8041,65.2616,10.5923,63.9819
TO,T1,TO-T1,1,c,TO-T1-1c,5360.8210,410.1619,408.6485,4385.8806,25.0000,1.0100,,,,16.1400,10.9288,15.9802,10.8206
TO,T2,TO-T2,1,a,TO-T2-1a,4345.1248,25.1320,23.6186,3370.1844,25.0000,1.0000,37.8195,3066.9429,1.0000,-24.5569,-82.2285,-24.5569,-82.2285
TO,T2,TO-T2,1,b,TO-T2-1b,4176.0213,74.3383,72.8249,3201.0809,25.0000,0.9800,,,,-22.5066,-89.2744,-22.9659,-91.0964
TO,T2,TO-T2,1,c,TO-T2-1c,3604.5037,18.5283,17.0149,2629.5633,25.0000,1.0200,,,,-24.8320,-113.0877,-24.3451,-110.8703
TO,T3,TO-T3,1,a,TO-T3-1a,4681.4635,250.9838,249.4704,3706.5232,25.0000,1.0100,271.1081,5345.0497,1.0033,9.4201,13.2918,9.3268,13.1602
TO,T3,TO-T3,1,b,TO-T3-1b,7593.9917,263.0073,261.4939,6619.0513,25.0000,1.0000,,,,9.9210,134.6471,9.9210,134.6471
TO,T3,TO-T3,1,c,TO-T3-1c,6684.5151,303.8734,302.3600,5709.5747,25.0000,1.0000,,,,11.6238,96.7523,11.6238,96.7523
