site,treatment,sample_name,timepoint,rep,vial_name,CH4_ppm,CO2_ppm,CH4_ppm_corrected,CO2_ppm_corrected,Temp_C,AFDM_g,CH4_avg,CO2_avg,AFDM_avg,CH4_production,CO2_production,AFDM_corrected_CH4_production,AFDM_corrected_CO2 production
PA,T1,PA-T1,0,a,PA-T1-0a,194.5609,3727.8486,191.2006,3074.5811,,,290.8462,3936.8,#DIV/0!,,,,
PA,T1,PA-T1,0,b,PA-T1-0b,182.1384,3092.1905,178.7781,2438.923,,,,,,,,,
PA,T1,PA-T1,0,c,PA-T1-0c,255.5365,6184.0527,252.1762,5530.7852,,,,,,,,,
PA,T1,PA-T1,0,d,PA-T1-0d,544.5902,5356.178,541.2298,4702.9105,,,,,,,,,
PA,T2,PA-T2,0,a,PA-T2-0a,247.6801,4786.8302,244.3198,4133.5627,,,329.0551,4684.1156,#DIV/0!,,,,
PA,T2,PA-T2,0,b,PA-T2-0b,,,,,,,,,,,,,
PA,T2,PA-T2,0,c,PA-T2-0c,220.7317,5604.7925,217.3714,4951.525,,,,,,,,,
PA,T2,PA-T2,0,d,PA-T2-0d,528.8344,5620.5266,525.4741,4967.2591,,,,,,,,,
PA,T3,PA-T3,0,a,PA-T3-0a,452.7207,5080.7145,449.3604,4427.447,,,580.0602,5016.9713,#DIV/0!,,,,
PA,T3,PA-T3,0,b,PA-T3-0b,714.1204,6259.7632,710.76,5606.4957,,,,,,,,,
PA,T3,PA-T3,0,c,PA-T3-0c,,,,,,,,,,,,,
PA,T3,PA-T3,0,d,PA-T3-0d,,,,,,,,,,,,,
PA,T1,PA-T1,1,a,PA-T1-1a,,,,,,,240.9586,4325.661,#DIV/0!,-1.4502,-164.0333,#DIV/0!,#DIV/0!
PA,T1,PA-T1,1,b,PA-T1-1b,259.4019,4524.8704,256.0416,3871.6029,,,,,,-1.4502,-2.7165,#DIV/0!,#DIV/0!
PA,T1,PA-T1,1,c,PA-T1-1c,248.6058,4337.4309,245.2455,3684.1634,,,,,,-1.9,-10.5265,#DIV/0!,#DIV/0!
PA,T1,PA-T1,1,d,PA-T1-1d,224.949,6074.4843,221.5887,5421.2168,,,,,,,,,
PA,T2,PA-T2,1,a,PA-T2-1a,398.6259,5947.1471,395.2656,5293.8796,,,296.3794,5198.3724,#DIV/0!,2.7588,25.4068,#DIV/0!,#DIV/0!
PA,T2,PA-T2,1,b,PA-T2-1b,346.2493,6821.0226,342.8889,6167.7551,,,,,,0.5764,61.8183,#DIV/0!,#DIV/0!
PA,T2,PA-T2,1,c,PA-T2-1c,148.4545,4396.1433,145.0942,3742.8758,,,,,,-7.665,-39.2183,#DIV/0!,#DIV/0!
PA,T2,PA-T2,1,d,PA-T2-1d,305.6294,6242.2466,302.269,5588.9791,,,,,,,,,
PA,T3,PA-T3,1,a,PA-T3-1a,,,,,,,294.2242,5127.1743,#DIV/0!,-24.1692,-209.0405,#DIV/0!,#DIV/0!
PA,T3,PA-T3,1,b,PA-T3-1b,335.6335,5848.186,332.2731,5194.9185,,,,,,-10.3245,7.4145,#DIV/0!,#DIV/0!
PA,T3,PA-T3,1,c,PA-T3-1c,259.5356,5712.6976,256.1753,5059.4301,,,,,,-13.4952,1.7691,#DIV/0!,#DIV/0!
PA,T3,PA-T3,1,d,PA-T3-1d,,,,,,,,,,,,,
PA,T1,PA-T1,3,a,PA-T1-3a,262.2532,4261.4948,258.8929,3608.2273,,,271.0562,4431.1396,#DIV/0!,-0.4438,-4.5635,#DIV/0!,#DIV/0!
PA,T1,PA-T1,3,b,PA-T1-3b,345.4517,6495.847,342.0913,5842.5795,,,,,,0.7117,26.4692,#DIV/0!,#DIV/0!
PA,T1,PA-T1,3,c,PA-T1-3c,248.4207,5262.6988,245.0603,4609.4313,,,,,,-0.6359,9.3421,#DIV/0!,#DIV/0!
PA,T1,PA-T1,3,d,PA-T1-3d,241.5406,4317.5879,238.1803,3664.3204,,,,,,,,,
PA,T2,PA-T2,3,a,PA-T2-3a,157.639,5650.1773,154.2787,4996.9098,,,236.0743,4686.1318,#DIV/0!,-2.4274,4.3444,#DIV/0!,#DIV/0!
PA,T2,PA-T2,3,b,PA-T2-3b,306.2931,4736.8812,302.9328,4083.6137,,,,,,-0.3628,-8.3403,#DIV/0!,#DIV/0!
PA,T2,PA-T2,3,c,PA-T2-3c,193.0369,4973.6195,189.6766,4320.352,,,,,,-1.9358,-5.0523,#DIV/0!,#DIV/0!
PA,T2,PA-T2,3,d,PA-T2-3d,300.7695,5996.919,297.4091,5343.6515,,,,,,,,,
PA,T3,PA-T3,3,a,PA-T3-3a,,,,,,,259.2718,5505.1534,#DIV/0!,-8.0564,-69.6802,#DIV/0!,#DIV/0!
PA,T3,PA-T3,3,b,PA-T3-3b,281.58,6263.5885,278.2197,5610.321,,,,,,-4.1922,8.241,#DIV/0!,#DIV/0!
PA,T3,PA-T3,3,c,PA-T3-3c,146.6703,5886.0808,143.3099,5232.8133,,,,,,-6.066,2.9978,#DIV/0!,#DIV/0!
PA,T3,PA-T3,3,d,PA-T3-3d,359.646,6325.5934,356.2857,5672.3259,,,,,,,,,
PA,T1,PA-T1,7,a,PA-T1-7a,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!
PA,T1,PA-T1,7,b,PA-T1-7b,,,,,,,,,,,,#DIV/0!,#DIV/0!
PA,T1,PA-T1,7,c,PA-T1-7c,,,,,,,,,,,,#DIV/0!,#DIV/0!
PA,T1,PA-T1,7,d,PA-T1-7d,,,,,,,,,,,,,
PA,T2,PA-T2,7,a,PA-T2-7a,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!
PA,T2,PA-T2,7,b,PA-T2-7b,,,,,,,,,,,,#DIV/0!,#DIV/0!
PA,T2,PA-T2,7,c,PA-T2-7c,,,,,,,,,,,,#DIV/0!,#DIV/0!
PA,T2,PA-T2,7,d,PA-T2-7d,,,,,,,,,,,,,
PA,T3,PA-T3,7,a,PA-T3-7a,,,,,,,#DIV/0!,#DIV/0!,#DIV/0!,,,#DIV/0!,#DIV/0!
PA,T3,PA-T3,7,b,PA-T3-7b,,,,,,,,,,,,#DIV/0!,#DIV/0!
PA,T3,PA-T3,7,c,PA-T3-7c,,,,,,,,,,,,#DIV/0!,#DIV/0!
PA,T3,PA-T3,7,d,PA-T3-7d,,,,,,,,,,,,,
TO,T1,TO-T1,0,a,TO-T1-0a,34.7715,3847.9051,31.4112,3194.6376,,,30.4924,3071.3468,#DIV/0!,,,,
TO,T1,TO-T1,0,b,TO-T1-0b,35.7574,3432.1932,32.3971,2778.9256,,,,,,,,,
TO,T1,TO-T1,0,c,TO-T1-0c,32.1721,4178.6547,28.8118,3525.3872,,,,,,,,,
TO,T1,TO-T1,0,d,TO-T1-0d,32.71,3439.7044,29.3496,2786.4369,,,,,,,,,
TO,T2,TO-T2,0,a,TO-T2-0a,107.5787,2695.3005,104.2184,2042.033,,,140.0276,2930.4795,#DIV/0!,,,,
TO,T2,TO-T2,0,b,TO-T2-0b,149.3839,3951.704,146.0235,3298.4365,,,,,,,,,
TO,T2,TO-T2,0,c,TO-T2-0c,170.4954,3639.6047,167.1351,2986.3372,,,,,,,,,
