"site","treatment","sample_name","timepoint","rep","vial_name","CO2_ppm","CH4_ppm","CH4_ppm_corrected","CO2_ppm_corrected","Temp_C","AFDM_g","CH4_avg","CO2_avg","AFDM_avg","CH4_production","CO2_production","AFDM_corrected_CH4_production","AFDM_corrected_CO2 production","AirV_mL","WaterV_mL","wCO2_uatm_medhs","wCO2_uatm_minhs","wCO2_uatm_maxhs","wCO2_umolm3_med","wCO2_uM_med","wCO2_mgL_med"
"PA","T1","PA-T1",0,"a","PA-T1-0a",9071.3012,170.0114,168.6634,8464.97,25,1.65,186.5344,7253.5548,1.64,NA,NA,NA,NA,15,15,19655.7772745093,19655.7772745093,19655.7772745093,803424.392864391,803.42439286439,35358.7075299618
"PA","T1","PA-T1",0,"b","PA-T1-0b",7122.7918,195.2899,193.9419,6516.4606,25,1.6,NA,NA,NA,NA,NA,NA,NA,15,15,15012.200127207,15012.200127207,15012.200127207,613619.477078711,613.619477078711,27005.3931862341
"PA","T1","PA-T1",0,"c","PA-T1-0c",7385.5651,198.3458,196.9978,6779.2339,25,1.67,NA,NA,NA,NA,NA,NA,NA,15,15,15638.4265599875,15638.4265599875,15638.4265599875,639216.307187524,639.216307187524,28131.9096793229
"PA","T2","PA-T2",0,"a","PA-T2-0a",8968.0868,139.089,137.741,8361.7556,25,1.72,195.3584,8425.9562,1.7043,NA,NA,NA,NA,15,15,19409.8025673242,19409.8025673242,19409.8025673242,793370.245576279,793.370245576279,34916.224507812
"PA","T2","PA-T2",0,"b","PA-T2-0b",8696.9998,263.0869,261.7389,8090.6686,25,1.683,NA,NA,NA,NA,NA,NA,NA,15,15,18763.7633959808,18763.7633959808,18763.7633959808,766963.575325885,766.963575325885,33754.0669500922
"PA","T2","PA-T2",0,"c","PA-T2-0c",9431.7757,187.9434,186.5954,8825.4445,25,1.71,NA,NA,NA,NA,NA,NA,NA,15,15,20514.8396687607,20514.8396687607,20514.8396687607,838538.327708834,838.538327708834,36904.0718024658
"PA","T3","PA-T3",0,"a","PA-T3-0a",7152.5122,63.3084,61.9604,6546.1809,25,1.73,136.9229,6753.1074,1.7533,NA,NA,NA,NA,15,15,15083.0278614181,15083.0278614181,15083.0278614181,616514.540884215,616.514540884215,27132.8049443143
"PA","T3","PA-T3",0,"b","PA-T3-0b",6558.8151,207.2039,205.8559,5952.4839,25,1.71,NA,NA,NA,NA,NA,NA,NA,15,15,13668.1628258058,13668.1628258058,13668.1628258058,558682.328687953,558.682328687953,24587.6092855568
"PA","T3","PA-T3",0,"c","PA-T3-0c",8366.9887,144.3005,142.9525,7760.6575,25,1.82,NA,NA,NA,NA,NA,NA,NA,15,15,17977.2996497366,17977.2996497366,17977.2996497366,734817.089892539,734.817089892539,32339.3001261706
"PA","T1","PA-T1",1,"a","PA-T1-1a",9124.6303,116.0594,114.546,8149.69,25,1.74,62.1677,7541.7364,1.72,-2.9995,37.339,-1.7239,21.4592,15,15,18904.4198507261,18904.4198507261,18904.4198507261,772712.868532556,772.712868532556,34007.0933441178
