site,treatment,sample_name,timepoint,rep,vial_name,CO2_ppm,CH4_ppm,CH4_ppm_corrected,CO2_ppm_corrected,Temp_C,AFDM_g,CH4_avg,CO2_avg,AFDM_avg,CH4_production,CO2_production,AFDM_corrected_CH4_production,AFDM_corrected_CO2 production,AirV_mL,WaterV_mL,wCO2_uatm_medhs,wCO2_uatm_minhs,wCO2_uatm_maxhs,wCO2_umolm3_med,wCO2_uM_med,wCO2_mgL_med,CH4_avg,CO2_avg_mgL,CH4_production,CO2_production,AFDM_corrected_CH4_production,AFDM_corrected_CO2 production
PA,T1,PA-T1,0,a,PA-T1-0a,9071.3012,170.0114,168.6634,8464.97,25,1.65,186.5344,7253.5548,1.64,NA,NA,NA,NA,15,15,19655.77727,19655.77727,19655.77727,803424.3929,803.4243929,35358.70753,16768.8013,30165.3368,,,,
PA,T1,PA-T1,0,b,PA-T1-0b,7122.7918,195.2899,193.9419,6516.4606,25,1.6,NA,NA,NA,NA,NA,NA,NA,15,15,15012.20013,15012.20013,15012.20013,613619.4771,613.6194771,27005.39319,,,,,,
PA,T1,PA-T1,0,c,PA-T1-0c,7385.5651,198.3458,196.9978,6779.2339,25,1.67,NA,NA,NA,NA,NA,NA,NA,15,15,15638.42656,15638.42656,15638.42656,639216.3072,639.2163072,28131.90968,,,,,,
PA,T2,PA-T2,0,a,PA-T2-0a,8968.0868,139.089,137.741,8361.7556,25,1.72,195.3584,8425.9562,1.7043,NA,NA,NA,NA,15,15,19409.80257,19409.80257,19409.80257,793370.2456,793.3702456,34916.22451,19562.8019,35191.4544,,,,
PA,T2,PA-T2,0,b,PA-T2-0b,8696.9998,263.0869,261.7389,8090.6686,25,1.683,NA,NA,NA,NA,NA,NA,NA,15,15,18763.7634,18763.7634,18763.7634,766963.5753,766.9635753,33754.06695,,,,,,
PA,T2,PA-T2,0,c,PA-T2-0c,9431.7757,187.9434,186.5954,8825.4445,25,1.71,NA,NA,NA,NA,NA,NA,NA,15,15,20514.83967,20514.83967,20514.83967,838538.3277,838.5383277,36904.0718,,,,,,
PA,T3,PA-T3,0,a,PA-T3-0a,7152.5122,63.3084,61.9604,6546.1809,25,1.73,136.9229,6753.1074,1.7533,NA,NA,NA,NA,15,15,15083.02786,15083.02786,15083.02786,616514.5409,616.5145409,27132.80494,15576.1634,28019.9048,,,,
PA,T3,PA-T3,0,b,PA-T3-0b,6558.8151,207.2039,205.8559,5952.4839,25,1.71,NA,NA,NA,NA,NA,NA,NA,15,15,13668.16283,13668.16283,13668.16283,558682.3287,558.6823287,24587.60929,,,,,,
PA,T3,PA-T3,0,c,PA-T3-0c,8366.9887,144.3005,142.9525,7760.6575,25,1.82,NA,NA,NA,NA,NA,NA,NA,15,15,17977.29965,17977.29965,17977.29965,734817.0899,734.8170899,32339.30013,,,,,,
PA,T1,PA-T1,1,a,PA-T1-1a,9124.6303,116.0594,114.546,8149.69,25,1.74,62.1677,7541.7364,1.72,-2.9995,37.339,-1.7239,21.4592,15,15,18904.41985,18904.41985,18904.41985,772712.8685,772.7128685,34007.09334,17455.5794,31400.7794,779.9119,160.0732,0.0229,91.9961
PA,T1,PA-T1,1,b,PA-T1-1b,8571.4074,9.2259,7.7125,7596.467,25,1.72,NA,NA,NA,-7.4509,14.288,-4.3319,8.307,15,15,17586.01016,17586.01016,17586.01016,718823.2415,718.8232415,31635.41086,,,724.9782,61.2531,0.0229,35.6123
PA,T1,PA-T1,1,c,PA-T1-1c,7853.9927,65.758,64.2446,6879.0523,25,1.7,NA,NA,NA,-5.0954,-15.6043,-2.9973,-9.179,15,15,15876.30811,15876.30811,15876.30811,648939.649,648.939649,28559.83395,,,653.7406,-66.8960,0.0229,-39.3506
PA,T2,PA-T2,1,a,PA-T2-1a,7328.3706,77.4029,75.8896,6353.4303,25,1.7,56.2848,6054.1061,1.7533,-4.9779,-86.3552,-2.9282,-50.7972,15,15,14623.67556,14623.67556,14623.67556,597738.6441,597.7386441,26306.47773,13910.3433,25023.2668,601.1799,-370.2074,0.0229,-217.7690
PA,T2,PA-T2,1,b,PA-T2-1b,7169.3793,33.7856,32.2722,6194.4389,25,1.78,NA,NA,NA,-6.7953,-92.9799,-3.8176,-52.2359,15,15,14244.77627,14244.77627,14244.77627,582251.2416,582.2512416,25624.87714,,,585.3924,-398.6074,0.0228,-223.9367
PA,T2,PA-T2,1,c,PA-T2-1c,6589.3896,62.2061,60.6927,5614.4493,25,1.78,NA,NA,NA,-5.6111,-117.1461,-3.1523,-65.8124,15,15,12862.57793,12862.57793,12862.57793,525754.2716,525.7542716,23138.44549,,,527.8008,-502.2087,0.0228,-282.1397
PA,T3,PA-T3,1,a,PA-T3-1a,7375.933,10.7185,9.2052,6400.9926,25,1.78,35.0498,6207.7734,1.74,-5.3216,-14.6714,-2.9896,-8.2424,15,15,14737.02334,14737.02334,14737.02334,602371.7027,602.3717027,26510.37864,14276.5544,25682.0427,608.3375,-62.8969,0.0229,-35.3353
PA,T3,PA-T3,1,b,PA-T3-1b,8105.9834,45.5979,44.0846,7131.0431,25,1.71,NA,NA,NA,-3.8683,15.7473,-2.2621,9.209,15,15,16476.8383,16476.8383,16476.8383,673486.1524,673.4861524,29640.12557,,,680.8298,67.5092,0.0230,39.4791
PA,T3,PA-T3,1,c,PA-T3-1c,6066.2249,53.3731,51.8597,5091.2846,25,1.73,NA,NA,NA,-3.5443,-69.2426,-2.0487,-40.0246,15,15,11615.80147,11615.80147,11615.80147,474792.633,474.792633,20895.62378,,,478.2866,-296.8450,0.0229,-171.5867
PA,T1,PA-T1,3,a,PA-T1-3a,2296.5292,18.4849,16.3219,1541.3735,25,1.72,68.391,5311.7271,1.74,-2.3641,-79.3359,-1.3745,-46.1255,15,15,3155.854572,3155.854572,3155.854572,128994.6721,128.9946721,5677.055518,12141.1477,21840.6672,41.2406,-1020.3451,0.0073,-593.2239
PA,T1,PA-T1,3,b,PA-T1-3b,8325.5697,69.2744,67.1113,7570.414,25,1.75,NA,NA,NA,-1.6587,4.4008,-0.9478,2.5148,15,15,17523.92212,17523.92212,17523.92212,716285.4105,716.2854105,31523.72092,,,240.7971,56.5993,0.0076,32.3425
PA,T1,PA-T1,3,c,PA-T1-3c,7578.5497,123.9029,121.7398,6823.394,25,1.75,NA,NA,NA,-0.8999,-5.9745,-0.5142,-3.414,15,15,15743.66641,15743.66641,15743.66641,643517.9565,643.5179565,28321.22526,,,216.0713,-76.8380,0.0076,-43.9074
PA,T2,PA-T2,3,a,PA-T2-3a,7886.654,120.4314,118.2684,7131.4983,25,1.81,80.9058,6777.5566,1.78,-1.0707,-17.9786,-0.5915,-9.9329,15,15,16477.92311,16477.92311,16477.92311,673530.4936,673.5304936,29642.07702,15634.4292,28124.7189,226.1467,-231.2241,0.0076,-127.7481
PA,T2,PA-T2,3,b,PA-T2-3b,7481.67,70.878,68.7149,6726.5143,25,1.78,NA,NA,NA,-1.7589,-23.6034,-0.9882,-13.2603,15,15,15512.7882,15512.7882,15512.7882,634080.8743,634.0808743,27905.89928,,,212.7421,-303.5648,0.0076,-170.5420
PA,T2,PA-T2,3,c,PA-T2-3c,7229.8129,57.8971,55.734,6474.6571,25,1.75,NA,NA,NA,-1.9392,-27.1014,-1.1081,-15.4865,15,15,14912.5764,14912.5764,14912.5764,609547.3849,609.5473849,26826.18041,,,204.4058,-348.5531,0.0076,-199.1732
PA,T3,PA-T3,3,a,PA-T3-3a,7659.3617,86.1895,84.0265,6904.206,25,1.76,56.6274,6731.3522,1.8433,-0.7347,2.0986,-0.4174,1.1924,15,15,15936.25298,15936.25298,15936.25298,651389.8789,651.3898789,28667.66857,15524.3175,27926.6393,219.4351,26.9902,0.0077,15.3353
PA,T3,PA-T3,3,b,PA-T3-3b,8450.0113,26.8359,24.6729,7694.8556,25,1.93,NA,NA,NA,-1.559,13.0798,-0.8078,6.7771,15,15,17820.48429,17820.48429,17820.48429,728407.306,728.407306,32057.20554,,,245.6050,168.2209,0.0077,87.1611
PA,T3,PA-T3,3,c,PA-T3-3c,6350.1506,63.3459,61.1829,5594.9949,25,1.84,NA,NA,NA,-1.0519,-16.0849,-0.5717,-8.7418,15,15,12816.21531,12816.21531,12816.21531,523859.2123,523.8592123,23055.04394,,,176.1013,-206.8692,0.0076,-112.4289
PA,T1,PA-T1,7,a,PA-T1-7a,8380.9939,168.0208,165.7897,7078.5406,25,1.75,181.4321,6704.8058,1.72,-0.1235,-1.0418,-0.0706,-0.5953,15,15,16351.71732,16351.71732,16351.71732,668371.8673,668.3718673,29415.04588,15461.0538,27812.8345,96.2213,-31.2621,0.0033,-17.8641
PA,T1,PA-T1,7,b,PA-T1-7b,7279.5972,157.8712,155.6402,5977.1439,25,1.7,NA,NA,NA,-0.1839,-7.5977,-0.1082,-4.4692,15,15,13726.93114,13726.93114,13726.93114,561084.4671,561.0844671,24693.3274,,,80.5976,-228.0004,0.0033,-134.1179
PA,T1,PA-T1,7,c,PA-T1-7c,8361.1863,225.0974,222.8664,7058.733,25,1.71,NA,NA,NA,0.2163,-1.1597,0.1265,-0.6782,15,15,16304.51297,16304.51297,16304.51297,666442.4028,666.4424028,29330.13015,,,95.9403,-34.8003,0.0033,-20.3510
PA,T2,PA-T2,7,a,PA-T2-7a,931.8752,3.0632,0.8321,-370.5782,25,1.7,58.0206,5066.1111,1.7067,-1.1579,-52.3603,-0.6811,-30.8002,15,15,-1400.600337,-1400.600337,-1400.600337,-57249.14662,-57.24914662,,11555.8095,32441.3241,-9.4998,-1466.3106,#DIV/0!,-862.5356
PA,T2,PA-T2,7,b,PA-T2-7b,9204.5331,58.8265,56.5955,7902.0798,25,1.73,NA,NA,NA,-0.826,-3.1183,-0.4774,-1.8025,15,15,18314.32926,18314.32926,18314.32926,748593.0808,748.5930808,32945.58149,,,107.8510,-93.5780,0.0033,-54.0914
PA,T2,PA-T2,7,c,PA-T2-7c,8969.2851,118.865,116.634,7666.8318,25,1.69,NA,NA,NA,-0.4686,-4.5186,-0.2773,-2.6737,15,15,17753.69956,17753.69956,17753.69956,725677.4988,725.6774988,31937.06672,,,104.5139,-135.5995,0.0033,-80.2364
PA,T3,PA-T3,7,a,PA-T3-7a,7874.8322,105.1852,102.9542,6572.3789,25,1.75,69.4056,6398.5182,1.7067,-0.2022,-1.0758,-0.1155,-0.6147,15,15,15145.46145,15145.46145,15145.46145,619066.4963,619.0664963,27245.1165,14731.1264,26499.7707,89.3365,-32.2828,0.0033,-18.4473
PA,T3,PA-T3,7,b,PA-T3-7b,7666.3792,39.8042,37.5732,6363.9259,25,1.73,NA,NA,NA,-0.5914,-2.3166,-0.3418,-1.3391,15,15,14648.68808,14648.68808,14648.68808,598761.0238,598.7610238,26351.47266,,,86.3796,-69.5180,0.0033,-40.1838
PA,T3,PA-T3,7,c,PA-T3-7c,7561.703,69.9204,67.6894,6259.2497,25,1.64,NA,NA,NA,-0.4121,-2.9396,-0.2513,-1.7925,15,15,14399.22969,14399.22969,14399.22969,588564.4821,588.5644821,25902.72286,,,84.8947,-88.2159,0.0033,-53.7902
TO,T1,TO-T1,0,a,TO-T1-0a,5184.9483,25.6768,24.3288,4578.617,25,1.03,21.288,4123.59,1.0167,NA,NA,NA,NA,15,15,10394.04111,10394.04111,10394.04111,424853.5202,424.8535202,18697.80343,9309.6464,16747.0897,,,,
TO,T1,TO-T1,0,b,TO-T1-0b,5521.8739,16.1794,14.8314,4915.5427,25,1.03,NA,NA,NA,NA,NA,NA,NA,15,15,11196.98334,11196.98334,11196.98334,457673.559,457.673559,20142.21333,,,,,,
TO,T1,TO-T1,0,c,TO-T1-0c,3482.9414,26.0519,24.7039,2876.6101,25,0.99,NA,NA,NA,NA,NA,NA,NA,15,15,6337.914747,6337.914747,6337.914747,259060.4908,259.0604908,11401.2522,,,,,,
TO,T2,TO-T2,0,a,TO-T2-0a,5514.4082,438.3974,437.0494,4908.077,25,1,612.984,5343.6673,0.9633,NA,NA,NA,NA,15,15,11179.19151,11179.19151,11179.19151,456946.3228,456.9463228,20110.20767,12217.2655,21977.5953,,,,
TO,T2,TO-T2,0,b,TO-T2-0b,5850.6049,648.5583,647.2103,5244.2737,25,0.94,NA,NA,NA,NA,NA,NA,NA,15,15,11980.39642,11980.39642,11980.39642,489695.3495,489.6953495,21551.49233,,,,,,
TO,T2,TO-T2,0,c,TO-T2-0c,6484.9823,756.0404,754.6924,5878.6511,25,0.95,NA,NA,NA,NA,NA,NA,NA,15,15,13492.20868,13492.20868,13492.20868,551490.2523,551.4902523,24271.08601,,,,,,
TO,T3,TO-T3,0,a,TO-T3-0a,3868.789,31.6747,30.3267,3262.4578,25,1.05,23.3888,3387.5207,1.0467,NA,NA,NA,NA,15,15,7257.445113,7257.445113,7257.445113,296646.0371,296.6460371,13055.39209,7555.4879,13591.5402,,,,
TO,T3,TO-T3,0,b,TO-T3-0b,4057.7005,16.9176,15.5696,3451.3693,25,1.03,NA,NA,NA,NA,NA,NA,NA,15,15,7707.648291,7707.648291,7707.648291,315047.9659,315.0479659,13865.26098,,,,,,
TO,T3,TO-T3,0,c,TO-T3-0c,4055.0662,25.618,24.27,3448.735,25,1.06,NA,NA,NA,NA,NA,NA,NA,15,15,7701.370377,7701.370377,7701.370377,314791.3579,314.7913579,13853.96766,,,,,,
TO,T1,TO-T1,1,a,TO-T1-1a,6656.9657,485.6708,484.1574,5682.0253,25,1.11,391.1308,5252.5913,1.0467,19.2862,64.9348,17.375,58.4998,15,15,13023.62122,13023.62122,13023.62122,532336.8711,532.3368711,23428.1457,12000.2185,21587.1503,541.7639,22008.8867,0.0231,0.9394
TO,T1,TO-T1,1,b,TO-T1-1b,6664.8084,282.1,280.5866,5689.8681,25,1.02,NA,NA,NA,10.8041,65.2616,10.5923,63.9819,15,15,13042.31174,13042.31174,13042.31174,533100.8407,533.1008407,23461.768,,,542.5427,22040.7188,0.0231,0.9394
TO,T1,TO-T1,1,c,TO-T1-1c,5360.821,410.1619,408.6485,4385.8806,25,1.01,NA,NA,NA,16.14,10.9288,15.9802,10.8206,15,15,9934.722647,9934.722647,9934.722647,406079.0067,406.0790067,17871.53708,,,413.0598,16748.1424,0.0231,0.9371
TO,T2,TO-T2,1,a,TO-T2-1a,4345.1248,25.132,23.6186,3370.1844,25,1,37.8195,3066.9429,1,-24.5569,-82.2285,-24.5569,-82.2285,15,15,7514.17304,7514.17304,7514.17304,307139.7192,307.1397192,13517.21904,6791.5050,12217.2141,287.5495,12574.8355,0.0213,0.9303
TO,T2,TO-T2,1,b,TO-T2-1b,4176.0213,74.3383,72.8249,3201.0809,25,0.98,NA,NA,NA,-22.5066,-89.2744,-22.9659,-91.0964,15,15,7111.175164,7111.175164,7111.175164,290667.2939,290.6672939,12792.2676,,,270.7580,11888.4844,0.0212,0.9293
TO,T2,TO-T2,1,c,TO-T2-1c,3604.5037,18.5283,17.0149,2629.5633,25,1.02,NA,NA,NA,-24.832,-113.0877,-24.3451,-110.8703,15,15,5749.166818,5749.166818,5749.166818,234995.584,234.995584,10342.15565,,,214.0076,9568.8299,0.0207,0.9252
TO,T3,TO-T3,1,a,TO-T3-1a,4681.4635,250.9838,249.4704,3706.5232,25,1.01,271.1081,5345.0497,1.0033,9.4201,13.2918,9.3268,13.1602,15,15,8315.716602,8315.716602,8315.716602,339902.5879,339.9025879,14959.11289,12220.5602,21983.5220,345.5137,14021.4611,0.0231,0.9373
TO,T3,TO-T3,1,b,TO-T3-1b,7593.9917,263.0073,261.4939,6619.0513,25,1,NA,NA,NA,9.921,134.6471,9.921,134.6471,15,15,15256.68847,15256.68847,15256.68847,623612.8696,623.6128696,27445.20239,,,634.7208,25842.7229,0.0231,0.9416
TO,T3,TO-T3,1,c,TO-T3-1c,6684.5151,303.8734,302.36,5709.5747,25,1,NA,NA,NA,11.6238,96.7523,11.6238,96.7523,15,15,13089.27539,13089.27539,13089.27539,535020.4668,535.0204668,23546.25075,,,544.4119,22151.3728,0.0231,0.9408
TO,T1,TO-T1,3,a,TO-T1-3a,9004.9837,2485.508,2483.345,8249.828,25,0.99,2244.6373,7372.7496,1.03,34.1952,57.3089,34.5406,57.8877,15,15,19143.06306,19143.06306,19143.06306,782467.3427,782.4673427,34436.38775,17052.8595,30676.3280,265.5802,10810.3299,0.0077,0.3139
TO,T1,TO-T1,3,b,TO-T1-3b,6694.368,1880.5545,1878.3914,5939.2123,25,1.04,NA,NA,NA,25.7931,25.217,24.8011,24.2471,15,15,13636.5347,13636.5347,13636.5347,557389.5379,557.3895379,24530.71356,,,189.1006,7684.2493,0.0077,0.3133
TO,T1,TO-T1,3,c,TO-T1-3c,8684.3641,2374.3385,2372.1754,7929.2084,25,1.06,NA,NA,NA,32.6512,52.8558,30.803,49.864,15,15,18378.9806,18378.9806,18378.9806,751235.6863,751.2356863,33061.88255,,,254.9680,10376.5569,0.0077,0.3139
TO,T2,TO-T2,3,a,TO-T2-3a,8822.2595,1997.0257,1994.8627,8067.1038,25,0.95,1896.509,7911.1466,0.9933,19.1928,37.8255,20.2029,39.8163,15,15,18707.6051,18707.6051,18707.6051,764668.1207,764.6681207,33653.04399,18335.9368,32984.4513,251.3142,10546.1730,0.0075,0.3134
TO,T2,TO-T2,3,b,TO-T2-3b,8428.2074,1925.1038,1922.9408,7673.0517,25,1.02,NA,NA,NA,18.1938,32.3526,17.8371,31.7182,15,15,17768.52247,17768.52247,17768.52247,726283.3813,726.2833813,31963.73161,,,238.2714,10013.0516,0.0075,0.3133
