site,treatment,sample_name,timepoint,rep,vial_name,CO2_ppm,CH4_ppm,CO2_ppm_corrected,CH4_ppm_corrected
TO,T1,TO-T1,0,a,TO-T1-0a,5184.95,25.68,5184.95,25.68
TO,T1,TO-T1,0,b,TO-T1-0b,5521.87,16.18,5521.87,16.18
TO,T1,TO-T1,0,c,TO-T1-0c,3482.94,26.05,3482.94,26.05
TO,T2,TO-T2,0,a,TO-T2-0a,5514.41,438.40,5514.41,438.40
TO,T2,TO-T2,0,b,TO-T2-0b,5850.60,648.56,5850.60,648.56
TO,T2,TO-T2,0,c,TO-T2-0c,6484.98,756.04,6484.98,756.04
TO,T3,TO-T3,0,a,TO-T3-0a,3868.79,31.67,3868.79,31.67
TO,T3,TO-T3,0,b,TO-T3-0b,4057.70,16.92,4057.70,16.92
TO,T3,TO-T3,0,c,TO-T3-0c,4055.07,25.62,4055.07,25.62
PA,T1,PA-T1,0,a,PA-T1-0a,9071.30,170.01,9071.30,170.01
PA,T1,PA-T1,0,b,PA-T1-0b,7122.79,195.29,7122.79,195.29
PA,T1,PA-T1,0,c,PA-T1-0c,7385.57,198.35,7385.57,198.35
PA,T2,PA-T2,0,a,PA-T2-0a,8968.09,139.09,8968.09,139.09
PA,T2,PA-T2,0,b,PA-T2-0b,8697.00,263.09,8697.00,263.09
PA,T2,PA-T2,0,c,PA-T2-0c,9431.78,187.94,9431.78,187.94
PA,T3,PA-T3,0,a,PA-T3-0a,7152.51,63.31,7152.51,63.31
PA,T3,PA-T3,0,b,PA-T3-0b,6558.82,207.20,6558.82,207.20
PA,T3,PA-T3,0,c,PA-T3-0c,8366.99,144.30,8366.99,144.30
TO,T1,TO-T1,1,a,TO-T1-1a,6656.97,485.67,5682.03,484.16
TO,T1,TO-T1,1,b,TO-T1-1b,6664.81,282.10,5689.87,280.59
TO,T1,TO-T1,1,c,TO-T1-1c,5360.82,410.16,4385.88,408.65
TO,T2,TO-T2,1,a,TO-T2-1a,4345.12,25.13,3370.18,23.62
TO,T2,TO-T2,1,b,TO-T2-1b,4176.02,74.34,3201.08,72.82
TO,T2,TO-T2,1,c,TO-T2-1c,3604.50,18.53,2629.56,17.01
TO,T3,TO-T3,1,a,TO-T3-1a,4681.46,250.98,3706.52,249.47
TO,T3,TO-T3,1,b,TO-T3-1b,7593.99,263.01,6619.05,261.49
TO,T3,TO-T3,1,c,TO-T3-1c,6684.52,303.87,5709.57,302.36
PA,T1,PA-T1,1,a,PA-T1-1a,9124.63,116.06,8149.69,114.55
PA,T1,PA-T1,1,b,PA-T1-1b,8571.41,9.23,7596.47,7.71
