"site","treatment","sample_name","timepoint","rep","vial_name","CO2_ppm","CH4_ppm","CH4_ppm_corrected","CO2_ppm_corrected","Temp_C","AFDM_g","CH4_avg","CO2_avg","AFDM_avg","CH4_production","CO2_production","AFDM_corrected_CH4_production","AFDM_corrected_CO2.production","period","spc_us_cm","cond","temp_C"
"PA","T1","PA-T1","0","a","PA-T1-0a",9071.3012,170.0114,168.6634,8464.97,25,1.65,"186.5344","7253.5548","1.64",NA,NA,NA,NA,"summer",460,NA,NA
"PA","T1","PA-T1","0","b","PA-T1-0b",7122.7918,195.2899,193.9419,6516.4606,25,1.6,NA,NA,NA,NA,NA,NA,NA,"summer",460,NA,NA
"PA","T1","PA-T1","0","c","PA-T1-0c",7385.5651,198.3458,196.9978,6779.2339,25,1.67,NA,NA,NA,NA,NA,NA,NA,"summer",460,NA,NA
"PA","T2","PA-T2","0","a","PA-T2-0a",8968.0868,139.089,137.741,8361.7556,25,1.72,"195.3584","8425.9562","1.7043",NA,NA,NA,NA,"summer",1644,NA,NA
"PA","T2","PA-T2","0","b","PA-T2-0b",8696.9998,263.0869,261.7389,8090.6686,25,1.683,NA,NA,NA,NA,NA,NA,NA,"summer",1644,NA,NA
"PA","T2","PA-T2","0","c","PA-T2-0c",9431.7757,187.9434,186.5954,8825.4445,25,1.71,NA,NA,NA,NA,NA,NA,NA,"summer",1644,NA,NA
"PA","T3","PA-T3","0","a","PA-T3-0a",7152.5122,63.3084,61.9604,6546.1809,25,1.73,"136.9229","6753.1074","1.7533",NA,NA,NA,NA,"summer",2791,NA,NA
"PA","T3","PA-T3","0","b","PA-T3-0b",6558.8151,207.2039,205.8559,5952.4839,25,1.71,NA,NA,NA,NA,NA,NA,NA,"summer",2791,NA,NA
"PA","T3","PA-T3","0","c","PA-T3-0c",8366.9887,144.3005,142.9525,7760.6575,25,1.82,NA,NA,NA,NA,NA,NA,NA,"summer",2791,NA,NA
"PA","T1","PA-T1","1","a","PA-T1-1a",9124.6303,116.0594,114.546,8149.69,25,1.74,"62.1677","7541.7364","1.72",-2.9995,37.339,"-1.7239","21.4592","summer",460,NA,NA
"PA","T1","PA-T1","1","b","PA-T1-1b",8571.4074,9.2259,7.7125,7596.467,25,1.72,NA,NA,NA,-7.4509,14.288,"-4.3319","8.307","summer",460,NA,NA
"PA","T1","PA-T1","1","c","PA-T1-1c",7853.9927,65.758,64.2446,6879.0523,25,1.7,NA,NA,NA,-5.0954,-15.6043,"-2.9973","-9.179","summer",460,NA,NA
"PA","T2","PA-T2","1","a","PA-T2-1a",7328.3706,77.4029,75.8896,6353.4303,25,1.7,"56.2848","6054.1061","1.7533",-4.9779,-86.3552,"-2.9282","-50.7972","summer",1644,NA,NA
"PA","T2","PA-T2","1","b","PA-T2-1b",7169.3793,33.7856,32.2722,6194.4389,25,1.78,NA,NA,NA,-6.7953,-92.9799,"-3.8176","-52.2359","summer",1644,NA,NA
"PA","T2","PA-T2","1","c","PA-T2-1c",6589.3896,62.2061,60.6927,5614.4493,25,1.78,NA,NA,NA,-5.6111,-117.1461,"-3.1523","-65.8124","summer",1644,NA,NA
"PA","T3","PA-T3","1","a","PA-T3-1a",7375.933,10.7185,9.2052,6400.9926,25,1.78,"35.0498","6207.7734","1.74",-5.3216,-14.6714,"-2.9896","-8.2424","summer",2791,NA,NA
"PA","T3","PA-T3","1","b","PA-T3-1b",8105.9834,45.5979,44.0846,7131.0431,25,1.71,NA,NA,NA,-3.8683,15.7473,"-2.2621","9.209","summer",2791,NA,NA
"PA","T3","PA-T3","1","c","PA-T3-1c",6066.2249,53.3731,51.8597,5091.2846,25,1.73,NA,NA,NA,-3.5443,-69.2426,"-2.0487","-40.0246","summer",2791,NA,NA
"PA","T1","PA-T1","3","a","PA-T1-3a",2296.5292,18.4849,16.3219,1541.3735,25,1.72,"68.391","5311.7271","1.74",-2.3641,-79.3359,"-1.3745","-46.1255","summer",460,NA,NA
"PA","T1","PA-T1","3","b","PA-T1-3b",8325.5697,69.2744,67.1113,7570.414,25,1.75,NA,NA,NA,-1.6587,4.4008,"-0.9478","2.5148","summer",460,NA,NA
"PA","T1","PA-T1","3","c","PA-T1-3c",7578.5497,123.9029,121.7398,6823.394,25,1.75,NA,NA,NA,-0.8999,-5.9745,"-0.5142","-3.414","summer",460,NA,NA
"PA","T2","PA-T2","3","a","PA-T2-3a",7886.654,120.4314,118.2684,7131.4983,25,1.81,"80.9058","6777.5566","1.78",-1.0707,-17.9786,"-0.5915","-9.9329","summer",1644,NA,NA
"PA","T2","PA-T2","3","b","PA-T2-3b",7481.67,70.878,68.7149,6726.5143,25,1.78,NA,NA,NA,-1.7589,-23.6034,"-0.9882","-13.2603","summer",1644,NA,NA
"PA","T2","PA-T2","3","c","PA-T2-3c",7229.8129,57.8971,55.734,6474.6571,25,1.75,NA,NA,NA,-1.9392,-27.1014,"-1.1081","-15.4865","summer",1644,NA,NA
"PA","T3","PA-T3","3","a","PA-T3-3a",7659.3617,86.1895,84.0265,6904.206,25,1.76,"56.6274","6731.3522","1.8433",-0.7347,2.0986,"-0.4174","1.1924","summer",2791,NA,NA
"PA","T3","PA-T3","3","b","PA-T3-3b",8450.0113,26.8359,24.6729,7694.8556,25,1.93,NA,NA,NA,-1.559,13.0798,"-0.8078","6.7771","summer",2791,NA,NA
"PA","T3","PA-T3","3","c","PA-T3-3c",6350.1506,63.3459,61.1829,5594.9949,25,1.84,NA,NA,NA,-1.0519,-16.0849,"-0.5717","-8.7418","summer",2791,NA,NA
"PA","T1","PA-T1","7","a","PA-T1-7a",8380.9939,168.0208,165.7897,7078.5406,25,1.75,"181.4321","6704.8058","1.72",-0.1235,-1.0418,"-0.0706","-0.5953","summer",460,NA,NA
"PA","T1","PA-T1","7","b","PA-T1-7b",7279.5972,157.8712,155.6402,5977.1439,25,1.7,NA,NA,NA,-0.1839,-7.5977,"-0.1082","-4.4692","summer",460,NA,NA
"PA","T1","PA-T1","7","c","PA-T1-7c",8361.1863,225.0974,222.8664,7058.733,25,1.71,NA,NA,NA,0.2163,-1.1597,"0.1265","-0.6782","summer",460,NA,NA
"PA","T2","PA-T2","7","a","PA-T2-7a",931.8752,3.0632,0.8321,-370.5782,25,1.7,"58.0206","5066.1111","1.7067",-1.1579,-52.3603,"-0.6811","-30.8002","summer",1644,NA,NA
"PA","T2","PA-T2","7","b","PA-T2-7b",9204.5331,58.8265,56.5955,7902.0798,25,1.73,NA,NA,NA,-0.826,-3.1183,"-0.4774","-1.8025","summer",1644,NA,NA
"PA","T2","PA-T2","7","c","PA-T2-7c",8969.2851,118.865,116.634,7666.8318,25,1.69,NA,NA,NA,-0.4686,-4.5186,"-0.2773","-2.6737","summer",1644,NA,NA
"PA","T3","PA-T3","7","a","PA-T3-7a",7874.8322,105.1852,102.9542,6572.3789,25,1.75,"69.4056","6398.5182","1.7067",-0.2022,-1.0758,"-0.1155","-0.6147","summer",2791,NA,NA
"PA","T3","PA-T3","7","b","PA-T3-7b",7666.3792,39.8042,37.5732,6363.9259,25,1.73,NA,NA,NA,-0.5914,-2.3166,"-0.3418","-1.3391","summer",2791,NA,NA
"PA","T3","PA-T3","7","c","PA-T3-7c",7561.703,69.9204,67.6894,6259.2497,25,1.64,NA,NA,NA,-0.4121,-2.9396,"-0.2513","-1.7925","summer",2791,NA,NA
"TO","T1","TO-T1","0","a","TO-T1-0a",5184.9483,25.6768,24.3288,4578.617,25,1.03,"21.288","4123.59","1.0167",NA,NA,NA,NA,"summer",978,NA,NA
"TO","T1","TO-T1","0","b","TO-T1-0b",5521.8739,16.1794,14.8314,4915.5427,25,1.03,NA,NA,NA,NA,NA,NA,NA,"summer",978,NA,NA
