"site","period","timepoint","estimate","std_error","p_value","f_statistic","r_squared"
"Palmas","Summer",1,-0.0533092576141107,0.0304300552720401,0.123257702079217,3.0690204814508,0.304798315496981
"Palmas","Summer",3,0.0140406363665034,0.0155251150995864,0.395850445543454,0.817907002606115,0.104619689430108
"Palmas","Summer",7,-0.00142308566522446,0.00744108273866099,0.853760907823163,0.0365754620275357,0.00519790659887228
"Palmas","Winter",1,-0.00144273482365554,0.0214664717478554,0.947884904915242,0.00451701664370011,0.000501638970235825
"Palmas","Winter",3,0.00646384208406196,0.00490182795538079,0.244450453357146,1.73886292177598,0.258035063475919
"Tortuguero","Summer",1,-0.0149761494316532,0.0435121415576698,0.740816446116612,0.118462095910007,0.0166415293519749
"Tortuguero","Summer",3,-0.00490602538509357,0.00955004007439338,0.623262873447177,0.263905957398312,0.0363311362985809
"Tortuguero","Summer",7,-0.000593439792158593,0.00428855250185672,0.893838606655776,0.0191483724094144,0.00272801932563245
"Tortuguero","Winter",1,0.00301512241919639,0.00935309876254855,0.754537734379269,0.103919933324662,0.0114148558078005
"Tortuguero","Winter",3,0.0206126986557607,0.0104113149561104,0.0758933162793631,3.91975153706498,0.281596372365384
