Study,Site,Lat,Long,Cl_mgL,SO4_mgL,NO3_ugNL,NH4_ugNL,PO4_ugL,TDN_mgL,DOC_mgL,SRP_ugL,pH,CH4_ugL,N2O_ugL,CO2_gL, TSS_mgL, Cond_uS, chla_ugL,TN_uM,TP_uM,Temp_dailymean_C,DO_dailymean_mgL,Na_mgL,K_mgL,Mg_mgl,Ca_mgL
Helton,1,,,555.11,48.81,58.58,116.03,,1.32,31.24,4.49,5.67,108.5,0.28,,,,,,,,,,,,
Helton,2,,,276.53,18.43,12.34,114.62,,1.42,37.29,4.36,5.07,50.86,0.73,,,,,,,,,,,,
Helton,3,,,171.95,8.71,56.38,99.1,,1.34,36.82,6.92,4.37,334.74,0.28,,,,,,,,,,,,
Helton,4,,,38.14,1.3,117.49,27.65,,1.16,33.93,4.67,4.43,596.57,1.04,,,,,,,,,,,,
Helton,5,,,31.16,1.54,140.48,37.52,,1.57,40,7.33,4.59,344.67,1.74,,,,,,,,,,,,
Helton,6,,,34.58,22.63,261.97,220.03,,1.3,24.86,7.92,5.92,44.31,12.94,,,,,,,,,,,,
Lopez,Arroyo,17.9638,-66.043283,,,,,,,,,,1525.54,,25.75,,,,,,,,,,,
Lopez,CEN,18.363844,-65.695622,27.63,1.95,17.61,98.17,8.13,,3.61,,,53.32,,27.98,,,,,,,,29.73,1.29,6.38,14.98
Lopez,Esperanza,18.465542,-66.5033,,,,,,,,,,39.44,,13.96,,,,,,,,,,,
Lopez,Loiza,18.416339,-65.912722,,,,,,,,,,93.16,,10.56,,,,,,,,,,,
Lopez,Manantial,18.468492,-66.423153,503.01,64.28,2955.97,15.7,5.03,2.88,1.88,,,2.66,,23,,,,,,,,237.84,7.81,23.62,47.37
Lopez,Palmas,18.092878,-65.8006,65.1,0.77,22.55,155.43,44.12,0.93,15.81,,,971.86,,29,,,,,,,,49.5,2.81,6.18,24.24
Lopez,Tortuguero,18.469074,-66.45231,239.02,8.16,30.93,44.4,11.32,1.24,20.69,,,68.97,,23.52,,,,,,,,104.19,1.83,8.41,50.34
Amaral,WE,-3.388611,-60.254111,,,,,,,4.33,,6.66,,,7.58,10.48,50.4,6.15,41.3,0.9,29.98,3.6,,,,
Amaral,WP,-3.405722,-60.246889,,,,,,,5.17,,6.6,,,6.61,6.33,42.48,7.43,23.67,2.25,30.33,5.04,,,,
