7450-697200
OS REV: 1.05 Sensor Cal: 1618508223
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1721927820,+3.27,+28.728, +0.043,+0.942
1721928420,+3.27,+28.831, +0.043,+0.942
1721929020,+3.27,+28.934, +0.043,+0.942
1721929620,+3.27,+28.976, +0.043,+0.942
1721930220,+3.27,+29.036, +0.043,+0.942
1721930820,+3.27,+29.062, +0.043,+0.943
1721931420,+3.27,+29.045, +0.043,+0.943
1721932020,+3.27,+29.096, +0.043,+0.942
1721932620,+3.27,+29.114, +0.044,+0.943
1721933220,+3.27,+29.139, +0.044,+0.943
1721933820,+3.27,+29.174, +0.043,+0.942
1721934420,+3.27,+29.199, +0.044,+0.943
1721935020,+3.27,+29.165, +0.044,+0.943
1721935620,+3.27,+29.268, +0.044,+0.943
1721936220,+3.27,+29.234, +0.044,+0.943
1721936820,+3.27,+29.242, +0.044,+0.943
1721937420,+3.27,+29.260, +0.044,+0.943
1721938020,+3.27,+29.260, +0.044,+0.943
1721938620,+3.27,+29.251, +0.044,+0.943
1721939220,+3.27,+29.268, +0.044,+0.943
1721939820,+3.27,+29.294, +0.044,+0.943
1721940420,+3.27,+29.260, +0.044,+0.943
1721941020,+3.27,+29.234, +0.044,+0.943
1721941620,+3.27,+29.208, +0.044,+0.943
1721942220,+3.27,+29.217, +0.044,+0.943
1721942820,+3.27,+29.199, +0.044,+0.943
1721943420,+3.27,+29.157, +0.043,+0.942
1721944020,+3.27,+29.131, +0.044,+0.943
1721944620,+3.27,+29.114, +0.043,+0.942
1721945220,+3.27,+29.045, +0.043,+0.942
1721945820,+3.27,+29.028, +0.044,+0.943
1721946420,+3.27,+29.036, +0.043,+0.943
1721947020,+3.27,+29.019, +0.044,+0.942
1721947620,+3.27,+28.976, +0.044,+0.942
1721948220,+3.27,+28.976, +0.043,+0.942
1721948820,+3.27,+28.925, +0.044,+0.942
1721949420,+3.27,+28.891, +0.044,+0.942
1721950020,+3.27,+28.848, +0.044,+0.942
1721950620,+3.27,+28.814, +0.043,+0.942
1721951220,+3.27,+28.788, +0.043,+0.942
1721951820,+3.27,+28.754, +0.043,+0.942
1721952420,+3.27,+28.711, +0.043,+0.942
1721953020,+3.27,+28.677, +0.043,+0.942
1721953620,+3.27,+28.642, +0.043,+0.942
1721954220,+3.26,+28.591, +0.043,+0.942
1721954820,+3.26,+28.566, +0.043,+0.942
1721955420,+3.26,+28.540, +0.043,+0.942
1721956020,+3.26,+28.514, +0.043,+0.942
1721956620,+3.26,+28.471, +0.043,+0.942
1721957220,+3.26,+28.463, +0.043,+0.942
1721957820,+3.26,+28.412, +0.043,+0.942
1721958420,+3.26,+28.378, +0.043,+0.942
1721959020,+3.26,+28.343, +0.043,+0.942
1721959620,+3.26,+28.335, +0.043,+0.942
1721960220,+3.27,+28.301, +0.043,+0.942
1721960820,+3.27,+28.258, +0.043,+0.942
