MiniDOT Logger Concatenated Data File
Sensor:             7450-697200
Concatenation Date: 2024Aug27 17:12:34 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1721492820,           2024-07-20 16:27:00,           2024-07-20 12:27:00,      3.280000,     29.182000,          7.396000,                    96.469685,      0.965000
                1721493420,           2024-07-20 16:37:00,           2024-07-20 12:37:00,      3.280000,     29.157000,          7.404000,                    96.531952,      0.965000
                1721494020,           2024-07-20 16:47:00,           2024-07-20 12:47:00,      3.270000,     29.500000,          7.284000,                    95.535885,      0.965000
                1721494620,           2024-07-20 16:57:00,           2024-07-20 12:57:00,      3.270000,     30.795000,          7.095000,                    95.156852,      0.965000
                1721495220,           2024-07-20 17:07:00,           2024-07-20 13:07:00,      3.270000,     31.386000,          7.081000,                    95.930643,      0.965000
                1721495820,           2024-07-20 17:17:00,           2024-07-20 13:17:00,      3.270000,     31.752000,          7.055000,                    96.173396,      0.966000
                1721496420,           2024-07-20 17:27:00,           2024-07-20 13:27:00,      3.270000,     32.032000,          7.054000,                    96.615787,      0.964000
                1721497020,           2024-07-20 17:37:00,           2024-07-20 13:37:00,      3.270000,     32.198000,          7.040000,                    96.694231,      0.965000
                1721497620,           2024-07-20 17:47:00,           2024-07-20 13:47:00,      3.270000,     32.417000,          7.023000,                    96.816774,      0.964000
                1721498220,           2024-07-20 17:57:00,           2024-07-20 13:57:00,      3.270000,     32.654000,          7.081000,                    98.005397,      0.964000
                1721498820,           2024-07-20 18:07:00,           2024-07-20 14:07:00,      3.260000,     32.856000,          7.086000,                    98.406911,      0.964000
                1721499420,           2024-07-20 18:17:00,           2024-07-20 14:17:00,      3.270000,     33.402000,          7.020000,                    98.382427,      0.964000
                1721500020,           2024-07-20 18:27:00,           2024-07-20 14:27:00,      3.260000,     32.891000,          7.030000,                    97.686378,      0.964000
                1721500620,           2024-07-20 18:37:00,           2024-07-20 14:37:00,      3.270000,     29.139000,          0.722000,                     9.410345,      0.956000
