7450-988987
OS REV: 1.05 Sensor Cal: 1620327161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1723058760,+3.49,+28.410, +0.704,+0.904
1723059360,+3.49,+28.427, +0.806,+0.906
1723059960,+3.49,+28.436, +0.778,+0.905
1723060560,+3.49,+28.470, +0.511,+0.901
1723061160,+3.49,+28.453, +0.500,+0.899
1723061760,+3.49,+28.461, +0.394,+0.897
1723062360,+3.49,+28.427, +0.186,+0.892
1723062960,+3.49,+28.410, +0.146,+0.890
1723063560,+3.49,+28.384, +0.480,+0.899
1723064160,+3.49,+28.350, +0.414,+0.898
1723064760,+3.49,+28.308, +0.421,+0.898
1723065360,+3.49,+28.273, +0.314,+0.896
1723065960,+3.49,+28.282, +0.357,+0.896
1723066560,+3.49,+28.248, +0.292,+0.894
1723067160,+3.49,+28.214, +0.279,+0.894
1723067760,+3.49,+28.197, +0.272,+0.894
1723068360,+3.49,+28.171, +0.484,+0.900
1723068960,+3.49,+28.145, +0.202,+0.892
1723069560,+3.49,+28.128, +0.089,+0.889
1723070160,+3.49,+28.086, +0.166,+0.891
1723070760,+3.49,+28.077, +0.242,+0.894
1723071360,+3.49,+28.052, +0.143,+0.891
1723071960,+3.49,+28.043, +0.082,+0.889
1723072560,+3.49,+28.018, +0.075,+0.889
1723073160,+3.49,+28.001, +0.258,+0.895
1723073760,+3.49,+27.975, +0.176,+0.892
1723074360,+3.49,+27.958, +0.058,+0.888
1723074960,+3.49,+27.949, +0.062,+0.889
1723075560,+3.49,+27.932, +0.064,+0.889
1723076160,+3.49,+27.932, +0.065,+0.889
1723076760,+3.49,+27.898, +0.056,+0.888
1723077360,+3.49,+27.864, +0.059,+0.889
1723077960,+3.49,+27.856, +0.077,+0.889
1723078560,+3.49,+27.822, +0.064,+0.889
1723079160,+3.49,+27.813, +0.057,+0.889
1723079760,+3.49,+27.796, +0.056,+0.889
1723080360,+3.49,+27.805, +0.056,+0.889
1723080960,+3.50,+27.762, +0.057,+0.889
1723081560,+3.50,+27.745, +0.057,+0.889
1723082160,+3.49,+27.737, +0.055,+0.889
1723082760,+3.50,+27.711, +0.055,+0.888
1723083360,+3.50,+27.677, +0.055,+0.889
1723083960,+3.50,+27.686, +0.088,+0.890
1723084560,+3.49,+27.583, +0.078,+0.889
1723085160,+3.50,+27.617, +0.060,+0.889
1723085760,+3.50,+27.634, +0.055,+0.889
1723086360,+3.49,+27.609, +0.058,+0.889
1723086960,+3.49,+27.575, +0.058,+0.889
1723087560,+3.49,+27.549, +0.068,+0.889
1723088160,+3.49,+27.532, +0.063,+0.889
1723088760,+3.49,+27.498, +0.060,+0.889
1723089360,+3.49,+27.507, +0.066,+0.889
1723089960,+3.49,+27.464, +0.055,+0.889
1723090560,+3.49,+27.447, +0.054,+0.889
