MiniDOT Logger Concatenated Data File
Sensor:             7450-988987
Concatenation Date: 2024Aug27 17:12:26 EDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1721492760,           2024-07-20 16:26:00,           2024-07-20 12:26:00,      3.490000,     29.584000,          7.324000,                    96.200659,      0.912000
                1721493360,           2024-07-20 16:36:00,           2024-07-20 12:36:00,      3.490000,     29.404000,          7.366000,                    96.450384,      0.913000
                1721493960,           2024-07-20 16:46:00,           2024-07-20 12:46:00,      3.490000,     29.395000,          7.346000,                    96.173456,      0.913000
                1721494560,           2024-07-20 16:56:00,           2024-07-20 12:56:00,      3.490000,     29.714000,          7.277000,                    95.798928,      0.912000
                1721495160,           2024-07-20 17:06:00,           2024-07-20 13:06:00,      3.500000,     30.058000,          7.248000,                    95.986155,      0.912000
                1721495760,           2024-07-20 17:16:00,           2024-07-20 13:16:00,      3.490000,     30.387000,          7.228000,                    96.264983,      0.912000
                1721496360,           2024-07-20 17:26:00,           2024-07-20 13:26:00,      3.490000,     30.698000,          7.222000,                    96.699514,      0.911000
                1721496960,           2024-07-20 17:36:00,           2024-07-20 13:36:00,      3.500000,     31.011000,          7.198000,                    96.895115,      0.911000
                1721497560,           2024-07-20 17:46:00,           2024-07-20 13:46:00,      3.490000,     31.289000,          7.181000,                    97.125123,      0.911000
                1721498160,           2024-07-20 17:56:00,           2024-07-20 13:56:00,      3.490000,     31.585000,          7.189000,                    97.723268,      0.911000
                1721498760,           2024-07-20 18:06:00,           2024-07-20 14:06:00,      3.490000,     31.856000,          7.208000,                    98.432067,      0.910000
                1721499360,           2024-07-20 18:16:00,           2024-07-20 14:16:00,      3.490000,     32.547000,          7.113000,                    98.271780,      0.909000
                1721499960,           2024-07-20 18:26:00,           2024-07-20 14:26:00,      3.490000,     33.455000,          7.001000,                    98.202687,      0.909000
                1721500560,           2024-07-20 18:36:00,           2024-07-20 14:36:00,      3.490000,     34.342000,          6.887000,                    98.033058,      0.907000
                1721501160,           2024-07-20 18:46:00,           2024-07-20 14:46:00,      3.490000,     35.253000,          6.760000,                    97.675952,      0.904000
                1721501760,           2024-07-20 18:56:00,           2024-07-20 14:56:00,      3.490000,     36.098000,          6.645000,                    97.346199,      0.901000
                1721502360,           2024-07-20 19:06:00,           2024-07-20 15:06:00,      3.480000,     36.459000,          6.654000,                    98.050692,      0.901000
                1721502960,           2024-07-20 19:16:00,           2024-07-20 15:16:00,      3.480000,     36.450000,          6.673000,                    98.316330,      0.900000
                1721503560,           2024-07-20 19:26:00,           2024-07-20 15:26:00,      3.480000,     36.450000,          6.676000,                    98.360530,      0.901000
                1721504160,           2024-07-20 19:36:00,           2024-07-20 15:36:00,      3.480000,     36.459000,          6.682000,                    98.463289,      0.901000
                1721504760,           2024-07-20 19:46:00,           2024-07-20 15:46:00,      3.480000,     36.459000,          6.658000,                    98.109635,      0.901000
                1721505360,           2024-07-20 19:56:00,           2024-07-20 15:56:00,      3.480000,     36.386000,          6.664000,                    98.081933,      0.902000
                1721505960,           2024-07-20 20:06:00,           2024-07-20 16:06:00,      3.480000,     36.423000,          6.658000,                    98.052415,      0.902000
                1721506560,           2024-07-20 20:16:00,           2024-07-20 16:16:00,      3.480000,     36.459000,          6.642000,                    97.873865,      0.902000
                1721507160,           2024-07-20 20:26:00,           2024-07-20 16:26:00,      3.480000,     36.459000,          6.645000,                    97.918072,      0.902000
                1721507760,           2024-07-20 20:36:00,           2024-07-20 16:36:00,      3.490000,     36.377000,          6.650000,                    97.861598,      0.903000
                1721508360,           2024-07-20 20:46:00,           2024-07-20 16:46:00,      3.490000,     36.188000,          6.652000,                    97.591304,      0.903000
                1721508960,           2024-07-20 20:56:00,           2024-07-20 16:56:00,      3.490000,     36.016000,          6.740000,                    98.606397,      0.904000
                1721509560,           2024-07-20 21:06:00,           2024-07-20 17:06:00,      3.490000,     35.944000,          6.750000,                    98.637129,      0.904000
                1721510160,           2024-07-20 21:16:00,           2024-07-20 17:16:00,      3.490000,     35.953000,          6.724000,                    98.271580,      0.904000
                1721510760,           2024-07-20 21:26:00,           2024-07-20 17:26:00,      3.490000,     35.998000,          6.720000,                    98.285026,      0.904000
                1721511360,           2024-07-20 21:36:00,           2024-07-20 17:36:00,      3.490000,     36.088000,          6.692000,                    98.018799,      0.903000
                1721511960,           2024-07-20 21:46:00,           2024-07-20 17:46:00,      3.490000,     36.206000,          6.669000,                    97.869308,      0.902000
                1721512560,           2024-07-20 21:56:00,           2024-07-20 17:56:00,      3.490000,     36.314000,          6.659000,                    97.893974,      0.903000
                1721513160,           2024-07-20 22:06:00,           2024-07-20 18:06:00,      3.490000,     36.395000,          6.650000,                    97.890160,      0.902000
                1721513760,           2024-07-20 22:16:00,           2024-07-20 18:16:00,      3.490000,     36.441000,          6.657000,                    98.066291,      0.903000
                1721514360,           2024-07-20 22:26:00,           2024-07-20 18:26:00,      3.490000,     36.441000,          6.664000,                    98.169410,      0.903000
                1721514960,           2024-07-20 22:36:00,           2024-07-20 18:36:00,      3.490000,     36.450000,          6.655000,                    98.051128,      0.902000
                1721515560,           2024-07-20 22:46:00,           2024-07-20 18:46:00,      3.490000,     36.441000,          6.653000,                    98.007366,      0.902000
                1721516160,           2024-07-20 22:56:00,           2024-07-20 18:56:00,      3.490000,     36.386000,          6.674000,                    98.229115,      0.903000
                1721516760,           2024-07-20 23:06:00,           2024-07-20 19:06:00,      3.490000,     36.287000,          6.683000,                    98.203774,      0.903000
                1721517360,           2024-07-20 23:16:00,           2024-07-20 19:16:00,      3.490000,     36.170000,          6.706000,                    98.354784,      0.904000
                1721517960,           2024-07-20 23:26:00,           2024-07-20 19:26:00,      3.490000,     36.025000,          6.720000,                    98.328183,      0.904000
                1721518560,           2024-07-20 23:36:00,           2024-07-20 19:36:00,      3.500000,     35.854000,          6.754000,                    98.551133,      0.906000
                1721519160,           2024-07-20 23:46:00,           2024-07-20 19:46:00,      3.500000,     35.665000,          6.781000,                    98.640900,      0.906000
                1721519760,           2024-07-20 23:56:00,           2024-07-20 19:56:00,      3.500000,     35.450000,          6.806000,                    98.657811,      0.907000
                1721520360,           2024-07-21 00:06:00,           2024-07-20 20:06:00,      3.490000,     35.109000,          6.867000,                    98.988382,      0.908000
