7450-988987
OS REV: 1.05 Sensor Cal: 1620327161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1625094300,+3.54,+26.633, +0.051,+0.950
1625094900,+3.54,+26.600, +0.052,+0.950
1625095500,+3.54,+26.583, +0.222,+0.956
1625096100,+3.54,+26.557, +0.523,+0.963
1625096700,+3.54,+26.540, +0.182,+0.954
1625097300,+3.54,+26.498, +0.646,+0.966
1625097900,+3.54,+26.473, +0.332,+0.958
1625098500,+3.54,+26.447, +0.419,+0.960
1625099100,+3.54,+26.422, +0.658,+0.966
1625099700,+3.54,+26.371, +0.573,+0.964
1625100300,+3.54,+26.337, +0.546,+0.964
1625100900,+3.54,+26.270, +0.816,+0.969
1625101500,+3.54,+26.211, +0.721,+0.967
1625102100,+3.54,+26.177, +1.247,+0.973
1625102700,+3.54,+26.135, +1.284,+0.973
1625103300,+3.54,+26.126, +1.088,+0.971
1625103900,+3.54,+26.076, +0.952,+0.970
1625104500,+3.54,+26.059, +0.902,+0.969
1625105100,+3.54,+26.008, +0.803,+0.968
1625105700,+3.54,+26.017, +0.543,+0.963
1625106300,+3.54,+26.000, +0.386,+0.960
1625106900,+3.54,+25.932, +0.243,+0.956
1625107500,+3.54,+25.932, +0.360,+0.960
1625108100,+3.54,+25.941, +0.051,+0.950
1625108700,+3.54,+25.898, +0.058,+0.951
1625109300,+3.54,+25.890, +0.234,+0.956
1625109900,+3.54,+25.856, +0.055,+0.951
1625110500,+3.54,+25.848, +0.052,+0.951
1625111100,+3.54,+25.823, +0.330,+0.959
1625111700,+3.54,+25.814, +0.174,+0.955
1625112300,+3.54,+25.789, +0.061,+0.951
1625112900,+3.54,+25.755, +0.101,+0.952
1625113500,+3.54,+25.730, +0.095,+0.952
1625114100,+3.54,+25.738, +0.090,+0.952
1625114700,+3.54,+25.747, +0.285,+0.958
1625115300,+3.54,+25.789, +0.051,+0.951
1625115900,+3.54,+25.747, +0.051,+0.951
1625116500,+3.54,+25.738, +0.050,+0.951
1625117100,+3.54,+25.721, +0.050,+0.950
1625117700,+3.54,+25.713, +0.050,+0.951
1625118300,+3.54,+25.705, +0.050,+0.951
1625118900,+3.54,+25.679, +0.051,+0.951
1625119500,+3.54,+25.662, +0.050,+0.950
1625120100,+3.54,+25.654, +0.051,+0.951
1625120700,+3.54,+25.671, +0.050,+0.951
1625121300,+3.54,+25.646, +0.050,+0.951
1625121900,+3.54,+25.620, +0.051,+0.951
1625122500,+3.54,+25.603, +0.050,+0.951
1625123100,+3.54,+25.603, +0.051,+0.951
1625123700,+3.54,+25.603, +0.051,+0.951
1625124300,+3.54,+25.561, +0.050,+0.951
1625124900,+3.54,+25.570, +0.050,+0.951
1625125500,+3.54,+25.528, +0.050,+0.951
1625126100,+3.54,+25.519, +0.051,+0.951
1625126700,+3.54,+25.511, +0.050,+0.951
1625127300,+3.54,+25.502, +0.051,+0.951
1625127900,+3.54,+25.477, +0.050,+0.951
1625128500,+3.54,+25.452, +0.051,+0.951
1625129100,+3.54,+25.460, +0.050,+0.951
1625129700,+3.54,+25.435, +0.050,+0.951
1625130300,+3.54,+25.427, +0.050,+0.951
1625130900,+3.54,+25.410, +0.051,+0.951
1625131500,+3.54,+25.393, +0.050,+0.951
1625132100,+3.54,+25.393, +0.050,+0.951
1625132700,+3.54,+25.384, +0.050,+0.951
1625133300,+3.54,+25.359, +0.051,+0.951
1625133900,+3.54,+25.359, +0.050,+0.951
1625134500,+3.54,+25.342, +0.050,+0.951
1625135100,+3.54,+25.342, +0.050,+0.951
1625135700,+3.54,+25.326, +0.050,+0.951
1625136300,+3.54,+25.326, +0.050,+0.951
1625136900,+3.53,+25.317, +0.050,+0.951
1625137500,+3.54,+25.334, +0.050,+0.951
1625138100,+3.54,+25.317, +0.050,+0.951
1625138700,+3.54,+25.334, +0.050,+0.951
1625139300,+3.54,+25.326, +0.050,+0.951
1625139900,+3.54,+25.334, +0.050,+0.951
1625140500,+3.54,+25.359, +0.050,+0.951
1625141100,+3.54,+25.368, +0.050,+0.951
1625141700,+3.54,+25.376, +0.051,+0.951
1625142300,+3.54,+25.376, +0.050,+0.951
1625142900,+3.54,+25.368, +0.050,+0.951
1625143500,+3.54,+25.418, +0.050,+0.951
1625144100,+3.54,+25.410, +0.050,+0.951
1625144700,+3.54,+25.435, +0.051,+0.951
1625145300,+3.54,+25.435, +0.050,+0.951
1625145900,+3.54,+25.460, +0.050,+0.951
1625146500,+3.54,+25.477, +0.051,+0.951
1625147100,+3.54,+25.511, +0.050,+0.951
1625147700,+3.54,+25.519, +0.051,+0.951
1625148300,+3.54,+25.561, +0.051,+0.951
1625148900,+3.54,+25.561, +0.050,+0.951
1625149500,+3.54,+25.578, +0.051,+0.951
1625150100,+3.54,+25.595, +0.051,+0.951
1625150700,+3.54,+25.629, +0.052,+0.951
1625151300,+3.54,+25.671, +0.051,+0.951
1625151900,+3.54,+25.705, +0.051,+0.951
1625152500,+3.54,+25.730, +0.051,+0.951
1625153100,+3.54,+25.780, +0.052,+0.951
1625153700,+3.54,+25.814, +0.051,+0.950
1625154300,+3.54,+25.915, +0.051,+0.950
1625154900,+3.54,+25.915, +0.052,+0.951
1625155500,+3.54,+25.983, +0.051,+0.950
1625156100,+3.54,+26.017, +0.052,+0.950
1625156700,+3.54,+26.059, +0.052,+0.950
1625157300,+3.54,+26.126, +0.051,+0.950
1625157900,+3.54,+26.160, +0.052,+0.950
1625158500,+3.54,+26.177, +0.052,+0.950
1625159100,+3.54,+26.194, +0.052,+0.950
1625159700,+3.53,+26.228, +0.052,+0.950
1625160300,+3.53,+26.295, +0.051,+0.950
1625160900,+3.53,+26.295, +0.052,+0.950
1625161500,+3.53,+26.304, +0.052,+0.950
1625162100,+3.53,+26.337, +0.051,+0.950
1625162700,+3.53,+26.380, +0.052,+0.950
1625163300,+3.53,+26.405, +0.052,+0.950
1625163900,+3.53,+26.422, +0.052,+0.950
1625164500,+3.54,+26.456, +0.052,+0.950
1625165100,+3.54,+26.464, +0.053,+0.950
1625165700,+3.54,+26.498, +0.053,+0.950
1625166300,+3.54,+26.540, +0.052,+0.950
1625166900,+3.54,+26.540, +0.053,+0.950
1625167500,+3.54,+26.566, +0.052,+0.950
1625168100,+3.54,+26.608, +0.052,+0.950
1625168700,+3.54,+26.633, +0.052,+0.950
1625169300,+3.54,+26.650, +0.052,+0.950
1625169900,+3.54,+26.659, +0.052,+0.950
1625170500,+3.54,+26.693, +0.053,+0.950
1625171100,+3.54,+26.718, +0.052,+0.950
1625171700,+3.54,+26.752, +0.052,+0.950
1625172300,+3.54,+26.744, +0.052,+0.950
