7450-988987
OS REV: 1.05 Sensor Cal: 1620327161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1623609060,+3.54,+26.625, +0.051,+0.958
1623609660,+3.54,+26.650, +0.051,+0.958
1623610260,+3.54,+26.659, +0.051,+0.958
1623610860,+3.54,+26.642, +0.051,+0.958
1623611460,+3.54,+26.633, +0.051,+0.959
1623612060,+3.54,+26.625, +0.051,+0.958
1623612660,+3.54,+26.625, +0.051,+0.959
1623613260,+3.54,+26.608, +0.051,+0.959
1623613860,+3.54,+26.583, +0.051,+0.959
1623614460,+3.54,+26.600, +0.051,+0.958
1623615060,+3.54,+26.557, +0.051,+0.959
1623615660,+3.53,+26.430, +8.130,+0.978
