7450-697200
OS REV: 1.05 Sensor Cal: 1618508223
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1736886720,+3.17,+24.528, +0.057,+0.932
1736887320,+3.17,+24.461, +0.063,+0.932
1736887920,+3.17,+24.368, +0.063,+0.932
1736888520,+3.17,+24.293, +0.079,+0.933
1736889120,+3.17,+24.259, +0.104,+0.933
1736889720,+3.17,+24.184, +0.062,+0.932
1736890320,+3.17,+24.125, +0.076,+0.933
1736890920,+3.17,+24.066, +0.107,+0.933
1736891520,+3.17,+24.008, +0.120,+0.934
1736892120,+3.17,+23.957, +0.226,+0.936
1736892720,+3.17,+23.890, +0.458,+0.941
1736893320,+3.17,+23.840, +0.547,+0.942
1736893920,+3.17,+23.790, +0.519,+0.942
1736894520,+3.17,+23.714, +0.246,+0.936
1736895120,+3.17,+23.673, +0.385,+0.939
1736895720,+3.17,+23.614, +0.343,+0.938
1736896320,+3.17,+23.580, +0.184,+0.934
1736896920,+3.17,+23.513, +0.090,+0.932
1736897520,+3.17,+23.471, +0.086,+0.932
1736898120,+3.17,+23.455, +0.084,+0.932
1736898720,+3.17,+23.379, +0.086,+0.932
1736899320,+3.17,+23.371, +0.059,+0.931
1736899920,+3.17,+23.338, +0.056,+0.931
1736900520,+3.17,+23.279, +0.061,+0.931
1736901120,+3.17,+23.254, +0.063,+0.932
1736901720,+3.17,+23.220, +0.086,+0.932
1736902320,+3.17,+23.195, +0.062,+0.932
1736902920,+3.17,+23.153, +0.061,+0.932
1736903520,+3.17,+23.137, +0.059,+0.931
1736904120,+3.17,+23.112, +0.058,+0.932
1736904720,+3.17,+23.095, +0.055,+0.931
1736905320,+3.17,+23.061, +0.056,+0.931
1736905920,+3.17,+23.011, +0.055,+0.931
1736906520,+3.17,+22.994, +0.063,+0.932
1736907120,+3.17,+22.978, +0.057,+0.931
1736907720,+3.17,+22.927, +0.056,+0.931
1736908320,+3.17,+22.902, +0.055,+0.931
1736908920,+3.17,+22.894, +0.054,+0.931
1736909520,+3.17,+22.844, +0.056,+0.931
1736910120,+3.17,+22.835, +0.055,+0.931
1736910720,+3.17,+22.777, +0.055,+0.931
1736911320,+3.17,+22.769, +0.055,+0.931
1736911920,+3.17,+22.743, +0.054,+0.931
1736912520,+3.17,+22.743, +0.054,+0.931
1736913120,+3.17,+22.693, +0.055,+0.931
1736913720,+3.17,+22.677, +0.057,+0.931
1736914320,+3.17,+22.643, +0.056,+0.931
1736914920,+3.17,+22.626, +0.054,+0.931
1736915520,+3.17,+22.576, +0.054,+0.931
1736916120,+3.17,+22.559, +0.054,+0.931
1736916720,+3.17,+22.543, +0.054,+0.931
1736917320,+3.17,+22.543, +0.055,+0.931
1736917920,+3.17,+22.518, +0.054,+0.931
1736918520,+3.17,+22.484, +0.054,+0.931
1736919120,+3.17,+22.467, +0.054,+0.931
1736919720,+3.17,+22.467, +0.054,+0.931
1736920320,+3.17,+22.426, +0.054,+0.931
1736920920,+3.17,+22.417, +0.054,+0.931
1736921520,+3.17,+22.409, +0.054,+0.931
1736922120,+3.17,+22.384, +0.054,+0.931
1736922720,+3.17,+22.359, +0.054,+0.931
1736923320,+3.17,+22.342, +0.054,+0.931
1736923920,+3.17,+22.334, +0.054,+0.931
1736924520,+3.17,+22.317, +0.054,+0.931
1736925120,+3.17,+22.275, +0.054,+0.931
1736925720,+3.17,+22.275, +0.054,+0.931
1736926320,+3.17,+22.250, +0.054,+0.931
1736926920,+3.17,+22.233, +0.054,+0.931
1736927520,+3.17,+22.208, +0.055,+0.931
1736928120,+3.17,+22.208, +0.054,+0.931
1736928720,+3.17,+22.175, +0.055,+0.931
1736929320,+3.17,+22.158, +0.054,+0.931
1736929920,+3.17,+22.133, +0.055,+0.931
1736930520,+3.17,+22.125, +0.054,+0.931
1736931120,+3.17,+22.116, +0.054,+0.931
1736931720,+3.17,+22.100, +0.054,+0.931
1736932320,+3.17,+22.074, +0.055,+0.931
1736932920,+3.17,+22.058, +0.054,+0.931
1736933520,+3.17,+22.041, +0.054,+0.931
1736934120,+3.17,+22.016, +0.055,+0.931
1736934720,+3.17,+22.016, +0.055,+0.931
1736935320,+3.17,+21.991, +0.054,+0.931
1736935920,+3.17,+21.991, +0.054,+0.931
1736936520,+3.17,+21.983, +0.054,+0.931
1736937120,+3.17,+21.957, +0.054,+0.931
1736937720,+3.17,+21.924, +0.055,+0.931
1736938320,+3.17,+21.932, +0.055,+0.931
1736938920,+3.17,+21.899, +0.055,+0.931
1736939520,+3.17,+21.891, +0.055,+0.931
1736940120,+3.17,+21.899, +0.055,+0.931
1736940720,+3.17,+21.899, +0.055,+0.931
1736941320,+3.17,+21.916, +0.055,+0.931
1736941920,+3.17,+21.924, +0.055,+0.931
1736942520,+3.17,+21.949, +0.055,+0.931
1736943120,+3.17,+21.957, +0.054,+0.931
1736943720,+3.17,+21.966, +0.055,+0.931
1736944320,+3.17,+21.991, +0.055,+0.931
1736944920,+3.17,+22.024, +0.055,+0.931
1736945520,+3.17,+22.016, +0.055,+0.931
1736946120,+3.17,+22.049, +0.054,+0.931
1736946720,+3.17,+22.074, +0.054,+0.931
1736947320,+3.17,+22.116, +0.054,+0.931
1736947920,+3.17,+22.150, +0.054,+0.931
1736948520,+3.17,+22.225, +0.053,+0.931
1736949120,+3.17,+22.267, +0.054,+0.931
1736949720,+3.17,+22.442, +0.053,+0.931
1736950320,+3.17,+22.484, +0.053,+0.931
1736950920,+3.17,+22.534, +0.053,+0.931
1736951520,+3.17,+22.534, +0.055,+0.931
1736952120,+3.17,+22.685, +0.053,+0.931
1736952720,+3.17,+22.769, +0.053,+0.931
1736953320,+3.17,+22.794, +0.054,+0.931
1736953920,+3.17,+22.819, +0.052,+0.931
1736954520,+3.17,+22.911, +0.052,+0.931
1736955120,+3.17,+23.003, +0.059,+0.931
1736955720,+3.17,+23.095, +0.060,+0.932
1736956320,+3.17,+23.162, +0.060,+0.932
1736956920,+3.17,+23.271, +0.052,+0.931
1736957520,+3.17,+23.338, +0.054,+0.932
1736958120,+3.17,+23.388, +0.054,+0.932
1736958720,+3.17,+23.463, +0.055,+0.932
1736959320,+3.17,+23.597, +0.055,+0.932
1736959920,+3.17,+23.714, +0.062,+0.932
1736960520,+3.17,+23.815, +0.073,+0.932
1736961120,+3.17,+23.865, +0.056,+0.932
1736961720,+3.17,+23.949, +0.105,+0.933
1736962320,+3.17,+24.050, +0.151,+0.934
1736962920,+3.16,+24.108, +0.190,+0.935
1736963520,+3.16,+24.201, +0.090,+0.932
1736964120,+3.16,+24.226, +0.457,+0.941
1736964720,+3.17,+24.268, +0.412,+0.940
1736965320,+3.17,+24.368, +1.000,+0.947
1736965920,+3.17,+24.394, +0.849,+0.946
1736966520,+3.17,+24.368, +1.346,+0.950
1736967120,+3.17,+24.368, +1.028,+0.947
1736967720,+3.17,+24.377, +0.710,+0.944
1736968320,+3.17,+24.326, +0.519,+0.941
1736968920,+3.17,+24.335, +0.335,+0.937
1736969520,+3.17,+24.301, +0.334,+0.937
1736970120,+3.17,+24.293, +0.607,+0.942
1736970720,+3.17,+24.326, +0.674,+0.943
1736971320,+3.17,+24.310, +0.717,+0.944
1736971920,+3.16,+24.251, +0.473,+0.940
1736972520,+3.16,+24.226, +0.507,+0.941
1736973120,+3.16,+24.184, +0.682,+0.943
