7450-988987
OS REV: 1.05 Sensor Cal: 1620327161
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1737220440,+2.92,+24.300, +2.367,+0.897
1737221040,+2.91,+24.309, +1.984,+0.897
1737221640,+2.92,+24.326, +1.894,+0.896
1737222240,+2.92,+24.393, +2.127,+0.897
1737222840,+2.92,+24.401, +1.950,+0.897
1737223440,+2.92,+24.451, +2.025,+0.897
1737224040,+2.92,+24.611, +2.559,+0.897
1737224640,+2.92,+24.561, +2.331,+0.897
1737225240,+2.92,+24.695, +2.618,+0.897
1737225840,+2.92,+24.687, +2.576,+0.897
1737226440,+2.91,+24.897, +2.918,+0.897
1737227040,+2.92,+24.880, +2.904,+0.897
1737227640,+2.91,+24.964, +3.194,+0.896
1737228240,+2.91,+24.922, +2.896,+0.897
1737228840,+2.92,+24.863, +2.341,+0.897
1737229440,+2.91,+24.880, +2.348,+0.897
1737230040,+2.91,+24.905, +2.242,+0.897
1737230640,+2.91,+24.905, +2.206,+0.897
1737231240,+2.91,+25.006, +2.544,+0.897
1737231840,+2.91,+24.955, +2.358,+0.897
1737232440,+2.91,+24.964, +2.312,+0.897
1737233040,+2.91,+24.981, +2.093,+0.897
1737233640,+2.91,+24.964, +2.013,+0.897
1737234240,+2.91,+24.981, +2.165,+0.897
1737234840,+2.91,+24.930, +2.143,+0.897
1737235440,+2.91,+24.930, +2.312,+0.897
1737236040,+2.91,+24.947, +2.363,+0.897
1737236640,+2.91,+24.955, +2.254,+0.897
1737237240,+2.91,+24.930, +2.340,+0.897
1737237840,+2.91,+24.888, +2.213,+0.897
1737238440,+2.92,+24.855, +2.299,+0.897
1737239040,+2.92,+24.829, +2.194,+0.897
1737239640,+2.92,+24.821, +2.220,+0.897
1737240240,+2.92,+24.787, +2.168,+0.897
1737240840,+2.92,+24.779, +2.115,+0.897
1737241440,+2.92,+24.754, +2.098,+0.897
1737242040,+2.92,+24.737, +2.145,+0.897
1737242640,+2.92,+24.729, +2.057,+0.897
1737243240,+2.92,+24.737, +2.074,+0.897
