            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
1736625720,           2025-01-11 20:02:00,           2025-01-11 15:02:00,3.16,30.025,7.301,96.63301,0.959
1736626320,           2025-01-11 20:12:00,           2025-01-11 15:12:00,3.16,29.707,7.308,96.195368,0.957
1736626920,           2025-01-11 20:22:00,           2025-01-11 15:22:00,3.17,29.062,7.405,96.385109,0.958
1736627520,           2025-01-11 20:32:00,           2025-01-11 15:32:00,3.16,28.531,7.469,96.318216,0.956
1736628120,           2025-01-11 20:42:00,           2025-01-11 15:42:00,3.17,28.198,7.517,96.370452,0.957
1736628720,           2025-01-11 20:52:00,           2025-01-11 15:52:00,3.17,28.011,7.516,96.039811,0.957
1736629320,           2025-01-11 21:02:00,           2025-01-11 16:02:00,3.17,27.696,7.507,95.390734,0.956
1736629920,           2025-01-11 21:12:00,           2025-01-11 16:12:00,3.16,27.364,7.524,95.043449,0.955
1736630520,           2025-01-11 21:22:00,           2025-01-11 16:22:00,3.17,26.982,7.607,95.437718,0.955
1736631120,           2025-01-11 21:32:00,           2025-01-11 16:32:00,3.17,26.643,7.7,96.017828,0.956
1736631720,           2025-01-11 21:42:00,           2025-01-11 16:42:00,3.17,26.33,7.691,95.365355,0.955
1736632320,           2025-01-11 21:52:00,           2025-01-11 16:52:00,3.17,26.111,7.727,95.432424,0.955
1736632920,           2025-01-11 22:02:00,           2025-01-11 17:02:00,3.17,25.942,7.754,95.472403,0.955
1736633520,           2025-01-11 22:12:00,           2025-01-11 17:12:00,3.17,25.782,7.778,95.489393,0.955
1736634120,           2025-01-11 22:22:00,           2025-01-11 17:22:00,3.17,25.672,7.794,95.494064,0.954
1736634720,           2025-01-11 22:32:00,           2025-01-11 17:32:00,3.17,25.537,7.816,95.527734,0.955
1736635320,           2025-01-11 22:42:00,           2025-01-11 17:42:00,3.17,25.428,7.824,95.434966,0.954
