            Unix Timestamp,               UTC_Date_&_Time,Timestamp,       Battery,Temp_C,DO_mgL,DO_perc,             Q
1721492760,           2024-07-20 16:26:00,           2024-07-20 12:26:00,3.49,29.584,7.324,96.200659,0.912
1721493360,           2024-07-20 16:36:00,           2024-07-20 12:36:00,3.49,29.404,7.366,96.450384,0.913
1721493960,           2024-07-20 16:46:00,           2024-07-20 12:46:00,3.49,29.395,7.346,96.173456,0.913
1721494560,           2024-07-20 16:56:00,           2024-07-20 12:56:00,3.49,29.714,7.277,95.798928,0.912
1721495160,           2024-07-20 17:06:00,           2024-07-20 13:06:00,3.5,30.058,7.248,95.986155,0.912
1721495760,           2024-07-20 17:16:00,           2024-07-20 13:16:00,3.49,30.387,7.228,96.264983,0.912
1721496360,           2024-07-20 17:26:00,           2024-07-20 13:26:00,3.49,30.698,7.222,96.699514,0.911
1721496960,           2024-07-20 17:36:00,           2024-07-20 13:36:00,3.5,31.011,7.198,96.895115,0.911
1721497560,           2024-07-20 17:46:00,           2024-07-20 13:46:00,3.49,31.289,7.181,97.125123,0.911
1721498160,           2024-07-20 17:56:00,           2024-07-20 13:56:00,3.49,31.585,7.189,97.723268,0.911
1721498760,           2024-07-20 18:06:00,           2024-07-20 14:06:00,3.49,31.856,7.208,98.432067,0.91
1721499360,           2024-07-20 18:16:00,           2024-07-20 14:16:00,3.49,32.547,7.113,98.27178,0.909
1721499960,           2024-07-20 18:26:00,           2024-07-20 14:26:00,3.49,33.455,7.001,98.202687,0.909
1721500560,           2024-07-20 18:36:00,           2024-07-20 14:36:00,3.49,34.342,6.887,98.033058,0.907
1721501160,           2024-07-20 18:46:00,           2024-07-20 14:46:00,3.49,35.253,6.76,97.675952,0.904
1721501760,           2024-07-20 18:56:00,           2024-07-20 14:56:00,3.49,36.098,6.645,97.346199,0.901
1721502360,           2024-07-20 19:06:00,           2024-07-20 15:06:00,3.48,36.459,6.654,98.050692,0.901
1721502960,           2024-07-20 19:16:00,           2024-07-20 15:16:00,3.48,36.45,6.673,98.31633,0.9
1721503560,           2024-07-20 19:26:00,           2024-07-20 15:26:00,3.48,36.45,6.676,98.36053,0.901
1721504160,           2024-07-20 19:36:00,           2024-07-20 15:36:00,3.48,36.459,6.682,98.463289,0.901
1721504760,           2024-07-20 19:46:00,           2024-07-20 15:46:00,3.48,36.459,6.658,98.109635,0.901
1721505360,           2024-07-20 19:56:00,           2024-07-20 15:56:00,3.48,36.386,6.664,98.081933,0.902
1721505960,           2024-07-20 20:06:00,           2024-07-20 16:06:00,3.48,36.423,6.658,98.052415,0.902
1721506560,           2024-07-20 20:16:00,           2024-07-20 16:16:00,3.48,36.459,6.642,97.873865,0.902
1721507160,           2024-07-20 20:26:00,           2024-07-20 16:26:00,3.48,36.459,6.645,97.918072,0.902
1721507760,           2024-07-20 20:36:00,           2024-07-20 16:36:00,3.49,36.377,6.65,97.861598,0.903
1721508360,           2024-07-20 20:46:00,           2024-07-20 16:46:00,3.49,36.188,6.652,97.591304,0.903
1721508960,           2024-07-20 20:56:00,           2024-07-20 16:56:00,3.49,36.016,6.74,98.606397,0.904
1721509560,           2024-07-20 21:06:00,           2024-07-20 17:06:00,3.49,35.944,6.75,98.637129,0.904
1721510160,           2024-07-20 21:16:00,           2024-07-20 17:16:00,3.49,35.953,6.724,98.27158,0.904
1721510760,           2024-07-20 21:26:00,           2024-07-20 17:26:00,3.49,35.998,6.72,98.285026,0.904
1721511360,           2024-07-20 21:36:00,           2024-07-20 17:36:00,3.49,36.088,6.692,98.018799,0.903
1721511960,           2024-07-20 21:46:00,           2024-07-20 17:46:00,3.49,36.206,6.669,97.869308,0.902
1721512560,           2024-07-20 21:56:00,           2024-07-20 17:56:00,3.49,36.314,6.659,97.893974,0.903
1721513160,           2024-07-20 22:06:00,           2024-07-20 18:06:00,3.49,36.395,6.65,97.89016,0.902
1721513760,           2024-07-20 22:16:00,           2024-07-20 18:16:00,3.49,36.441,6.657,98.066291,0.903
1721514360,           2024-07-20 22:26:00,           2024-07-20 18:26:00,3.49,36.441,6.664,98.16941,0.903
1721514960,           2024-07-20 22:36:00,           2024-07-20 18:36:00,3.49,36.45,6.655,98.051128,0.902
1721515560,           2024-07-20 22:46:00,           2024-07-20 18:46:00,3.49,36.441,6.653,98.007366,0.902
1721516160,           2024-07-20 22:56:00,           2024-07-20 18:56:00,3.49,36.386,6.674,98.229115,0.903
1721516760,           2024-07-20 23:06:00,           2024-07-20 19:06:00,3.49,36.287,6.683,98.203774,0.903
1721517360,           2024-07-20 23:16:00,           2024-07-20 19:16:00,3.49,36.17,6.706,98.354784,0.904
1721517960,           2024-07-20 23:26:00,           2024-07-20 19:26:00,3.49,36.025,6.72,98.328183,0.904
1721518560,           2024-07-20 23:36:00,           2024-07-20 19:36:00,3.5,35.854,6.754,98.551133,0.906
1721519160,           2024-07-20 23:46:00,           2024-07-20 19:46:00,3.5,35.665,6.781,98.6409,0.906
1721519760,           2024-07-20 23:56:00,           2024-07-20 19:56:00,3.5,35.45,6.806,98.657811,0.907
1721520360,           2024-07-21 00:06:00,           2024-07-20 20:06:00,3.49,35.109,6.867,98.988382,0.908
1721520960,           2024-07-21 00:16:00,           2024-07-20 20:16:00,3.5,34.671,6.971,99.76781,0.909
1721521560,           2024-07-21 00:26:00,           2024-07-20 20:26:00,3.5,34.226,7.051,100.175593,0.911
1721522160,           2024-07-21 00:36:00,           2024-07-20 20:36:00,3.5,33.782,7.096,100.07713,0.911
1721522760,           2024-07-21 00:46:00,           2024-07-20 20:46:00,3.5,33.534,7.126,100.087409,0.912
1721523360,           2024-07-21 00:56:00,           2024-07-20 20:56:00,3.5,33.402,7.146,100.148265,0.912
1721523960,           2024-07-21 01:06:00,           2024-07-20 21:06:00,3.5,33.322,7.144,99.987006,0.912
1721524560,           2024-07-21 01:16:00,           2024-07-20 21:16:00,3.5,33.278,7.164,100.193475,0.913
1721525160,           2024-07-21 01:26:00,           2024-07-20 21:26:00,3.5,33.243,7.164,100.135065,0.913
1721525760,           2024-07-21 01:36:00,           2024-07-20 21:36:00,3.5,33.234,7.158,100.036195,0.912
1721526360,           2024-07-21 01:46:00,           2024-07-20 21:46:00,3.5,33.208,7.161,100.034761,0.912
1721526960,           2024-07-21 01:56:00,           2024-07-20 21:56:00,3.5,33.225,7.142,99.797617,0.911
1721527560,           2024-07-21 02:06:00,           2024-07-20 22:06:00,3.5,33.19,7.161,100.004746,0.912
1721528160,           2024-07-21 02:16:00,           2024-07-20 22:16:00,3.5,33.172,7.15,99.821164,0.912
1721528760,           2024-07-21 02:26:00,           2024-07-20 22:26:00,3.5,33.119,7.159,99.858495,0.912
1721529360,           2024-07-21 02:36:00,           2024-07-20 22:36:00,3.5,33.102,7.153,99.746504,0.912
1721529960,           2024-07-21 02:46:00,           2024-07-20 22:46:00,3.5,33.093,7.158,99.801237,0.912
1721530560,           2024-07-21 02:56:00,           2024-07-20 22:56:00,3.5,33.022,7.157,99.669084,0.911
1721531160,           2024-07-21 03:06:00,           2024-07-20 23:06:00,3.5,33.014,7.164,99.753238,0.912
1721531760,           2024-07-21 03:16:00,           2024-07-20 23:16:00,3.5,32.952,7.177,99.83079,0.912
1721532360,           2024-07-21 03:26:00,           2024-07-20 23:26:00,3.5,32.899,7.178,99.756278,0.912
1721532960,           2024-07-21 03:36:00,           2024-07-20 23:36:00,3.5,32.873,7.168,99.573997,0.912
1721533560,           2024-07-21 03:46:00,           2024-07-20 23:46:00,3.5,32.811,7.185,99.706672,0.912
1721534160,           2024-07-21 03:56:00,           2024-07-20 23:56:00,3.5,32.776,7.182,99.606667,0.913
1721534760,           2024-07-21 04:06:00,           2024-07-21 00:06:00,3.5,32.539,7.2,99.4604,0.912
1721535360,           2024-07-21 04:16:00,           2024-07-21 00:16:00,3.51,32.197,7.264,99.769185,0.913
1721535960,           2024-07-21 04:26:00,           2024-07-21 00:26:00,3.5,31.821,7.265,99.151768,0.914
1721536560,           2024-07-21 04:36:00,           2024-07-21 00:36:00,3.5,31.576,7.228,98.238422,0.914
1721537160,           2024-07-21 04:46:00,           2024-07-21 00:46:00,3.51,31.297,7.293,98.653377,0.914
1721537760,           2024-07-21 04:56:00,           2024-07-21 00:56:00,3.51,31.089,7.318,98.641604,0.914
1721538360,           2024-07-21 05:06:00,           2024-07-21 01:06:00,3.5,30.768,7.364,98.719029,0.914
1721538960,           2024-07-21 05:16:00,           2024-07-21 01:16:00,3.5,30.733,7.366,98.68672,0.914
1721539560,           2024-07-21 05:26:00,           2024-07-21 01:26:00,3.5,30.776,7.352,98.57165,0.914
1721540160,           2024-07-21 05:36:00,           2024-07-21 01:36:00,3.5,30.794,7.356,98.655649,0.914
1721540760,           2024-07-21 05:46:00,           2024-07-21 01:46:00,3.5,30.846,7.341,98.542047,0.914
1721541360,           2024-07-21 05:56:00,           2024-07-21 01:56:00,3.51,30.863,7.346,98.637819,0.914
1721541960,           2024-07-21 06:06:00,           2024-07-21 02:06:00,3.51,30.906,7.333,98.535626,0.914
1721542560,           2024-07-21 06:16:00,           2024-07-21 02:16:00,3.51,30.915,7.33,98.510456,0.914
1721543160,           2024-07-21 06:26:00,           2024-07-21 02:26:00,3.51,30.915,7.328,98.483578,0.913
1721543760,           2024-07-21 06:36:00,           2024-07-21 02:36:00,3.51,30.924,7.335,98.592806,0.914
1721544360,           2024-07-21 06:46:00,           2024-07-21 02:46:00,3.51,30.915,7.342,98.671728,0.914
1721544960,           2024-07-21 06:56:00,           2024-07-21 02:56:00,3.51,30.863,7.349,98.678102,0.914
1721545560,           2024-07-21 07:06:00,           2024-07-21 03:06:00,3.5,30.863,7.338,98.5304,0.914
1721546160,           2024-07-21 07:16:00,           2024-07-21 03:16:00,3.5,30.802,7.352,98.615494,0.914
