            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
1736611440,           2025-01-11 16:04:00,           2025-01-11 11:04:00,2.91,30.127,7.465,98.977593,0.894
1736612040,           2025-01-11 16:14:00,           2025-01-11 11:14:00,2.91,29.843,7.434,98.084496,0.894
1736612640,           2025-01-11 16:24:00,           2025-01-11 11:24:00,2.91,29.378,7.483,97.938099,0.894
1736613240,           2025-01-11 16:34:00,           2025-01-11 11:34:00,2.91,28.863,7.53,97.671833,0.894
1736613840,           2025-01-11 16:44:00,           2025-01-11 11:44:00,2.91,28.41,7.577,97.503263,0.894
1736614440,           2025-01-11 16:54:00,           2025-01-11 11:54:00,2.91,27.898,7.644,97.480221,0.895
1736615040,           2025-01-11 17:04:00,           2025-01-11 12:04:00,2.92,24.796,0.533,6.42624,0.888
1736615640,           2025-01-11 17:14:00,           2025-01-11 12:14:00,2.91,24.259,0.411,4.906205,0.886
1736616240,           2025-01-11 17:24:00,           2025-01-11 12:24:00,2.92,24.141,0.403,4.800139,0.885
1736616840,           2025-01-11 17:34:00,           2025-01-11 12:34:00,2.92,24.208,0.48,5.724434,0.887
1736617440,           2025-01-11 17:44:00,           2025-01-11 12:44:00,2.92,24.535,0.417,5.003426,0.886
1736618040,           2025-01-11 17:54:00,           2025-01-11 12:54:00,2.92,24.535,0.51,6.119298,0.888
1736618640,           2025-01-11 18:04:00,           2025-01-11 13:04:00,2.92,24.561,0.483,5.798129,0.887
1736619240,           2025-01-11 18:14:00,           2025-01-11 13:14:00,2.92,24.603,0.5,6.006879,0.887
1736619840,           2025-01-11 18:24:00,           2025-01-11 13:24:00,2.92,24.703,0.525,6.318911,0.888
1736620440,           2025-01-11 18:34:00,           2025-01-11 13:34:00,2.92,24.846,0.429,5.177119,0.886
1736621040,           2025-01-11 18:44:00,           2025-01-11 13:44:00,2.92,24.821,0.404,4.873171,0.885
1736621640,           2025-01-11 18:54:00,           2025-01-11 13:54:00,2.92,24.964,0.418,5.055366,0.885
1736622240,           2025-01-11 19:04:00,           2025-01-11 14:04:00,2.92,25.023,0.438,5.303011,0.886
1736622840,           2025-01-11 19:14:00,           2025-01-11 14:14:00,2.92,24.989,0.44,5.32389,0.886
1736623440,           2025-01-11 19:24:00,           2025-01-11 14:24:00,2.92,24.972,0.389,4.705328,0.885
1736624040,           2025-01-11 19:34:00,           2025-01-11 14:34:00,2.92,24.964,0.384,4.644164,0.884
1736624640,           2025-01-11 19:44:00,           2025-01-11 14:44:00,2.92,24.947,0.406,4.908697,0.885
1736625240,           2025-01-11 19:54:00,           2025-01-11 14:54:00,2.92,24.972,0.406,4.91096,0.885
1736625840,           2025-01-11 20:04:00,           2025-01-11 15:04:00,2.92,24.955,0.427,5.163356,0.886
1736626440,           2025-01-11 20:14:00,           2025-01-11 15:14:00,2.92,24.981,0.432,5.226321,0.886
1736627040,           2025-01-11 20:24:00,           2025-01-11 15:24:00,2.92,24.947,0.621,7.50813,0.89
1736627640,           2025-01-11 20:34:00,           2025-01-11 15:34:00,2.92,24.947,0.553,6.685984,0.888
1736628240,           2025-01-11 20:44:00,           2025-01-11 15:44:00,2.92,24.93,0.53,6.405896,0.888
1736628840,           2025-01-11 20:54:00,           2025-01-11 15:54:00,2.92,24.93,0.518,6.260857,0.888
1736629440,           2025-01-11 21:04:00,           2025-01-11 16:04:00,2.92,24.88,0.483,5.832444,0.887
1736630040,           2025-01-11 21:14:00,           2025-01-11 16:14:00,2.92,24.88,0.563,6.79848,0.888
