Time_sec,DateTime,Batt_V,Temp_C,DO_mgL,Q
1623435060,6/10/1951 18:11,3.53,30.586,7.622,0.974
1623435660,6/10/1951 18:21,3.53,30.456,7.643,0.974
1623436260,6/10/1951 18:31,3.53,28.427,1.459,0.977
1623436860,6/10/1951 18:41,3.54,26.65,0.25,0.962
1623437460,6/10/1951 18:51,3.54,26.481,0.079,0.957
1623438060,6/10/1951 19:01,3.53,26.414,0.074,0.957
1623438660,6/10/1951 19:11,3.53,26.38,0.064,0.957
1623439260,6/10/1951 19:21,3.53,26.38,0.055,0.957
1623439860,6/10/1951 19:31,3.53,26.354,0.053,0.957
1623440460,6/10/1951 19:41,3.53,26.363,0.051,0.957
1623441060,6/10/1951 19:51,3.53,26.371,0.051,0.957
1623441660,6/10/1951 20:01,3.53,26.371,0.05,0.957
1623442260,6/10/1951 20:11,3.53,26.363,0.05,0.957
1623442860,6/10/1951 20:21,3.53,26.371,0.05,0.957
1623443460,6/10/1951 20:31,3.53,26.405,0.05,0.957
1623444060,6/10/1951 20:41,3.53,26.405,0.051,0.957
1623444660,6/10/1951 20:51,3.53,26.388,0.051,0.957
1623445260,6/10/1951 21:01,3.53,26.363,0.05,0.957
1623445860,6/10/1951 21:11,3.53,26.329,0.051,0.957
1623446460,6/10/1951 21:21,3.53,26.304,0.051,0.957
1623447060,6/10/1951 21:31,3.53,26.253,0.103,0.96
1623447660,6/10/1951 21:41,3.53,26.211,0.159,0.961
1623448260,6/10/1951 21:51,3.53,26.185,0.27,0.965
1623448860,6/10/1951 22:01,3.53,26.16,0.256,0.965
1623449460,6/10/1951 22:11,3.54,26.135,0.378,0.968
1623450060,6/10/1951 22:21,3.54,26.076,0.261,0.965
1623450660,6/10/1951 22:31,3.54,26.067,0.272,0.965
1623451260,6/10/1951 22:41,3.54,26.042,0.201,0.963
1623451860,6/10/1951 22:51,3.54,26.017,0.27,0.965
1623452460,6/10/1951 23:01,3.54,26,0.261,0.965
1623453060,6/10/1951 23:11,3.54,26,0.255,0.964
1623453660,6/10/1951 23:21,3.54,25.966,0.176,0.962
1623454260,6/10/1951 23:31,3.54,25.958,0.125,0.961
1623454860,6/10/1951 23:41,3.54,25.915,0.113,0.96
1623455460,6/10/1951 23:51,3.54,25.907,0.116,0.96
1623456060,6/11/1951 0:01,3.54,25.915,0.073,0.959
1623456660,6/11/1951 0:11,3.54,25.873,0.074,0.959
1623457260,6/11/1951 0:21,3.54,25.865,0.076,0.959
1623457860,6/11/1951 0:31,3.54,25.856,0.075,0.959
1623458460,6/11/1951 0:41,3.54,25.831,0.06,0.958
1623459060,6/11/1951 0:51,3.54,25.806,0.062,0.959
1623459660,6/11/1951 1:01,3.54,25.797,0.054,0.958
1623460260,6/11/1951 1:11,3.54,25.772,0.055,0.958
1623460860,6/11/1951 1:21,3.54,25.764,0.053,0.958
1623461460,6/11/1951 1:31,3.54,25.738,0.053,0.958
1623462060,6/11/1951 1:41,3.54,25.721,0.051,0.958
1623462660,6/11/1951 1:51,3.54,25.705,0.052,0.958
1623463260,6/11/1951 2:01,3.54,25.688,0.052,0.958
1623463860,6/11/1951 2:11,3.54,25.679,0.052,0.958
1623464460,6/11/1951 2:21,3.54,25.637,0.051,0.958
1623465060,6/11/1951 2:31,3.54,25.629,0.052,0.958
1623465660,6/11/1951 2:41,3.54,25.629,0.058,0.959
1623466260,6/11/1951 2:51,3.54,25.62,0.05,0.958
1623466860,6/11/1951 3:01,3.54,25.612,0.053,0.958
1623467460,6/11/1951 3:11,3.54,25.603,0.055,0.958
1623468060,6/11/1951 3:21,3.54,25.595,0.051,0.958
1623468660,6/11/1951 3:31,3.54,25.57,0.054,0.959
1623469260,6/11/1951 3:41,3.54,25.561,0.053,0.959
1623469860,6/11/1951 3:51,3.54,25.553,0.051,0.958
1623470460,6/11/1951 4:01,3.54,25.544,0.052,0.959
1623471060,6/11/1951 4:11,3.54,25.544,0.051,0.958
1623471660,6/11/1951 4:21,3.54,25.536,0.05,0.958
1623472260,6/11/1951 4:31,3.54,25.519,0.051,0.958
1623472860,6/11/1951 4:41,3.54,25.511,0.051,0.958
1623473460,6/11/1951 4:51,3.54,25.494,0.05,0.958
1623474060,6/11/1951 5:01,3.54,25.494,0.051,0.958
1623474660,6/11/1951 5:11,3.54,25.477,0.051,0.958
1623475260,6/11/1951 5:21,3.54,25.485,0.058,0.959
1623475860,6/11/1951 5:31,3.54,25.46,0.056,0.959
1623476460,6/11/1951 5:41,3.54,25.46,0.053,0.959
1623477060,6/11/1951 5:51,3.54,25.452,0.052,0.959
1623477660,6/11/1951 6:01,3.54,25.435,0.073,0.959
1623478260,6/11/1951 6:11,3.54,25.427,0.058,0.959
1623478860,6/11/1951 6:21,3.54,25.41,0.053,0.959
1623479460,6/11/1951 6:31,3.54,25.393,0.067,0.959
1623480060,6/11/1951 6:41,3.54,25.384,0.052,0.959
1623480660,6/11/1951 6:51,3.53,25.351,0.051,0.959
1623481260,6/11/1951 7:01,3.53,25.317,0.059,0.959
1623481860,6/11/1951 7:11,3.53,25.309,0.056,0.959
1623482460,6/11/1951 7:21,3.53,25.292,0.051,0.959
1623483060,6/11/1951 7:31,3.53,25.241,0.084,0.96
1623483660,6/11/1951 7:41,3.53,25.225,0.066,0.959
1623484260,6/11/1951 7:51,3.53,25.182,0.056,0.959
1623484860,6/11/1951 8:01,3.53,25.166,0.062,0.959
1623485460,6/11/1951 8:11,3.54,25.14,0.051,0.959
1623486060,6/11/1951 8:21,3.54,25.107,0.056,0.959
1623486660,6/11/1951 8:31,3.54,25.073,0.067,0.959
1623487260,6/11/1951 8:41,3.54,25.056,0.055,0.959
1623487860,6/11/1951 8:51,3.54,25.014,0.064,0.959
1623488460,6/11/1951 9:01,3.54,25.006,0.051,0.959
1623489060,6/11/1951 9:11,3.54,24.972,0.054,0.959
1623489660,6/11/1951 9:21,3.54,24.964,0.055,0.959
1623490260,6/11/1951 9:31,3.54,24.922,0.052,0.959
1623490860,6/11/1951 9:41,3.54,24.897,0.052,0.959
1623491460,6/11/1951 9:51,3.54,24.88,0.066,0.96
1623492060,6/11/1951 10:01,3.54,24.888,0.05,0.959
1623492660,6/11/1951 10:11,3.54,24.863,0.053,0.959
1623493260,6/11/1951 10:21,3.54,24.838,0.054,0.959
1623493860,6/11/1951 10:31,3.54,24.829,0.058,0.959
1623494460,6/11/1951 10:41,3.54,24.838,0.05,0.959
1623495060,6/11/1951 10:51,3.54,24.821,0.053,0.959
1623495660,6/11/1951 11:01,3.54,24.855,0.052,0.959
1623496260,6/11/1951 11:11,3.54,24.838,0.05,0.959
1623496860,6/11/1951 11:21,3.54,24.855,0.051,0.959
1623497460,6/11/1951 11:31,3.54,24.871,0.052,0.959
1623498060,6/11/1951 11:41,3.54,24.913,0.05,0.959
1623498660,6/11/1951 11:51,3.54,24.93,0.05,0.959
1623499260,6/11/1951 12:01,3.54,24.972,0.05,0.959
1623499860,6/11/1951 12:11,3.53,24.989,0.05,0.959
1623500460,6/11/1951 12:21,3.53,25.023,0.051,0.959
1623501060,6/11/1951 12:31,3.53,25.082,0.05,0.959
1623501660,6/11/1951 12:41,3.53,25.124,0.05,0.959
1623502260,6/11/1951 12:51,3.53,25.166,0.05,0.959
1623502860,6/11/1951 13:01,3.53,25.182,0.05,0.958
1623503460,6/11/1951 13:11,3.53,25.233,0.05,0.959
1623504060,6/11/1951 13:21,3.53,25.283,0.05,0.958
1623504660,6/11/1951 13:31,3.53,25.359,0.05,0.958
1623505260,6/11/1951 13:41,3.54,25.41,0.05,0.958
1623505860,6/11/1951 13:51,3.54,25.46,0.05,0.958
1623506460,6/11/1951 14:01,3.54,25.511,0.05,0.958
1623507060,6/11/1951 14:11,3.54,25.578,0.05,0.958
1623507660,6/11/1951 14:21,3.54,25.654,0.05,0.958
1623508260,6/11/1951 14:31,3.54,25.747,0.05,0.958
1623508860,6/11/1951 14:41,3.54,25.797,0.05,0.958
1623509460,6/11/1951 14:51,3.54,25.898,0.05,0.958
1623510060,6/11/1951 15:01,3.53,25.966,0.051,0.958
1623510660,6/11/1951 15:11,3.53,26.076,0.05,0.958
1623511260,6/11/1951 15:21,3.53,26.169,0.05,0.958
1623511860,6/11/1951 15:31,3.53,26.219,0.051,0.958
1623512460,6/11/1951 15:41,3.53,26.27,0.051,0.958
1623513060,6/11/1951 15:51,3.53,26.354,0.051,0.958
1623513660,6/11/1951 16:01,3.53,26.447,0.051,0.958
1623514260,6/11/1951 16:11,3.53,26.498,0.051,0.958
1623514860,6/11/1951 16:21,3.54,26.566,0.051,0.958
1623515460,6/11/1951 16:31,3.54,26.642,0.051,0.958
1623516060,6/11/1951 16:41,3.54,26.752,0.051,0.957
1623516660,6/11/1951 16:51,3.53,26.938,0.051,0.958
1623517260,6/11/1951 17:01,3.54,26.871,0.051,0.958
1623517860,6/11/1951 17:11,3.54,26.82,0.059,0.958
1623518460,6/11/1951 17:21,3.54,26.811,0.144,0.961
1623519060,6/11/1951 17:31,3.54,26.811,0.149,0.961
1623519660,6/11/1951 17:41,3.54,26.837,0.053,0.957
1623520260,6/11/1951 17:51,3.53,26.887,0.052,0.958
1623520860,6/11/1951 18:01,3.54,26.913,0.052,0.958
1623521460,6/11/1951 18:11,3.53,26.972,0.052,0.958
1623522060,6/11/1951 18:21,3.53,26.989,0.051,0.957
1623522660,6/11/1951 18:31,3.53,26.989,0.053,0.958
1623523260,6/11/1951 18:41,3.53,27.006,0.051,0.957
1623523860,6/11/1951 18:51,3.53,26.989,0.052,0.957
1623524460,6/11/1951 19:01,3.54,26.93,0.053,0.958
1623525060,6/11/1951 19:11,3.54,26.837,0.072,0.959
1623525660,6/11/1951 19:21,3.54,26.769,0.108,0.96
1623526260,6/11/1951 19:31,3.54,26.71,0.131,0.961
1623526860,6/11/1951 19:41,3.54,26.684,0.096,0.96
