            Unix Timestamp,               UTC_Date_&_Time,                  Bolivia Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
1623170640,           2021-06-08 16:44:00,           2021-06-08 12:44:00,3.54,21.404,6.318,71.43309,0.974
1623171240,           2021-06-08 16:54:00,           2021-06-08 12:54:00,3.54,17.146,7.009,72.742455,0.979
1623171840,           2021-06-08 17:04:00,           2021-06-08 13:04:00,3.54,16.646,6.803,69.870378,0.982
1623172440,           2021-06-08 17:14:00,           2021-06-08 13:14:00,3.54,16.476,6.953,71.15621,0.983
1623173040,           2021-06-08 17:24:00,           2021-06-08 13:24:00,3.54,16.331,6.225,63.511536,0.983
1623173640,           2021-06-08 17:34:00,           2021-06-08 13:34:00,3.54,16.288,6.1,62.179733,0.984
1623174240,           2021-06-08 17:44:00,           2021-06-08 13:44:00,3.54,16.263,5.88,59.905542,0.984
1623174840,           2021-06-08 17:54:00,           2021-06-08 13:54:00,3.54,16.271,5.904,60.160221,0.983
1623175440,           2021-06-08 18:04:00,           2021-06-08 14:04:00,3.54,16.271,5.854,59.650734,0.984
1623176040,           2021-06-08 18:14:00,           2021-06-08 14:14:00,3.54,16.28,6.013,61.282552,0.983
1623176640,           2021-06-08 18:24:00,           2021-06-08 14:24:00,3.54,16.288,6.01,61.262327,0.983
1623177240,           2021-06-08 18:34:00,           2021-06-08 14:34:00,3.54,16.288,6.104,62.220506,0.983
1623177840,           2021-06-08 18:44:00,           2021-06-08 14:44:00,3.54,16.297,6.321,64.444721,0.983
1623178440,           2021-06-08 18:54:00,           2021-06-08 14:54:00,3.54,16.322,6.384,65.121387,0.984
1623179040,           2021-06-08 19:04:00,           2021-06-08 15:04:00,3.54,16.322,6.453,65.825237,0.983
1623179640,           2021-06-08 19:14:00,           2021-06-08 15:14:00,3.54,16.322,6.471,66.00885,0.983
1623180240,           2021-06-08 19:24:00,           2021-06-08 15:24:00,3.54,16.322,6.365,64.927574,0.984
1623180840,           2021-06-08 19:34:00,           2021-06-08 15:34:00,3.54,16.297,6.45,65.759919,0.983
1623181440,           2021-06-08 19:44:00,           2021-06-08 15:44:00,3.54,16.373,5.966,60.923003,0.984
1623182040,           2021-06-08 19:54:00,           2021-06-08 15:54:00,3.54,16.356,6.09,62.16696,0.983
1623182640,           2021-06-08 20:04:00,           2021-06-08 16:04:00,3.54,16.365,6.036,61.627424,0.984
1623183240,           2021-06-08 20:14:00,           2021-06-08 16:14:00,3.54,16.382,5.958,60.852858,0.983
1623183840,           2021-06-08 20:24:00,           2021-06-08 16:24:00,3.54,16.382,5.931,60.577089,0.984
1623184440,           2021-06-08 20:34:00,           2021-06-08 16:34:00,3.54,16.399,5.84,59.66903,0.984
1623185040,           2021-06-08 20:44:00,           2021-06-08 16:44:00,3.54,16.373,5.608,57.267215,0.984
1623185640,           2021-06-08 20:54:00,           2021-06-08 16:54:00,3.54,16.399,5.594,57.155574,0.984
1623186240,           2021-06-08 21:04:00,           2021-06-08 17:04:00,3.54,16.382,5.559,56.777616,0.984
1623186840,           2021-06-08 21:14:00,           2021-06-08 17:14:00,3.53,16.365,5.495,56.103826,0.984
1623187440,           2021-06-08 21:24:00,           2021-06-08 17:24:00,3.53,16.382,5.528,56.460993,0.984
1623188040,           2021-06-08 21:34:00,           2021-06-08 17:34:00,3.53,16.399,5.65,57.727743,0.984
1623188640,           2021-06-08 21:44:00,           2021-06-08 17:44:00,3.53,16.433,5.614,57.401033,0.983
1623189240,           2021-06-08 21:54:00,           2021-06-08 17:54:00,3.53,16.442,5.373,54.947315,0.984
1623189840,           2021-06-08 22:04:00,           2021-06-08 18:04:00,3.53,16.424,5.363,54.824255,0.984
1623190440,           2021-06-08 22:14:00,           2021-06-08 18:14:00,3.53,16.442,5.372,54.937088,0.984
1623191040,           2021-06-08 22:24:00,           2021-06-08 18:24:00,3.53,16.433,5.381,55.018695,0.984
1623191640,           2021-06-08 22:34:00,           2021-06-08 18:34:00,3.53,16.442,5.542,56.675604,0.984
1623192240,           2021-06-08 22:44:00,           2021-06-08 18:44:00,3.53,16.442,5.63,57.575541,0.984
1623192840,           2021-06-08 22:54:00,           2021-06-08 18:54:00,3.53,16.442,5.576,57.023307,0.984
1623193440,           2021-06-08 23:04:00,           2021-06-08 19:04:00,3.53,16.45,5.445,55.693011,0.983
1623194040,           2021-06-08 23:14:00,           2021-06-08 19:14:00,3.53,16.442,5.363,54.845049,0.984
1623194640,           2021-06-08 23:24:00,           2021-06-08 19:24:00,3.53,16.442,5.241,53.597409,0.984
1623195240,           2021-06-08 23:34:00,           2021-06-08 19:34:00,3.53,16.45,5.178,52.962059,0.984
1623195840,           2021-06-08 23:44:00,           2021-06-08 19:44:00,3.53,16.467,5.203,53.236821,0.984
1623196440,           2021-06-08 23:54:00,           2021-06-08 19:54:00,3.53,16.476,5.16,52.806852,0.984
1623197040,           2021-06-09 00:04:00,           2021-06-08 20:04:00,3.53,16.45,5.176,52.941602,0.984
1623197640,           2021-06-09 00:14:00,           2021-06-08 20:14:00,3.53,16.467,5.514,56.418956,0.984
1623198240,           2021-06-09 00:24:00,           2021-06-08 20:24:00,3.53,16.459,5.207,53.268774,0.983
1623198840,           2021-06-09 00:34:00,           2021-06-08 20:34:00,3.53,16.459,5.255,53.759825,0.984
1623199440,           2021-06-09 00:44:00,           2021-06-08 20:44:00,3.53,16.459,5.401,55.253438,0.984
1623200040,           2021-06-09 00:54:00,           2021-06-08 20:54:00,3.53,16.459,5.306,54.281567,0.984
1623200640,           2021-06-09 01:04:00,           2021-06-08 21:04:00,3.53,16.476,5.372,54.976436,0.983
1623201240,           2021-06-09 01:14:00,           2021-06-08 21:14:00,3.53,16.45,4.882,49.934486,0.984
1623201840,           2021-06-09 01:24:00,           2021-06-08 21:24:00,3.53,16.433,5.313,54.323421,0.984
1623202440,           2021-06-09 01:34:00,           2021-06-08 21:34:00,3.53,16.433,5.311,54.302972,0.984
1623203040,           2021-06-09 01:44:00,           2021-06-08 21:44:00,3.53,16.459,5.171,52.900486,0.984
1623203640,           2021-06-09 01:54:00,           2021-06-08 21:54:00,3.53,16.45,4.971,50.844804,0.984
1623204240,           2021-06-09 02:04:00,           2021-06-08 22:04:00,3.53,16.45,5.327,54.486073,0.984
1623204840,           2021-06-09 02:14:00,           2021-06-08 22:14:00,3.53,16.442,5.364,54.855276,0.984
1623205440,           2021-06-09 02:24:00,           2021-06-08 22:24:00,3.53,16.45,5.452,55.764609,0.983
