            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
1704314220,           2024-01-03 20:37:00,           2024-01-03 15:37:00,3.47,25.915,0.974,11.986648,0.952
1704314280,           2024-01-03 20:38:00,           2024-01-03 15:38:00,3.47,25.772,0.769,9.439183,0.95
1704314340,           2024-01-03 20:39:00,           2024-01-03 15:39:00,3.47,25.637,0.68,8.326211,0.948
1704314400,           2024-01-03 20:40:00,           2024-01-03 15:40:00,3.47,25.544,0.64,7.823129,0.948
1704314460,           2024-01-03 20:41:00,           2024-01-03 15:41:00,3.47,25.477,0.619,7.557165,0.947
1704314520,           2024-01-03 20:42:00,           2024-01-03 15:42:00,3.47,25.418,0.602,7.341683,0.947
1704314580,           2024-01-03 20:43:00,           2024-01-03 15:43:00,3.47,25.384,0.601,7.324924,0.947
1704314640,           2024-01-03 20:44:00,           2024-01-03 15:44:00,3.47,25.334,0.588,7.159916,0.947
1704314700,           2024-01-03 20:45:00,           2024-01-03 15:45:00,3.47,25.309,0.586,7.132291,0.947
1704314760,           2024-01-03 20:46:00,           2024-01-03 15:46:00,3.47,25.267,0.587,7.138958,0.947
1704314820,           2024-01-03 20:47:00,           2024-01-03 15:47:00,3.47,25.267,0.578,7.029503,0.947
1704314880,           2024-01-03 20:48:00,           2024-01-03 15:48:00,3.47,25.225,0.579,7.036236,0.947
1704314940,           2024-01-03 20:49:00,           2024-01-03 15:49:00,3.47,25.199,0.569,6.911411,0.947
1704315000,           2024-01-03 20:50:00,           2024-01-03 15:50:00,3.47,25.208,0.559,6.791068,0.947
1704315060,           2024-01-03 20:51:00,           2024-01-03 15:51:00,3.47,25.199,0.558,6.777798,0.946
1704315120,           2024-01-03 20:52:00,           2024-01-03 15:52:00,3.47,25.174,0.553,6.71398,0.946
1704315180,           2024-01-03 20:53:00,           2024-01-03 15:53:00,3.47,25.174,0.547,6.641134,0.946
1704315240,           2024-01-03 20:54:00,           2024-01-03 15:54:00,3.47,25.166,0.543,6.591601,0.946
1704315300,           2024-01-03 20:55:00,           2024-01-03 15:55:00,3.47,25.166,0.549,6.664436,0.946
1704315360,           2024-01-03 20:56:00,           2024-01-03 15:56:00,3.47,25.124,0.553,6.707811,0.946
1704315420,           2024-01-03 20:57:00,           2024-01-03 15:57:00,3.47,25.14,0.565,6.855386,0.947
1704315480,           2024-01-03 20:58:00,           2024-01-03 15:58:00,3.47,25.149,0.569,6.905063,0.947
1704315540,           2024-01-03 20:59:00,           2024-01-03 15:59:00,3.47,25.149,0.577,7.002146,0.947
1704315600,           2024-01-03 21:00:00,           2024-01-03 16:00:00,3.47,25.14,0.578,7.013121,0.947
1704315660,           2024-01-03 21:01:00,           2024-01-03 16:01:00,3.47,25.115,0.585,7.094792,0.947
1704315720,           2024-01-03 21:02:00,           2024-01-03 16:02:00,3.47,25.124,0.592,7.180876,0.947
1704315780,           2024-01-03 21:03:00,           2024-01-03 16:03:00,3.47,25.132,0.59,7.157669,0.947
1704315840,           2024-01-03 21:04:00,           2024-01-03 16:04:00,3.47,25.132,0.594,7.206196,0.947
1704315900,           2024-01-03 21:05:00,           2024-01-03 16:05:00,3.47,25.14,0.607,7.36499,0.947
1704315960,           2024-01-03 21:06:00,           2024-01-03 16:06:00,3.47,25.14,0.62,7.522725,0.948
1704316020,           2024-01-03 21:07:00,           2024-01-03 16:07:00,3.47,25.115,0.627,7.604162,0.948
1704316080,           2024-01-03 21:08:00,           2024-01-03 16:08:00,3.47,25.115,0.633,7.676929,0.948
1704316140,           2024-01-03 21:09:00,           2024-01-03 16:09:00,3.47,25.115,0.64,7.761824,0.948
1704316200,           2024-01-03 21:10:00,           2024-01-03 16:10:00,3.47,25.124,0.645,7.823758,0.948
1704316260,           2024-01-03 21:11:00,           2024-01-03 16:11:00,3.47,25.098,0.642,7.783645,0.948
1704316320,           2024-01-03 21:12:00,           2024-01-03 16:12:00,3.47,25.09,0.641,7.770377,0.948
1704316380,           2024-01-03 21:13:00,           2024-01-03 16:13:00,3.47,25.115,0.645,7.822463,0.948
1704316440,           2024-01-03 21:14:00,           2024-01-03 16:14:00,3.47,25.09,0.643,7.794622,0.948
1704316500,           2024-01-03 21:15:00,           2024-01-03 16:15:00,3.47,25.09,0.648,7.855233,0.948
1704316560,           2024-01-03 21:16:00,           2024-01-03 16:16:00,3.47,25.09,0.649,7.867355,0.948
1704316620,           2024-01-03 21:17:00,           2024-01-03 16:17:00,3.47,25.073,0.666,8.070909,0.949
1704316680,           2024-01-03 21:18:00,           2024-01-03 16:18:00,3.47,25.082,0.666,8.072246,0.949
1704316740,           2024-01-03 21:19:00,           2024-01-03 16:19:00,3.47,25.073,0.662,8.022435,0.949
1704316800,           2024-01-03 21:20:00,           2024-01-03 16:20:00,3.47,25.09,0.66,8.0007,0.949
1704316860,           2024-01-03 21:21:00,           2024-01-03 16:21:00,3.47,25.107,0.664,8.051707,0.949
1704316920,           2024-01-03 21:22:00,           2024-01-03 16:22:00,3.47,25.09,0.666,8.073434,0.949
1704316980,           2024-01-03 21:23:00,           2024-01-03 16:23:00,3.47,25.09,0.672,8.146168,0.949
1704317040,           2024-01-03 21:24:00,           2024-01-03 16:24:00,3.47,25.082,0.673,8.157089,0.949
