            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
1703708460,           2023-12-27 20:21:00,           2023-12-27 15:21:00,3.3,28.05,2.824,36.110104,0.997
1703708520,           2023-12-27 20:22:00,           2023-12-27 15:22:00,3.3,27.267,1.736,21.891282,0.997
1703708580,           2023-12-27 20:23:00,           2023-12-27 15:23:00,3.3,26.776,1.2,14.999671,0.996
1703708640,           2023-12-27 20:24:00,           2023-12-27 15:24:00,3.3,26.403,1.013,12.577386,0.994
1703708700,           2023-12-27 20:25:00,           2023-12-27 15:25:00,3.3,26.15,0.913,11.283998,0.993
1703708760,           2023-12-27 20:26:00,           2023-12-27 15:26:00,3.3,25.939,0.869,10.699122,0.992
1703708820,           2023-12-27 20:27:00,           2023-12-27 15:27:00,3.3,25.787,0.844,10.362611,0.992
1703708880,           2023-12-27 20:28:00,           2023-12-27 15:28:00,3.3,25.677,0.821,10.060018,0.992
1703708940,           2023-12-27 20:29:00,           2023-12-27 15:29:00,3.3,25.601,0.799,9.776867,0.991
1703709000,           2023-12-27 20:30:00,           2023-12-27 15:30:00,3.3,25.543,0.783,9.570934,0.991
1703709060,           2023-12-27 20:31:00,           2023-12-27 15:31:00,3.3,25.484,0.774,9.450719,0.991
1703709120,           2023-12-27 20:32:00,           2023-12-27 15:32:00,3.3,25.433,0.77,9.393105,0.991
1703709180,           2023-12-27 20:33:00,           2023-12-27 15:33:00,3.3,25.383,0.772,9.408881,0.991
1703709240,           2023-12-27 20:34:00,           2023-12-27 15:34:00,3.3,25.366,0.775,9.442502,0.991
1703709300,           2023-12-27 20:35:00,           2023-12-27 15:35:00,3.3,25.332,0.785,9.55838,0.991
1703709360,           2023-12-27 20:36:00,           2023-12-27 15:36:00,3.3,25.298,0.798,9.710614,0.992
1703709420,           2023-12-27 20:37:00,           2023-12-27 15:37:00,3.3,25.298,0.81,9.856638,0.992
1703709480,           2023-12-27 20:38:00,           2023-12-27 15:38:00,3.3,25.282,0.823,10.011892,0.992
1703709540,           2023-12-27 20:39:00,           2023-12-27 15:39:00,3.3,25.256,0.833,10.128708,0.992
1703709600,           2023-12-27 20:40:00,           2023-12-27 15:40:00,3.29,25.239,0.841,10.222792,0.992
1703709660,           2023-12-27 20:41:00,           2023-12-27 15:41:00,3.3,25.239,0.851,10.344347,0.993
1703709720,           2023-12-27 20:42:00,           2023-12-27 15:42:00,3.29,25.214,0.856,10.400348,0.993
1703709780,           2023-12-27 20:43:00,           2023-12-27 15:43:00,3.29,25.231,0.859,10.440057,0.993
1703709840,           2023-12-27 20:44:00,           2023-12-27 15:44:00,3.29,25.214,0.861,10.461098,0.993
1703709900,           2023-12-27 20:45:00,           2023-12-27 15:45:00,3.29,25.189,0.865,10.504872,0.992
1703709960,           2023-12-27 20:46:00,           2023-12-27 15:46:00,3.29,25.197,0.871,10.579293,0.993
