"Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 20195879, SEN S/N: 20195879)","Temp, °C (LGR S/N: 20195879, SEN S/N: 20195879)"
7/20/2024 14:30,461.7,29.5
7/20/2024 14:40,439.7,28.41
7/20/2024 14:50,435,28.32
7/20/2024 15:00,431.5,28.3
7/20/2024 15:10,429.9,28.32
7/20/2024 15:20,428.3,28.29
7/20/2024 15:30,430.3,28.28
7/20/2024 15:40,425.5,28.28
7/20/2024 15:50,432.3,28.22
7/20/2024 16:00,426.4,28.2
7/20/2024 16:10,425.6,28.18
7/20/2024 16:20,426.4,28.15
7/20/2024 16:30,425.2,28.12
7/20/2024 16:40,426,28.1
7/20/2024 16:50,425.2,28.07
7/20/2024 17:00,425.3,28.04
7/20/2024 17:10,425.7,28
7/20/2024 17:20,425.3,27.97
7/20/2024 17:30,424.1,27.93
7/20/2024 17:40,427.3,27.91
7/20/2024 17:50,434.4,27.89
7/20/2024 18:00,440,27.87
7/20/2024 18:10,446.3,27.82
7/20/2024 18:20,439.2,27.78
7/20/2024 18:30,449.9,27.74
7/20/2024 18:40,449.5,27.7
7/20/2024 18:50,449.6,27.66
7/20/2024 19:00,455.1,27.61
7/20/2024 19:10,456.3,27.59
7/20/2024 19:20,460.7,27.53
7/20/2024 19:30,452,27.49
7/20/2024 19:40,447.7,27.44
7/20/2024 19:50,454.4,27.43
7/20/2024 20:00,462,27.39
7/20/2024 20:10,461.6,27.38
7/20/2024 20:20,464,27.35
7/20/2024 20:30,454.1,27.32
7/20/2024 20:40,458.1,27.27
7/20/2024 20:50,450.1,27.25
7/20/2024 21:00,446.6,27.23
7/20/2024 21:10,443.1,27.19
7/20/2024 21:20,434.4,27.16
7/20/2024 21:30,429.6,27.13
7/20/2024 21:40,428.8,27.12
7/20/2024 21:50,429.6,27.09
7/20/2024 22:00,430.4,27.08
7/20/2024 22:10,431.2,27.06
7/20/2024 22:20,429.3,27.04
7/20/2024 22:30,430.1,27.02
7/20/2024 22:40,428.5,27.01
7/20/2024 22:50,428.5,26.99
7/20/2024 23:00,428.5,26.98
7/20/2024 23:10,426.9,26.97
7/20/2024 23:20,425.7,26.95
7/20/2024 23:30,426.5,26.94
7/20/2024 23:40,424.2,26.93
7/20/2024 23:50,423.8,26.92
7/21/2024 0:00,423.8,26.91
7/21/2024 0:10,423.8,26.91
7/21/2024 0:20,423.8,26.91
7/21/2024 0:30,423,26.9
7/21/2024 0:40,422.6,26.89
7/21/2024 0:50,423,26.89
7/21/2024 1:00,425.4,26.87
7/21/2024 1:10,425.8,26.86
7/21/2024 1:20,433.3,26.85
7/21/2024 1:30,432.9,26.85
7/21/2024 1:40,429.8,26.84
7/21/2024 1:50,429.8,26.83
7/21/2024 2:00,429.4,26.82
7/21/2024 2:10,428.6,26.8
7/21/2024 2:20,426.6,26.79
7/21/2024 2:30,432.9,26.78
7/21/2024 2:40,431,26.77
7/21/2024 2:50,429.8,26.76
7/21/2024 3:00,429.8,26.75
7/21/2024 3:10,429.8,26.74
7/21/2024 3:20,430.2,26.74
7/21/2024 3:30,430.6,26.72
7/21/2024 3:40,430.6,26.72
7/21/2024 3:50,431,26.71
7/21/2024 4:00,430.6,26.7
7/21/2024 4:10,430.2,26.7
7/21/2024 4:20,429.4,26.69
7/21/2024 4:30,429.8,26.68
7/21/2024 4:40,428.6,26.67
7/21/2024 4:50,429.8,26.67
7/21/2024 5:00,429,26.65
7/21/2024 5:10,428.7,26.64
7/21/2024 5:20,427.9,26.63
7/21/2024 5:30,427.9,26.62
7/21/2024 5:40,427.9,26.62
7/21/2024 5:50,428.3,26.62
7/21/2024 6:00,428.3,26.61
7/21/2024 6:10,431.4,26.61
7/21/2024 6:20,431.4,26.6
7/21/2024 6:30,439.4,26.6
7/21/2024 6:40,441,26.6
7/21/2024 6:50,441.3,26.61
7/21/2024 7:00,441.3,26.6
7/21/2024 7:10,438.6,26.59
7/21/2024 7:20,437,26.59
7/21/2024 7:30,433.4,26.59
7/21/2024 7:40,430.7,26.6
7/21/2024 7:50,431.1,26.6
7/21/2024 8:00,432.2,26.61
7/21/2024 8:10,432.2,26.62
7/21/2024 8:20,433.4,26.63
7/21/2024 8:30,432.2,26.65
7/21/2024 8:40,432.2,26.67
7/21/2024 8:50,434.2,26.69
7/21/2024 9:00,435.4,26.71
7/21/2024 9:10,436.5,26.74
7/21/2024 9:20,435.3,26.77
7/21/2024 9:30,436.9,26.8
7/21/2024 9:40,438.9,26.84
7/21/2024 9:50,440.4,26.89
7/21/2024 10:00,440.8,26.92
7/21/2024 10:10,443.9,26.99
7/21/2024 10:20,448.7,27.06
7/21/2024 10:30,450.2,27.1
7/21/2024 10:40,451.4,27.2
7/21/2024 10:50,454.5,27.29
7/21/2024 11:00,456.8,27.36
7/21/2024 11:10,461.1,27.45
7/21/2024 11:20,465.9,27.51
7/21/2024 11:30,466.2,27.6
7/21/2024 11:40,465,27.69
7/21/2024 11:50,470.1,27.76
7/21/2024 12:00,466.1,27.91
7/21/2024 12:10,466.4,28.03
7/21/2024 12:20,463.2,28.03
7/21/2024 12:30,465.6,28.07
7/21/2024 12:40,465.2,28.1
7/21/2024 12:50,465.2,28.11
7/21/2024 13:00,466.8,28.07
7/21/2024 13:10,465.2,28.05
