"Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 20213600, SEN S/N: 20213600)","Temp, °C (LGR S/N: 20213600, SEN S/N: 20213600)"
1/13/2025 16:20,562.9,24.25
1/13/2025 16:30,562.1,24.11
1/13/2025 16:40,562.6,24.09
1/13/2025 16:50,562.6,24.04
1/13/2025 17:00,562.6,23.99
1/13/2025 17:10,561.9,23.91
1/13/2025 17:20,561.5,23.87
1/13/2025 17:30,561.1,23.82
1/13/2025 17:40,560.8,23.77
1/13/2025 17:50,560,23.69
1/13/2025 18:00,559.2,23.66
1/13/2025 18:10,558.5,23.61
1/13/2025 18:20,557.7,23.57
1/13/2025 18:30,557.3,23.52
1/13/2025 18:40,556.6,23.46
1/13/2025 18:50,555.8,23.4
1/13/2025 19:00,555,23.37
1/13/2025 19:10,554.3,23.31
1/13/2025 19:20,553.9,23.28
1/13/2025 19:30,553.5,23.24
1/13/2025 19:40,552.7,23.2
1/13/2025 19:50,552,23.13
1/13/2025 20:00,552,23.15
1/13/2025 20:10,552,23.11
1/13/2025 20:20,551.6,23.08
1/13/2025 20:30,551.2,23.05
1/13/2025 20:40,550.8,23.02
1/13/2025 20:50,550.5,22.99
1/13/2025 21:00,550.1,22.95
1/13/2025 21:10,550.1,22.93
1/13/2025 21:20,550.1,22.9
1/13/2025 21:30,549.7,22.87
1/13/2025 21:40,549.7,22.84
1/13/2025 21:50,549,22.81
1/13/2025 22:00,548.6,22.76
1/13/2025 22:10,548.2,22.73
1/13/2025 22:20,548.2,22.71
1/13/2025 22:30,547.8,22.69
1/13/2025 22:40,547.5,22.66
1/13/2025 22:50,547.1,22.62
1/13/2025 23:00,546.7,22.59
1/13/2025 23:10,546.7,22.56
1/13/2025 23:20,546.3,22.54
1/13/2025 23:30,545.6,22.51
1/13/2025 23:40,545.6,22.49
1/13/2025 23:50,545.2,22.46
1/14/2025 0:00,545.2,22.44
1/14/2025 0:10,544.4,22.42
1/14/2025 0:20,544.4,22.38
1/14/2025 0:30,544.4,22.37
1/14/2025 0:40,544,22.35
1/14/2025 0:50,543.7,22.33
1/14/2025 1:00,543.7,22.31
1/14/2025 1:10,543.7,22.29
1/14/2025 1:20,543.3,22.26
1/14/2025 1:30,543.3,22.25
1/14/2025 1:40,542.9,22.21
1/14/2025 1:50,542.9,22.19
1/14/2025 2:00,542.2,22.17
1/14/2025 2:10,542.2,22.16
1/14/2025 2:20,542.2,22.14
1/14/2025 2:30,541.4,22.12
1/14/2025 2:40,541.4,22.08
1/14/2025 2:50,540.6,22.05
1/14/2025 3:00,540.6,22.03
1/14/2025 3:10,540.2,22.03
1/14/2025 3:20,540.6,22.02
1/14/2025 3:30,540.3,22.01
1/14/2025 3:40,540.3,21.99
1/14/2025 3:50,540.3,21.97
1/14/2025 4:00,539.9,21.94
1/14/2025 4:10,539.9,21.94
1/14/2025 4:20,539.5,21.92
1/14/2025 4:30,539.5,21.9
1/14/2025 4:40,539.5,21.89
1/14/2025 4:50,539.1,21.86
1/14/2025 5:00,539.1,21.86
1/14/2025 5:10,538.8,21.84
1/14/2025 5:20,538.4,21.83
1/14/2025 5:30,538.4,21.82
1/14/2025 5:40,538.4,21.8
1/14/2025 5:50,538,21.79
1/14/2025 6:00,538,21.77
1/14/2025 6:10,538,21.76
1/14/2025 6:20,537.6,21.75
1/14/2025 6:30,537.6,21.74
1/14/2025 6:40,537.2,21.73
1/14/2025 6:50,537.2,21.72
1/14/2025 7:00,537.2,21.7
1/14/2025 7:10,537.2,21.7
1/14/2025 7:20,537.2,21.68
1/14/2025 7:30,536.9,21.67
1/14/2025 7:40,537.2,21.68
1/14/2025 7:50,536.8,21.68
1/14/2025 8:00,537.2,21.71
1/14/2025 8:10,537.2,21.72
1/14/2025 8:20,537.2,21.74
1/14/2025 8:30,538,21.75
1/14/2025 8:40,537.6,21.76
1/14/2025 8:50,538,21.79
1/14/2025 9:00,538.4,21.8
1/14/2025 9:10,538.8,21.82
1/14/2025 9:20,539.5,21.86
1/14/2025 9:30,539.9,21.89
1/14/2025 9:40,540.7,21.91
1/14/2025 9:50,541.1,21.97
1/14/2025 10:00,541.9,22
1/14/2025 10:10,542.6,22.07
1/14/2025 10:20,543.4,22.17
1/14/2025 10:30,543.7,22.26
1/14/2025 10:40,544.1,22.33
1/14/2025 10:50,544.4,22.38
1/14/2025 11:00,544.8,22.46
1/14/2025 11:10,546.3,22.54
1/14/2025 11:20,547.1,22.64
