"Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 20059129, SEN S/N: 20059129)","Temp, °C (LGR S/N: 20059129, SEN S/N: 20059129)"
7/21/2024 12:10,1343.9,28.51
7/21/2024 12:20,1337.1,28.26
7/21/2024 12:30,1337.1,28.25
7/21/2024 12:40,1339.1,28.34
7/21/2024 12:50,1340.7,28.37
7/21/2024 13:00,1344.3,28.47
7/21/2024 13:10,1345.6,28.49
7/21/2024 13:20,1347.2,28.54
7/21/2024 13:30,1348.8,28.59
7/21/2024 13:40,1348.8,28.58
7/21/2024 13:50,1347.7,28.51
7/21/2024 14:00,1350,28.6
7/21/2024 14:10,1351.7,28.63
7/21/2024 14:20,1352.5,28.67
7/21/2024 14:30,1352.4,28.69
7/21/2024 14:40,1354.1,28.72
7/21/2024 14:50,1354.4,28.75
7/21/2024 15:00,1356.5,28.8
7/21/2024 15:10,1356,28.8
7/21/2024 15:20,1356.4,28.83
7/21/2024 15:30,1354.8,28.77
7/21/2024 15:40,1356.5,28.78
7/21/2024 15:50,1356.1,28.77
7/21/2024 16:00,1355.3,28.77
7/21/2024 16:10,1356.1,28.78
7/21/2024 16:20,1355.3,28.76
7/21/2024 16:30,1354.4,28.75
7/21/2024 16:40,1353.7,28.7
7/21/2024 16:50,1353.3,28.69
7/21/2024 17:00,1352.5,28.67
7/21/2024 17:10,1352.1,28.63
7/21/2024 17:20,1351.3,28.61
7/21/2024 17:30,1351.3,28.59
7/21/2024 17:40,1351.3,28.59
7/21/2024 17:50,1350.9,28.56
7/21/2024 18:00,1350.1,28.53
7/21/2024 18:10,1349.8,28.51
7/21/2024 18:20,1349.8,28.5
7/21/2024 18:30,1349,28.47
7/21/2024 18:40,1348.2,28.44
7/21/2024 18:50,1347,28.37
7/21/2024 19:00,1346.2,28.35
7/21/2024 19:10,1345,28.3
7/21/2024 19:20,1345.4,28.29
7/21/2024 19:30,1344.2,28.27
7/21/2024 19:40,1343.4,28.24
7/21/2024 19:50,1343.8,28.24
7/21/2024 20:00,1343.1,28.2
7/21/2024 20:10,1337.6,28.19
7/21/2024 20:20,1336.8,28.17
7/21/2024 20:30,1338.1,28.12
7/21/2024 20:40,1338.2,28.1
7/21/2024 20:50,1337.8,28.04
7/21/2024 21:00,1337.4,28.01
7/21/2024 21:10,1337.4,28.01
7/21/2024 21:20,1337.1,27.95
7/21/2024 21:30,1336.7,27.94
7/21/2024 21:40,1335.9,27.92
7/21/2024 21:50,1336,27.87
7/21/2024 22:00,1336,27.86
7/21/2024 22:10,1335.2,27.83
7/21/2024 22:20,1336.4,27.84
7/21/2024 22:30,1336.1,27.78
7/21/2024 22:40,1336.9,27.79
7/21/2024 22:50,1334.4,27.76
7/21/2024 23:00,1335.7,27.75
7/21/2024 23:10,1337.4,27.75
7/21/2024 23:20,1337.5,27.71
7/21/2024 23:30,1336.6,27.69
7/21/2024 23:40,1337.1,27.69
7/21/2024 23:50,1337.1,27.67
7/22/2024 0:00,1337.9,27.67
7/22/2024 0:10,1318.3,27.59
7/22/2024 0:20,1327.1,27.61
7/22/2024 0:30,1327.2,27.56
7/22/2024 0:40,1326.8,27.53
7/22/2024 0:50,1326,27.46
7/22/2024 1:00,1328.5,27.5
7/22/2024 1:10,1327.3,27.44
7/22/2024 1:20,1328.6,27.45
7/22/2024 1:30,1329,27.44
7/22/2024 1:40,1328.6,27.43
7/22/2024 1:50,1329.5,27.41
7/22/2024 2:00,1327.1,27.34
7/22/2024 2:10,1327.5,27.33
