"Plot Title: Tortuguero_Winter2025"
"#","Date Time, GMT-04:00","Full Range, μS/cm (LGR S/N: 20059129, SEN S/N: 20059129)","Temp, °C (LGR S/N: 20059129, SEN S/N: 20059129)"
1,01/11/25 11:00:00 AM,1.0,29.39
2,01/11/25 11:10:00 AM,5.2,29.83
3,01/11/25 11:20:00 AM,1.0,30.41
4,01/11/25 11:30:00 AM,1.0,30.99
5,01/11/25 11:40:00 AM,0.9,31.49
6,01/11/25 11:50:00 AM,0.9,31.93
7,01/11/25 12:00:00 PM,2.1,31.66
8,01/11/25 12:10:00 PM,1.0,30.76
9,01/11/25 12:20:00 PM,1.0,29.69
10,01/11/25 12:30:00 PM,1.0,28.87
11,01/11/25 12:40:00 PM,5.2,28.09
12,01/11/25 12:50:00 PM,5.2,27.59
13,01/11/25 01:00:00 PM,604.7,24.32
14,01/11/25 01:10:00 PM,596.0,24.55
15,01/11/25 01:20:00 PM,569.6,24.05
16,01/11/25 01:30:00 PM,570.3,24.36
17,01/11/25 01:40:00 PM,570.5,24.65
18,01/11/25 01:50:00 PM,564.8,24.71
19,01/11/25 02:00:00 PM,562.3,24.86
20,01/11/25 02:10:00 PM,560.2,24.98
21,01/11/25 02:20:00 PM,558.6,24.97
22,01/11/25 02:30:00 PM,555.8,24.98
23,01/11/25 02:40:00 PM,556.9,25.14
24,01/11/25 02:50:00 PM,555.2,25.23
25,01/11/25 03:00:00 PM,553.2,25.16
26,01/11/25 03:10:00 PM,554.8,25.25
27,01/11/25 03:20:00 PM,553.6,25.23
28,01/11/25 03:30:00 PM,553.2,25.19
29,01/11/25 03:40:00 PM,551.2,25.16
30,01/11/25 03:50:00 PM,553.2,25.16
31,01/11/25 04:00:00 PM,552.8,25.24
32,01/11/25 04:10:00 PM,552.4,25.19
33,01/11/25 04:20:00 PM,551.2,25.16
34,01/11/25 04:30:00 PM,550.8,25.16
35,01/11/25 04:40:00 PM,550.0,25.12
36,01/11/25 04:50:00 PM,550.0,25.07
37,01/11/25 05:00:00 PM,550.1,25.06
38,01/11/25 05:10:00 PM,550.9,25.03
39,01/11/25 05:20:00 PM,550.5,25.01
40,01/11/25 05:30:00 PM,550.1,24.94
41,01/11/25 05:40:00 PM,548.1,24.87
42,01/11/25 05:50:00 PM,547.4,24.81
