"datetime","cond_uS_cm","temp_C","site"
"7/21/2024 12:10",1343.9,28.51,"TO"
"7/21/2024 12:20",1337.1,28.26,"TO"
"7/21/2024 12:30",1337.1,28.25,"TO"
"7/21/2024 12:40",1339.1,28.34,"TO"
"7/21/2024 12:50",1340.7,28.37,"TO"
"7/21/2024 13:00",1344.3,28.47,"TO"
"7/21/2024 13:10",1345.6,28.49,"TO"
"7/21/2024 13:20",1347.2,28.54,"TO"
"7/21/2024 13:30",1348.8,28.59,"TO"
"7/21/2024 13:40",1348.8,28.58,"TO"
"7/21/2024 13:50",1347.7,28.51,"TO"
"7/21/2024 14:00",1350,28.6,"TO"
"7/21/2024 14:10",1351.7,28.63,"TO"
"7/21/2024 14:20",1352.5,28.67,"TO"
"7/21/2024 14:30",1352.4,28.69,"TO"
"7/21/2024 14:40",1354.1,28.72,"TO"
"7/21/2024 14:50",1354.4,28.75,"TO"
"7/21/2024 15:00",1356.5,28.8,"TO"
"7/21/2024 15:10",1356,28.8,"TO"
"7/21/2024 15:20",1356.4,28.83,"TO"
"7/21/2024 15:30",1354.8,28.77,"TO"
"7/21/2024 15:40",1356.5,28.78,"TO"
"7/21/2024 15:50",1356.1,28.77,"TO"
"7/21/2024 16:00",1355.3,28.77,"TO"
"7/21/2024 16:10",1356.1,28.78,"TO"
"7/21/2024 16:20",1355.3,28.76,"TO"
"7/21/2024 16:30",1354.4,28.75,"TO"
"7/21/2024 16:40",1353.7,28.7,"TO"
"7/21/2024 16:50",1353.3,28.69,"TO"
"7/21/2024 17:00",1352.5,28.67,"TO"
"7/21/2024 17:10",1352.1,28.63,"TO"
"7/21/2024 17:20",1351.3,28.61,"TO"
"7/21/2024 17:30",1351.3,28.59,"TO"
"7/21/2024 17:40",1351.3,28.59,"TO"
"7/21/2024 17:50",1350.9,28.56,"TO"
"7/21/2024 18:00",1350.1,28.53,"TO"
"7/21/2024 18:10",1349.8,28.51,"TO"
"7/21/2024 18:20",1349.8,28.5,"TO"
"7/21/2024 18:30",1349,28.47,"TO"
"7/21/2024 18:40",1348.2,28.44,"TO"
"7/21/2024 18:50",1347,28.37,"TO"
"7/21/2024 19:00",1346.2,28.35,"TO"
"7/21/2024 19:10",1345,28.3,"TO"
"7/21/2024 19:20",1345.4,28.29,"TO"
"7/21/2024 19:30",1344.2,28.27,"TO"
"7/21/2024 19:40",1343.4,28.24,"TO"
"7/21/2024 19:50",1343.8,28.24,"TO"
"7/21/2024 20:00",1343.1,28.2,"TO"
"7/21/2024 20:10",1337.6,28.19,"TO"
"7/21/2024 20:20",1336.8,28.17,"TO"
"7/21/2024 20:30",1338.1,28.12,"TO"
"7/21/2024 20:40",1338.2,28.1,"TO"
"7/21/2024 20:50",1337.8,28.04,"TO"
"7/21/2024 21:00",1337.4,28.01,"TO"
"7/21/2024 21:10",1337.4,28.01,"TO"
"7/21/2024 21:20",1337.1,27.95,"TO"
"7/21/2024 21:30",1336.7,27.94,"TO"
"7/21/2024 21:40",1335.9,27.92,"TO"
"7/21/2024 21:50",1336,27.87,"TO"
"7/21/2024 22:00",1336,27.86,"TO"
"7/21/2024 22:10",1335.2,27.83,"TO"
