"Plot Title: Tortuguero_light_Winter2025"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20206312, SEN S/N: 20206312)","Intensity, Lux (LGR S/N: 20206312, SEN S/N: 20206312)"
1,01/11/25 11:00:00 AM,31.064,118.4
2,01/11/25 11:15:00 AM,31.574,0.0
3,01/11/25 11:30:00 AM,31.778,0.0
4,01/11/25 11:45:00 AM,31.880,0.0
5,01/11/25 12:00:00 PM,31.983,613.5
6,01/11/25 12:15:00 PM,30.659,1033.3
7,01/11/25 12:30:00 PM,29.552,1377.8
8,01/11/25 12:45:00 PM,28.853,161.5
9,01/11/25 01:00:00 PM,29.953,18600.1
10,01/11/25 01:15:00 PM,31.880,6544.5
11,01/11/25 01:30:00 PM,30.255,3100.0
12,01/11/25 01:45:00 PM,28.853,2927.8
13,01/11/25 02:00:00 PM,28.853,4994.5
14,01/11/25 02:15:00 PM,29.452,2927.8
15,01/11/25 02:30:00 PM,30.054,4650.0
16,01/11/25 02:45:00 PM,30.054,6544.5
17,01/11/25 03:00:00 PM,31.574,7233.4
18,01/11/25 03:15:00 PM,32.911,7233.4
19,01/11/25 03:30:00 PM,31.983,3961.1
20,01/11/25 03:45:00 PM,28.853,2152.8
21,01/11/25 04:00:00 PM,28.159,2927.8
22,01/11/25 04:15:00 PM,28.159,1636.1
23,01/11/25 04:30:00 PM,27.764,4133.4
24,01/11/25 04:45:00 PM,26.879,1356.3
25,01/11/25 05:00:00 PM,26.097,742.7
26,01/11/25 05:15:00 PM,25.513,495.1
27,01/11/25 05:30:00 PM,25.125,312.2
28,01/11/25 05:45:00 PM,24.641,129.2
29,01/11/25 06:00:00 PM,24.158,21.5
30,01/11/25 06:15:00 PM,23.869,0.0
31,01/11/25 06:30:00 PM,23.484,0.0
32,01/11/25 06:45:00 PM,23.581,0.0
33,01/11/25 07:00:00 PM,23.581,0.0
34,01/11/25 07:15:00 PM,23.581,0.0
35,01/11/25 07:30:00 PM,23.388,0.0
36,01/11/25 07:45:00 PM,23.100,0.0
37,01/11/25 08:00:00 PM,23.100,0.0
38,01/11/25 08:15:00 PM,23.196,0.0
39,01/11/25 08:30:00 PM,23.292,0.0
40,01/11/25 08:45:00 PM,23.196,0.0
41,01/11/25 09:00:00 PM,23.100,0.0
42,01/11/25 09:15:00 PM,22.908,0.0
43,01/11/25 09:30:00 PM,22.908,0.0
44,01/11/25 09:45:00 PM,22.908,0.0
45,01/11/25 10:00:00 PM,22.812,0.0
46,01/11/25 10:15:00 PM,22.525,0.0
47,01/11/25 10:30:00 PM,22.142,0.0
48,01/11/25 10:45:00 PM,21.951,0.0
49,01/11/25 11:00:00 PM,21.760,0.0
50,01/11/25 11:15:00 PM,21.473,0.0
51,01/11/25 11:30:00 PM,21.282,0.0
52,01/11/25 11:45:00 PM,21.282,0.0
53,01/12/25 12:00:00 AM,21.378,0.0
54,01/12/25 12:15:00 AM,21.187,0.0
55,01/12/25 12:30:00 AM,20.996,0.0
56,01/12/25 12:45:00 AM,20.805,0.0
57,01/12/25 01:00:00 AM,20.710,0.0
58,01/12/25 01:15:00 AM,20.519,0.0
59,01/12/25 01:30:00 AM,20.710,0.0
60,01/12/25 01:45:00 AM,20.424,0.0
61,01/12/25 02:00:00 AM,20.234,0.0
62,01/12/25 02:15:00 AM,20.138,0.0
63,01/12/25 02:30:00 AM,20.329,0.0
64,01/12/25 02:45:00 AM,20.329,0.0
65,01/12/25 03:00:00 AM,20.138,0.0
66,01/12/25 03:15:00 AM,20.043,0.0
67,01/12/25 03:30:00 AM,20.138,0.0
68,01/12/25 03:45:00 AM,19.948,0.0
69,01/12/25 04:00:00 AM,19.853,0.0
70,01/12/25 04:15:00 AM,19.662,0.0
71,01/12/25 04:30:00 AM,19.567,0.0
72,01/12/25 04:45:00 AM,19.472,0.0
73,01/12/25 05:00:00 AM,19.472,0.0
74,01/12/25 05:15:00 AM,19.377,0.0
75,01/12/25 05:30:00 AM,19.472,0.0
76,01/12/25 05:45:00 AM,19.472,0.0
77,01/12/25 06:00:00 AM,19.567,0.0
78,01/12/25 06:15:00 AM,19.472,0.0
79,01/12/25 06:30:00 AM,19.092,0.0
80,01/12/25 06:45:00 AM,19.187,0.0
81,01/12/25 07:00:00 AM,19.092,10.8
82,01/12/25 07:15:00 AM,19.187,75.3
83,01/12/25 07:30:00 AM,19.472,172.2
84,01/12/25 07:45:00 AM,19.758,322.9
85,01/12/25 08:00:00 AM,20.329,473.6
86,01/12/25 08:15:00 AM,20.901,635.1
87,01/12/25 08:30:00 AM,21.664,1033.3
88,01/12/25 08:45:00 AM,22.621,1377.8
89,01/12/25 09:00:00 AM,24.448,3788.9
90,01/12/25 09:15:00 AM,25.028,3444.5
91,01/12/25 09:30:00 AM,25.708,2927.8
92,01/12/25 09:45:00 AM,25.610,2411.1
93,01/12/25 10:00:00 AM,26.781,2927.8
94,01/12/25 10:15:00 AM,26.195,2669.5
95,01/12/25 10:30:00 AM,29.252,6200.0
96,01/12/25 10:45:00 AM,27.567,2583.4
97,01/12/25 11:00:00 AM,27.862,2669.5
98,01/12/25 11:15:00 AM,27.567,2755.6
99,01/12/25 11:30:00 AM,28.555,4133.4
100,01/12/25 11:45:00 AM,29.152,3100.0
101,01/12/25 12:00:00 PM,31.983,10333.4
102,01/12/25 12:15:00 PM,29.652,3444.5
103,01/12/25 12:30:00 PM,32.497,8266.7
104,01/12/25 12:45:00 PM,29.953,3444.5
105,01/12/25 01:00:00 PM,36.187,14466.8
106,01/12/25 01:15:00 PM,34.374,5511.1
107,01/12/25 01:30:00 PM,31.370,2927.8
108,01/12/25 01:45:00 PM,29.152,1722.2
109,01/12/25 02:00:00 PM,29.452,2583.4
110,01/12/25 02:15:00 PM,30.054,2583.4
