Site,Date,Sample Name,CH4,CO2,AirV_mL,WaterV_mL,WaterT_C,wCO2_uatm_medhs,wCH4_uatm_medhs,wCO2_umolm3_med,wCH4_umolm3_med,wCO2_uM_med,wCH4_uM_med,wCO2_mgL_med,wCH4_mgL_med
PA,1/10/2024,PA 202401,342.1285367,35.49978057,20,20,20,73.49602311,9534.306405,3055.368142,396359.0792,3.055368142,396.3590792,134.4667519,6500.288899
PA,1/10/2024,PA 202401,335.8785735,291.4589956,20,20,20,603.4143516,9360.134834,25085.07139,389118.4389,25.08507139,389.1184389,1103.993992,6381.542398
PA,1/10/2024,PA 202401,314.2723949,237.4037341,20,20,20,491.5024838,8758.022165,20432.68421,364087.4809,20.43268421,364.0874809,899.2424319,5971.034686
TO,1/10/2024,TO 202401,393.2486979,-132.0928005,20,20,20,-273.4748034,10958.90338,-11368.86279,455582.2595,-11.36886279,455.5822595,-500.3436512,7471.549056
TO,1/10/2024,TO 202401,380.2004841,-57.29394162,20,20,20,-118.6169827,10595.28078,-4931.131436,440465.783,-4.931131436,440.465783,-217.0190945,7223.638841
TO,1/10/2024,TO 202401,367.1271912,-43.26373492,20,20,20,-89.56991875,10230.95929,-3723.590266,425320.252,-3.723590266,425.320252,-163.8752076,6975.252133
VB,1/10/2024,VB 202401,-2.296271473,-137.464033,20,20,20,-284.5949914,-63.99160977,-11831.14995,-2660.251774,-11.83114995,-2.660251774,-520.6889093,-43.62812909
VB,1/10/2024,VB 202401,-2.666434973,-75.0330926,20,20,20,-155.3427604,-74.30718375,-6457.891205,-3089.089618,-6.457891205,-3.089089618,-284.2117919,-50.66106973
VB,1/10/2024,VB 202401,-2.541161713,-26.67879352,20,20,20,-55.23372803,-70.81611674,-2296.170131,-2943.959386,-2.296170131,-2.943959386,-101.0544475,-48.28093392
PA,7/24/2024,PA-sw-240724,2963.761815,12758.65025,20,20,20,26414.53098,82592.97376,1098101.816,3433545.518,1098.101816,3433.545518,48327.46092,56310.1465
PA,7/24/2024,PA-sw-240724,2281.771596,12297.55019,20,20,20,25459.90478,63587.53276,1058416.206,2643453.531,1058.416206,2643.453531,46580.89724,43352.63791
PA,7/24/2024,PA-sw-240724,3077.606774,9704.00553,20,20,20,20090.42882,85765.56126,835196.9749,3565435.958,835.1969749,3565.435958,36757.01887,58473.14971
