Label,Site,F,Cl,Br,NO3-N,SO4,Na,NH4-N,K,Mg,Ca
E246 dil,Manantial,,468.2204085,1.275302007,3.09674798,58.60817743,221.4723521,,7.982595227,20.30696437,43.89800428
E300 dil,Manantial,,457.2139023,1.379306745,2.944207155,58.3963833,221.697287,,7.646827989,19.6934626,48.78465737
E430 dil,Manantial,,469.3929516,2.15824687,3.078336837,59.07594159,224.2739392,,7.998634943,20.68838194,45.032291
A33,Palmas,0.397948942,98.05187447,0.497033846,,0.759028391,75.35507888,0.07720322,3.220988153,7.105896047,34.23073534
E216,Palmas,0.282184019,97.59925304,0.331632824,0.026762552,0.927361264,75.91837315,0.113764366,3.256220766,7.108582329,33.74969652
S9,Palmas,0.341969757,91.92958576,0.321685072,,0.722009564,71.1127567,0.144451036,3.001645813,6.654972143,30.99417522
A148 dil,Tortuguero,0.187111376,417.8709516,0.93737703,,20.13239554,165.2944926,,4.748242412,13.27748471,95.84938185
B31 E204 dil,Tortuguero,0.289168108,408.4324614,0.711188194,,19.75291826,161.0660721,,4.250822132,12.96436214,90.53790355
W33 E027 dil,Tortuguero,0.340777221,400.3441668,0.738417102,,19.24176458,156.2564396,,4.335256921,12.54892985,88.72771751
,,,,,,,,,,,
