Site,Rep,Date,Sample ID,NH4-N_ppb,PO4-P_ppb,NO3-N_ppb
CEN,1,10/14/2024,CEN 241014,95.8,7.7,10.5
CEN,2,10/14/2024,CEN 241014,93.7,8.0,7.7
CEN,3,10/14/2024,CEN 241014,105.0,8.7,9.0
Manantial,1,10/15/2024,VB 241015,19.9,4.8,2700.0
Manantial,2,10/15/2024,VB 241015,21.4,7.7,2350.0
Manantial,3,10/15/2024,VB 241015,21.5,6.0,2770.0
Manantial,1,1/17/2024,E246,12.7,3.5,2930.0
Manantial,2,1/17/2024,E300,9.5,4.3,2350.0
Manantial,3,1/17/2024,E430,9.2,3.9,2950.0
Palmas,1,7/24/2024,PA 240724,79.9,35.0,-6.3
Palmas,2,7/24/2024,PA 240724,92.8,35.1,-7.8
Palmas,3,7/24/2024,PA 240724,81.6,36.6,-5.5
Palmas,1,8/17/2024,PA 240817,11.5,95.2,-7.0
Palmas,2,8/17/2024,PA 240817,13.8,96.4,-7.0
Palmas,3,8/17/2024,PA 240817,15.9,104.0,-8.7
Palmas,1,10/14/2024,PA 241014,195.0,27.6,-5.0
Palmas,2,10/14/2024,PA 241014,241.0,32.6,-5.0
Palmas,3,10/14/2024,PA 241014,246.0,29.8,-1.7
Palmas,1,1/12/2025,PA 1/12/25 A,143,26,-12.4
Palmas,2,1/12/2025,PA 1/12/25 B,144,26.5,-9.47
Palmas,3,1/12/2025,PA 1/12/25 C,153,32.4,-10.6
Palmas,1,1/15/2024,A33,307.0,30.6,-4.9
Palmas,2,1/15/2024,E216,328.0,28.7,16.9
Palmas,3,1/15/2024,S9,279.0,25.3,-5.3
Tortuguero,1,7/24/2024,TO 240724,48.9,11.1,-4.1
Tortuguero,2,7/24/2024,TO 240724,49.7,9.3,-4.5
Tortuguero,3,7/24/2024,TO 240724,52.1,10.3,-5.5
Tortuguero,1,8/16/2024,TO 240816,40.9,13.8,3.8
Tortuguero,2,8/16/2024,TO 240816,59.8,16.8,13.3
Tortuguero,3,8/16/2024,TO 240816,47.6,13.2,29.9
Tortuguero,1,10/15/2024,TO 241015,71.5,13.1,-6.2
Tortuguero,2,10/15/2024,TO 241015,72.3,15.6,-6.1
Tortuguero,3,10/15/2024,TO 241015,70.2,14.5,-6.2
Tortuguero,1,1/11/2025,TO 1/11/25 A,22,5.89,-19.5
Tortuguero,2,1/11/2025,TO 1/11/25 B,28.1,4.54,-19.2
Tortuguero,3,1/11/2025,TO 1/11/25 C,22.4,4.09,-19.4
Tortuguero,1,1/17/2024,A148 S22,24.5,13.6,-12.9
Tortuguero,2,1/17/2024,B31 E204,27.2,11.0,-12.2
Tortuguero,3,1/17/2024,W33,28.8,13.0,-8.2
