No. ,Hole  Pos.,Name  ,Method  ,Coefficients  ,NPOC vol. [ml],TIC vol. [ml],TC vol. [ml],TIC  Area,TC  Area,NPOC  Area,TNb  Area,TIC [mg/l],TC [mg/l],TOC (Diff.) [mg/l],NPOC [mg/l],TNb [mg/l],Dilut.  Factor,TC  Blank,TIC  Blank,NPOC  Blank,TNb  Blank,Memo  ,Info  ,Date,Time
71,20,DUP,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,1198,28500,,,,1.25,2.83,1,,,0,0,,,2/29/2024,23:12:48
72,20,DUP,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,1030,29521,,,,1.083,2.928,1,,,0,0,,,2/29/2024,23:16:39
73,20,DUP,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,981,30205,,,,1.035,2.993,1,,,0,0,,,2/29/2024,23:20:52
65,18,Manantial,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,582,27202,,,,0.615,2.705,1,,,0,0,,,2/29/2024,22:21:41
66,18,Manantial,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,556,27966,,,,0.586,2.778,1,,,0,0,,,2/29/2024,22:25:33
67,18,Manantial,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,587,28847,,,,0.62,2.863,1,,,0,0,,,2/29/2024,22:29:48
86,22,Manantial 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,6247,26008,,,,6.304,2.589,1,,,0,0,,,3/1/2024,1:15:29
87,22,Manantial 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,5316,27297,,,,5.364,2.714,1,,,0,0,,,3/1/2024,1:19:12
88,22,Manantial 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,5107,27855,,,,5.153,2.768,1,,,0,0,,,3/1/2024,1:23:32
89,23,Manantial 3,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,1145,30329,,,,1.197,3.005,1,,,0,0,,,3/1/2024,1:40:58
90,23,Manantial 3,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,1060,30834,,,,1.113,3.054,1,,,0,0,,,3/1/2024,1:44:52
91,23,Manantial 3,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,1079,31451,,,,1.131,3.113,1,,,0,0,,,3/1/2024,1:49:18
11,4,Mixed Check 3/0.3,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,924,998,,,,2.44,0.243,1,,,0,0,,,2/29/2024,14:55:45
12,4,Mixed Check 3/0.3,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,828,833,,,,2.185,0.203,1,,,0,0,,,2/29/2024,14:58:30
13,4,Mixed Check 3/0.3,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,938,616,,,,2.474,0.15,1,,,0,0,,,2/29/2024,15:02:13
14,5,Mixed Check 3/0.3,NPOC/TNb - precise,Offset NPOC 30jan20,0.6,,,,,3116,3350,,,,2.63,0.282,1,,,0,0,,,2/29/2024,15:19:33
15,5,Mixed Check 3/0.3,NPOC/TNb - precise,Offset NPOC 30jan20,0.6,,,,,3185,3377,,,,2.688,0.284,1,,,0,0,,,2/29/2024,15:23:07
16,5,Mixed Check 3/0.3,NPOC/TNb - precise,Offset NPOC 30jan20,0.6,,,,,3294,3452,,,,2.778,0.29,1,,,0,0,,,2/29/2024,15:27:25
17,6,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4635,4533,,,,7.024,0.688,1,,,0,0,,,2/29/2024,15:44:47
18,6,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4561,4481,,,,6.913,0.68,1,,,0,0,,,2/29/2024,15:48:11
19,6,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4736,4596,,,,7.177,0.698,1,,,0,0,,,2/29/2024,15:52:14
20,7,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.467,,,,,7357,7739,,,,7.954,0.839,1,,,0,0,,,2/29/2024,16:09:40
21,7,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.467,,,,,7228,7750,,,,7.814,0.84,1,,,0,0,,,2/29/2024,16:13:12
22,7,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.467,,,,,7434,7829,,,,8.038,0.848,1,,,0,0,,,2/29/2024,16:17:19
23,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.6,,,,,9292,9883,,,,7.837,0.833,1,,,0,0,,,2/29/2024,16:35:32
24,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.6,,,,,9457,10225,,,,7.978,0.861,1,,,0,0,,,2/29/2024,16:39:14
25,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.6,,,,,9417,10355,,,,7.943,0.872,1,,,0,0,,,2/29/2024,16:43:44
26,6,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,1,,,,,15539,16177,,,,7.943,0.813,1,,,0,0,,,2/29/2024,17:03:07
27,6,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,1,,,,,15651,16597,,,,8.002,0.834,1,,,0,0,,,2/29/2024,17:08:14
28,6,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,1,,,,,15809,16781,,,,8.085,0.843,1,,,0,0,,,2/29/2024,17:14:08
80,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4504,5766,,,,6.826,0.876,1,,,0,0,,,3/1/2024,0:24:48
81,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4238,5823,,,,6.425,0.885,1,,,0,0,,,3/1/2024,0:28:03
82,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4439,5902,,,,6.729,0.897,1,,,0,0,,,3/1/2024,0:32:05
110,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4730,5739,,,,7.168,0.872,1,,,0,0,,,3/1/2024,4:50:55
111,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4508,5740,,,,6.833,0.872,1,,,0,0,,,3/1/2024,4:54:17
112,8,Mixed Check 9/0.9,NPOC/TNb - precise,Offset NPOC 30jan20,0.333,,,,,4622,5770,,,,7.005,0.877,1,,,0,0,,,3/1/2024,4:58:17
92,24,Palmas,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,17494,15105,,,,17.948,1.521,1,,,0,0,,,3/1/2024,2:09:54
93,24,Palmas,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,17189,15848,,,,17.626,1.594,1,,,0,0,,,3/1/2024,2:15:52
94,24,Palmas,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,16961,15884,,,,17.385,1.598,1,,,0,0,,,3/1/2024,2:21:16
122,24,Palmas,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,8024,4810,,,,20.269,1.216,1,,,0,0,,,3/1/2024,10:43:55
123,24,Palmas,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,8254,4882,,,,20.857,1.234,1,,,0,0,,,3/1/2024,10:47:27
124,24,Palmas,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,8248,4837,,,,20.841,1.223,1,,,0,0,,,3/1/2024,10:51:37
98,26,Palmas 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,21943,13205,,,,22.702,1.332,1,,,0,0,,,3/1/2024,3:06:55
99,26,Palmas 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,22168,13537,,,,22.944,1.365,1,,,0,0,,,3/1/2024,3:11:33
100,26,Palmas 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,22239,13518,,,,23.021,1.363,1,,,0,0,,,3/1/2024,3:16:43
119,26,Palmas 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,8430,4805,,,,21.306,1.215,1,,,0,0,,,3/1/2024,10:18:30
120,26,Palmas 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,9120,5101,,,,23.068,1.29,1,,,0,0,,,3/1/2024,10:22:09
121,26,Palmas 2,NPOC/TNb - precise,Offset NPOC 30jan20,0.2,,,,,9494,5308,,,,24.028,1.343,1,,,0,0,,,3/1/2024,10:26:27
32,1,Reference,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,866,7791,,,,0.914,0.788,1,,,0,0,,,2/29/2024,17:55:46
33,1,Reference,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,984,8137,,,,1.037,0.823,1,,,0,0,,,2/29/2024,17:58:50
34,1,Reference,NPOC/TNb - precise,Offset NPOC 30jan20,0.5,,,,,982,8293,,,,1.036,0.839,1,,,0,0,,,2/29/2024,18:02:30
